n_per_group,search_stage,fit_status,fit_method,fitted_power_at_target_omega2,required_omega2_for_target_power,curve_reaches_target_power,target_omega2_bracketed,target_omega2,target_power,qualifies,h,x0,floor
2,coarse,ok,binned_null_started_hill,1.1399564840848568e-15,,False,True,0.03,0.8,False,8.604343924988399,1.636120056569443,0.0
10,coarse,ok,binned_null_started_hill,0.11547373908213254,0.18889444711798636,True,True,0.03,0.8,False,2.447576738824864,0.11163739658547646,0.08
20,coarse,ok,binned_null_started_hill,0.1811260914325536,0.09936239465143501,True,True,0.03,0.8,False,2.9821466279670448,0.06513440157326737,0.1
30,coarse,ok,binned_null_started_hill,0.12282242546050909,0.07659452226702515,True,True,0.03,0.8,False,4.394293846762461,0.05686110404102738,0.07
40,coarse,ok,binned_null_started_hill,0.5270419724193662,0.05053298989677444,True,True,0.03,0.8,False,2.635811560523533,0.030143609907709003,0.06
50,coarse,ok,binned_null_started_hill,0.4961800389082378,0.0439049468825503,True,True,0.03,0.8,False,4.563033155177883,0.03509801960227068,0.25
60,coarse,ok,binned_null_started_hill,0.7851073653394396,0.03157483479683842,True,True,0.03,0.8,False,1.9370967252334828,0.016127554549884026,0.07
61,fine,ok,binned_null_started_hill,0.7036122793781932,0.03878289884664047,True,True,0.03,0.8,False,2.40012909453762,0.02262131046507441,0.12
62,fine,ok,binned_null_started_hill,0.8694566105537076,0.024477502027174226,True,True,0.03,0.8,True,2.237927244974896,0.013348691030370693,0.07
63,plot_context,ok,binned_null_started_hill,0.4065638987993646,0.04004686187889899,True,True,0.03,0.8,False,7.1328940531616585,0.03322342685768567,0.12
70,coarse,ok,binned_null_started_hill,0.8159496884917647,0.02924238980193059,True,True,0.03,0.8,True,2.050717987953374,0.015574794884692532,0.11
