pilot_n,pilot_source,strength,eval_n,true_omega2,power,mode,scenario_index,pool_size_per_group,failed_bootstraps,n_per_group,search_stage
19,real,0.0,2,0.0,0.0,exchangeable_null,0,180,0,2,coarse
19,real,0.154,2,0.009739118562315604,0.0,labeled_bootstrap,1,180,0,2,coarse
19,real,0.1873,2,0.006906809021771728,0.0,labeled_bootstrap,2,180,0,2,coarse
19,real,0.2636,2,0.022992013862510385,0.0,labeled_bootstrap,3,180,0,2,coarse
19,real,0.3117,2,0.018410237412977325,0.0,labeled_bootstrap,4,180,0,2,coarse
19,real,0.3401,2,0.027980633695437403,0.0,labeled_bootstrap,5,180,0,2,coarse
19,real,0.3624,2,0.03920517516771225,0.0,labeled_bootstrap,6,180,0,2,coarse
19,real,0.3691,2,0.03536296032273986,0.0,labeled_bootstrap,7,180,0,2,coarse
19,real,0.3756,2,0.024068102004024094,0.0,labeled_bootstrap,8,180,0,2,coarse
19,real,0.3889,2,0.028278150661504024,0.0,labeled_bootstrap,9,180,0,2,coarse
19,real,0.4021,2,0.04764834988005957,0.0,labeled_bootstrap,10,180,0,2,coarse
19,real,0.4153,2,0.04015614574194104,0.0,labeled_bootstrap,11,180,0,2,coarse
19,real,0.4286,2,0.04878867326534801,0.0,labeled_bootstrap,12,180,0,2,coarse
19,real,0.5714,2,0.06770953298563206,0.0,labeled_bootstrap,13,180,0,2,coarse
19,real,0.7143,2,0.10950827452724614,0.0,labeled_bootstrap,14,180,0,2,coarse
19,real,0.8571,2,0.17213350971894487,0.0,labeled_bootstrap,15,180,0,2,coarse
19,real,1.0,2,0.22525543695778244,0.0,labeled_bootstrap,16,180,0,2,coarse
19,real,0.0,10,0.0,0.05,exchangeable_null,0,180,0,10,coarse
19,real,0.154,10,0.009739118562315604,0.19,labeled_bootstrap,1,180,0,10,coarse
19,real,0.1873,10,0.006906809021771728,0.13,labeled_bootstrap,2,180,0,10,coarse
19,real,0.2636,10,0.022992013862510385,0.21,labeled_bootstrap,3,180,0,10,coarse
19,real,0.3117,10,0.018410237412977325,0.24,labeled_bootstrap,4,180,0,10,coarse
19,real,0.3401,10,0.027980633695437403,0.25,labeled_bootstrap,5,180,0,10,coarse
19,real,0.3624,10,0.03920517516771225,0.27,labeled_bootstrap,6,180,0,10,coarse
19,real,0.3691,10,0.03536296032273986,0.35,labeled_bootstrap,7,180,0,10,coarse
19,real,0.3756,10,0.024068102004024094,0.26,labeled_bootstrap,8,180,0,10,coarse
19,real,0.3889,10,0.028278150661504024,0.33,labeled_bootstrap,9,180,0,10,coarse
19,real,0.4021,10,0.04764834988005957,0.55,labeled_bootstrap,10,180,0,10,coarse
19,real,0.4153,10,0.04015614574194104,0.43,labeled_bootstrap,11,180,0,10,coarse
19,real,0.4286,10,0.04878867326534801,0.49,labeled_bootstrap,12,180,0,10,coarse
19,real,0.5714,10,0.06770953298563206,0.55,labeled_bootstrap,13,180,0,10,coarse
19,real,0.7143,10,0.10950827452724614,0.86,labeled_bootstrap,14,180,0,10,coarse
19,real,0.8571,10,0.17213350971894487,0.96,labeled_bootstrap,15,180,0,10,coarse
19,real,1.0,10,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,10,coarse
19,real,0.0,20,0.0,0.06,exchangeable_null,0,180,0,20,coarse
19,real,0.154,20,0.009739118562315604,0.25,labeled_bootstrap,1,180,0,20,coarse
19,real,0.1873,20,0.006906809021771728,0.2,labeled_bootstrap,2,180,0,20,coarse
19,real,0.2636,20,0.022992013862510385,0.46,labeled_bootstrap,3,180,0,20,coarse
19,real,0.3117,20,0.018410237412977325,0.36,labeled_bootstrap,4,180,0,20,coarse
19,real,0.3401,20,0.027980633695437403,0.54,labeled_bootstrap,5,180,0,20,coarse
19,real,0.3624,20,0.03920517516771225,0.73,labeled_bootstrap,6,180,0,20,coarse
19,real,0.3691,20,0.03536296032273986,0.74,labeled_bootstrap,7,180,0,20,coarse
19,real,0.3756,20,0.024068102004024094,0.47,labeled_bootstrap,8,180,0,20,coarse
19,real,0.3889,20,0.028278150661504024,0.53,labeled_bootstrap,9,180,0,20,coarse
19,real,0.4021,20,0.04764834988005957,0.85,labeled_bootstrap,10,180,0,20,coarse
19,real,0.4153,20,0.04015614574194104,0.72,labeled_bootstrap,11,180,0,20,coarse
19,real,0.4286,20,0.04878867326534801,0.79,labeled_bootstrap,12,180,0,20,coarse
19,real,0.5714,20,0.06770953298563206,0.97,labeled_bootstrap,13,180,0,20,coarse
19,real,0.7143,20,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,20,coarse
19,real,0.8571,20,0.17213350971894487,1.0,labeled_bootstrap,15,180,0,20,coarse
19,real,1.0,20,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,20,coarse
19,real,0.0,30,0.0,0.04,exchangeable_null,0,180,0,30,coarse
19,real,0.154,30,0.009739118562315604,0.35,labeled_bootstrap,1,180,0,30,coarse
19,real,0.1873,30,0.006906809021771728,0.3,labeled_bootstrap,2,180,0,30,coarse
19,real,0.2636,30,0.022992013862510385,0.7,labeled_bootstrap,3,180,0,30,coarse
19,real,0.3117,30,0.018410237412977325,0.55,labeled_bootstrap,4,180,0,30,coarse
19,real,0.3401,30,0.027980633695437403,0.81,labeled_bootstrap,5,180,0,30,coarse
19,real,0.3624,30,0.03920517516771225,0.89,labeled_bootstrap,6,180,0,30,coarse
19,real,0.3691,30,0.03536296032273986,0.8,labeled_bootstrap,7,180,0,30,coarse
19,real,0.3756,30,0.024068102004024094,0.65,labeled_bootstrap,8,180,0,30,coarse
19,real,0.3889,30,0.028278150661504024,0.77,labeled_bootstrap,9,180,0,30,coarse
19,real,0.4021,30,0.04764834988005957,0.91,labeled_bootstrap,10,180,0,30,coarse
19,real,0.4153,30,0.04015614574194104,0.86,labeled_bootstrap,11,180,0,30,coarse
19,real,0.4286,30,0.04878867326534801,0.97,labeled_bootstrap,12,180,0,30,coarse
19,real,0.5714,30,0.06770953298563206,1.0,labeled_bootstrap,13,180,0,30,coarse
19,real,0.7143,30,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,30,coarse
