workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index,strength,mode,failed_bootstraps
gene,4,real,10,"pi=0.5,scale=1",0.0,0.08,180,0,,,
gene,4,real,10,"pi=0.688,scale=1",0.0336325935528916,0.16,180,1,,,
gene,4,real,10,"pi=0.781,scale=1",0.0725407372244219,0.35,180,2,,,
gene,4,real,10,"pi=0.844,scale=1",0.0937875432410843,0.41,180,3,,,
gene,4,real,10,"pi=0.775,scale=1.23",0.1188008114255498,0.43,180,4,,,
gene,4,real,10,"pi=0.775,scale=1.47",0.1481602511471877,0.63,180,5,,,
gene,4,real,10,"pi=0.7,scale=1.7",0.1812348848258006,0.78,180,6,,,
gene,4,real,10,"pi=0.925,scale=1.23",0.2216521632103158,0.85,180,7,,,
gene,4,real,10,"pi=0.85,scale=1.47",0.2833904903093881,0.93,180,8,,,
gene,4,real,10,"pi=0.85,scale=1.7",0.3027973108019207,0.98,180,9,,,
gene,4,real,10,"pi=0.925,scale=1.47",0.3258373840832065,1.0,180,10,,,
gene,4,real,10,"pi=0.925,scale=1.7",0.3679149901623262,0.99,180,11,,,
gene,4,real,10,"pi=1,scale=1.56",0.4036327897487498,1.0,180,12,,,
gene,4,real,80,"pi=0.5,scale=1",0.0,0.08,180,0,,,
gene,4,real,80,"pi=0.688,scale=1",0.0336325935528916,0.9,180,1,,,
gene,4,real,80,"pi=0.781,scale=1",0.0725407372244219,1.0,180,2,,,
gene,4,real,80,"pi=0.844,scale=1",0.0937875432410843,1.0,180,3,,,
gene,4,real,80,"pi=0.775,scale=1.23",0.1188008114255498,1.0,180,4,,,
gene,4,real,80,"pi=0.775,scale=1.47",0.1481602511471877,1.0,180,5,,,
gene,4,real,80,"pi=0.7,scale=1.7",0.1812348848258006,1.0,180,6,,,
gene,4,real,80,"pi=0.925,scale=1.23",0.2216521632103158,1.0,180,7,,,
gene,4,real,80,"pi=0.85,scale=1.47",0.2833904903093881,1.0,180,8,,,
gene,4,real,80,"pi=0.85,scale=1.7",0.3027973108019207,1.0,180,9,,,
gene,4,real,80,"pi=0.925,scale=1.47",0.3258373840832065,1.0,180,10,,,
gene,4,real,80,"pi=0.925,scale=1.7",0.3679149901623262,1.0,180,11,,,
gene,4,real,80,"pi=1,scale=1.56",0.4036327897487498,1.0,180,12,,,
gene,7,real,10,"pi=0.5,scale=1",0.0,0.09,180,0,,,
gene,7,real,10,"pi=0.656,scale=1",0.0353886271413391,0.19,180,1,,,
gene,7,real,10,"pi=0.7,scale=1",0.0646097856641723,0.37,180,2,,,
gene,7,real,10,"pi=0.688,scale=1",0.0864028330482809,0.37,180,3,,,
gene,7,real,10,"pi=0.75,scale=1",0.1205260499077704,0.58,180,4,,,
gene,7,real,10,"pi=0.7,scale=1.47",0.1543853692421407,0.66,180,5,,,
gene,7,real,10,"pi=0.844,scale=1",0.2045443773031635,0.74,180,6,,,
gene,7,real,10,"pi=0.875,scale=1",0.2416824384259385,0.81,180,7,,,
gene,7,real,10,"pi=0.775,scale=1.7",0.2872998271270414,0.95,180,8,,,
gene,7,real,10,"pi=0.925,scale=1.23",0.3269760458901424,0.92,180,9,,,
gene,7,real,10,"pi=0.925,scale=1.47",0.347577911598745,1.0,180,10,,,
gene,7,real,10,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11,,,
gene,7,real,10,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12,,,
gene,7,real,80,"pi=0.5,scale=1",0.0,0.07,180,0,,,
gene,7,real,80,"pi=0.656,scale=1",0.0353886271413391,0.9,180,1,,,
gene,7,real,80,"pi=0.7,scale=1",0.0646097856641723,0.98,180,2,,,
gene,7,real,80,"pi=0.688,scale=1",0.0864028330482809,1.0,180,3,,,
gene,7,real,80,"pi=0.75,scale=1",0.1205260499077704,1.0,180,4,,,
gene,7,real,80,"pi=0.7,scale=1.47",0.1543853692421407,1.0,180,5,,,
gene,7,real,80,"pi=0.844,scale=1",0.2045443773031635,1.0,180,6,,,
gene,7,real,80,"pi=0.875,scale=1",0.2416824384259385,1.0,180,7,,,
gene,7,real,80,"pi=0.775,scale=1.7",0.2872998271270414,1.0,180,8,,,
gene,7,real,80,"pi=0.925,scale=1.23",0.3269760458901424,1.0,180,9,,,
gene,7,real,80,"pi=0.925,scale=1.47",0.347577911598745,1.0,180,10,,,
gene,7,real,80,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11,,,
gene,7,real,80,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12,,,
gene,10,real,10,"pi=0.5,scale=1",0.0048099891649217,0.07,180,0,,,
gene,10,real,10,"pi=0.625,scale=1",0.0269751097919317,0.13,180,1,,,
gene,10,real,10,"pi=0.7,scale=1",0.0827366324684241,0.41,180,2,,,
gene,10,real,10,"pi=0.781,scale=1",0.1135142732657887,0.44,180,3,,,
gene,10,real,10,"pi=0.775,scale=1",0.1436700690376784,0.65,180,4,,,
gene,10,real,10,"pi=0.812,scale=1",0.1718897219463504,0.79,180,5,,,
gene,10,real,10,"pi=0.844,scale=1",0.2035622686833427,0.76,180,6,,,
gene,10,real,10,"pi=0.85,scale=1.23",0.236519528934997,0.78,180,7,,,
gene,10,real,10,"pi=0.925,scale=1",0.2879107519084489,0.98,180,8,,,
gene,10,real,10,"pi=0.925,scale=1.23",0.3158993608406791,0.99,180,9,,,
gene,10,real,10,"pi=0.969,scale=1",0.3804074719703157,0.98,180,10,,,
gene,10,real,10,"pi=1,scale=1",0.415293504982353,1.0,180,11,,,
gene,10,real,10,"pi=1,scale=1.7",0.4562887119051955,1.0,180,12,,,
gene,10,real,80,"pi=0.5,scale=1",0.0048099891649217,0.23,180,0,,,
gene,10,real,80,"pi=0.625,scale=1",0.0269751097919317,0.71,180,1,,,
gene,10,real,80,"pi=0.7,scale=1",0.0827366324684241,0.99,180,2,,,
gene,10,real,80,"pi=0.781,scale=1",0.1135142732657887,1.0,180,3,,,
gene,10,real,80,"pi=0.775,scale=1",0.1436700690376784,1.0,180,4,,,
gene,10,real,80,"pi=0.812,scale=1",0.1718897219463504,1.0,180,5,,,
gene,10,real,80,"pi=0.844,scale=1",0.2035622686833427,1.0,180,6,,,
gene,10,real,80,"pi=0.85,scale=1.23",0.236519528934997,1.0,180,7,,,
gene,10,real,80,"pi=0.925,scale=1",0.2879107519084489,1.0,180,8,,,
gene,10,real,80,"pi=0.925,scale=1.23",0.3158993608406791,1.0,180,9,,,
gene,10,real,80,"pi=0.969,scale=1",0.3804074719703157,1.0,180,10,,,
gene,10,real,80,"pi=1,scale=1",0.415293504982353,1.0,180,11,,,
gene,10,real,80,"pi=1,scale=1.7",0.4562887119051955,1.0,180,12,,,
protein,7,real,17,strength=0,0.0,0.04,180,0,0.0,exchangeable_null,0.0
protein,7,real,17,strength=0.0812,0.001093163664511,0.06,180,1,0.0812,labeled_bootstrap,0.0
protein,7,real,17,strength=0.123,0.0030054797330836,0.08,180,2,0.1231,labeled_bootstrap,0.0
protein,7,real,17,strength=0.176,0.0096539480732645,0.14,180,3,0.1765,labeled_bootstrap,0.0
protein,7,real,17,strength=0.221,0.0122014863186537,0.24,180,4,0.2214,labeled_bootstrap,0.0
protein,7,real,17,strength=0.239,0.0156858016786003,0.23,180,5,0.2388,labeled_bootstrap,0.0
protein,7,real,17,strength=0.256,0.0278224143293153,0.45,180,6,0.2562,labeled_bootstrap,0.0
protein,7,real,17,strength=0.274,0.0234906975506164,0.27,180,7,0.2736,labeled_bootstrap,0.0
protein,7,real,17,strength=0.292,0.0310806708344981,0.47,180,8,0.2923,labeled_bootstrap,0.0
protein,7,real,17,strength=0.314,0.0311313545699351,0.5,180,9,0.3139,labeled_bootstrap,0.0
protein,7,real,17,strength=0.336,0.0399038611222011,0.64,180,10,0.3355,labeled_bootstrap,0.0
protein,7,real,17,strength=0.339,0.034208662966514,0.48,180,11,0.3392,labeled_bootstrap,0.0
protein,7,real,17,strength=0.357,0.050634329218175,0.69,180,12,0.3571,labeled_bootstrap,0.0
protein,7,real,17,strength=0.518,0.0965507648816295,0.96,180,13,0.5179,labeled_bootstrap,0.0
protein,7,real,17,strength=0.679,0.1500708938162619,0.99,180,14,0.6786,labeled_bootstrap,0.0
protein,7,real,17,strength=0.839,0.2418038342080855,1.0,180,15,0.8393,labeled_bootstrap,0.0
protein,7,real,17,strength=1,0.340347894195618,1.0,180,16,1.0,labeled_bootstrap,0.0
protein,7,real,80,strength=0,0.0,0.01,180,0,0.0,exchangeable_null,0.0
protein,7,real,80,strength=0.0812,0.001093163664511,0.18,180,1,0.0812,labeled_bootstrap,0.0
protein,7,real,80,strength=0.123,0.0030054797330836,0.38,180,2,0.1231,labeled_bootstrap,0.0
protein,7,real,80,strength=0.176,0.0096539480732645,0.79,180,3,0.1765,labeled_bootstrap,0.0
protein,7,real,80,strength=0.221,0.0122014863186537,0.83,180,4,0.2214,labeled_bootstrap,0.0
protein,7,real,80,strength=0.239,0.0156858016786003,0.91,180,5,0.2388,labeled_bootstrap,0.0
protein,7,real,80,strength=0.256,0.0278224143293153,1.0,180,6,0.2562,labeled_bootstrap,0.0
protein,7,real,80,strength=0.274,0.0234906975506164,1.0,180,7,0.2736,labeled_bootstrap,0.0
protein,7,real,80,strength=0.292,0.0310806708344981,1.0,180,8,0.2923,labeled_bootstrap,0.0
protein,7,real,80,strength=0.314,0.0311313545699351,1.0,180,9,0.3139,labeled_bootstrap,0.0
protein,7,real,80,strength=0.336,0.0399038611222011,1.0,180,10,0.3355,labeled_bootstrap,0.0
protein,7,real,80,strength=0.339,0.034208662966514,1.0,180,11,0.3392,labeled_bootstrap,0.0
protein,7,real,80,strength=0.357,0.050634329218175,1.0,180,12,0.3571,labeled_bootstrap,0.0
protein,7,real,80,strength=0.518,0.0965507648816295,1.0,180,13,0.5179,labeled_bootstrap,0.0
protein,7,real,80,strength=0.679,0.1500708938162619,1.0,180,14,0.6786,labeled_bootstrap,0.0
protein,7,real,80,strength=0.839,0.2418038342080855,1.0,180,15,0.8393,labeled_bootstrap,0.0
protein,7,real,80,strength=1,0.340347894195618,1.0,180,16,1.0,labeled_bootstrap,0.0
protein,10,real,17,strength=0,0.0,0.03,180,0,0.0,exchangeable_null,0.0
protein,10,real,17,strength=0.103,0.0037163166506011,0.11,180,1,0.1028,labeled_bootstrap,0.0
protein,10,real,17,strength=0.154,0.0047208486275782,0.08,180,2,0.1538,labeled_bootstrap,0.0
protein,10,real,17,strength=0.183,0.0046196149851113,0.12,180,3,0.1833,labeled_bootstrap,0.0
protein,10,real,17,strength=0.213,0.0075407181324593,0.23,180,4,0.2129,labeled_bootstrap,0.0
protein,10,real,17,strength=0.287,0.0141709757954886,0.23,180,5,0.2868,labeled_bootstrap,0.0
