workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,4,real,10,"pi=0.5,scale=1",0.0,0.07,180,0
gene,4,real,10,"pi=0.6,scale=1",0.007011150152780675,0.07,180,1
gene,4,real,10,"pi=0.68,scale=1",0.005234853978345011,0.05,180,2
gene,4,real,10,"pi=0.75,scale=1",0.04536138675275961,0.22,180,3
gene,4,real,10,"pi=0.82,scale=1",0.12894830043019487,0.6,180,4
gene,4,real,10,"pi=0.88,scale=1",0.05451229874011908,0.25,180,5
gene,4,real,10,"pi=0.93,scale=1",0.21874349900298068,0.87,180,6
gene,4,real,10,"pi=0.97,scale=1",0.2286158620479092,0.83,180,7
gene,4,real,10,"pi=1,scale=1",0.16939374431873566,0.62,180,8
gene,4,real,10,"pi=1,scale=1.3",0.3382541847990862,1.0,180,9
gene,4,real,10,"pi=1,scale=1.7",0.4091679025402602,1.0,180,10
gene,4,real,80,"pi=0.5,scale=1",0.0,0.09,180,0
gene,4,real,80,"pi=0.6,scale=1",0.007011150152780675,0.29,180,1
gene,4,real,80,"pi=0.68,scale=1",0.005234853978345011,0.23,180,2
gene,4,real,80,"pi=0.75,scale=1",0.04536138675275961,0.96,180,3
gene,4,real,80,"pi=0.82,scale=1",0.12894830043019487,1.0,180,4
gene,4,real,80,"pi=0.88,scale=1",0.05451229874011908,0.99,180,5
gene,4,real,80,"pi=0.93,scale=1",0.21874349900298068,1.0,180,6
gene,4,real,80,"pi=0.97,scale=1",0.2286158620479092,1.0,180,7
gene,4,real,80,"pi=1,scale=1",0.16939374431873566,1.0,180,8
gene,4,real,80,"pi=1,scale=1.3",0.3382541847990862,1.0,180,9
gene,4,real,80,"pi=1,scale=1.7",0.4091679025402602,1.0,180,10
gene,7,real,10,"pi=0.5,scale=1",0.0,0.1,180,0
gene,7,real,10,"pi=0.6,scale=1",0.03007489622349748,0.16,180,1
gene,7,real,10,"pi=0.68,scale=1",0.08039224002477313,0.36,180,2
gene,7,real,10,"pi=0.75,scale=1",0.0754997564020438,0.31,180,3
gene,7,real,10,"pi=0.82,scale=1",0.152737115038573,0.68,180,4
gene,7,real,10,"pi=0.88,scale=1",0.2525902834905196,0.88,180,5
gene,7,real,10,"pi=0.93,scale=1",0.33192297097277057,0.97,180,6
gene,7,real,10,"pi=0.97,scale=1",0.3708670256898347,1.0,180,7
gene,7,real,10,"pi=1,scale=1",0.4486011160667107,1.0,180,8
gene,7,real,10,"pi=1,scale=1.3",0.41605830414913897,1.0,180,9
gene,7,real,10,"pi=1,scale=1.7",0.42851136344913787,1.0,180,10
gene,7,real,80,"pi=0.5,scale=1",0.0,0.07,180,0
gene,7,real,80,"pi=0.6,scale=1",0.03007489622349748,0.84,180,1
gene,7,real,80,"pi=0.68,scale=1",0.08039224002477313,1.0,180,2
gene,7,real,80,"pi=0.75,scale=1",0.0754997564020438,1.0,180,3
gene,7,real,80,"pi=0.82,scale=1",0.152737115038573,1.0,180,4
gene,7,real,80,"pi=0.88,scale=1",0.2525902834905196,1.0,180,5
gene,7,real,80,"pi=0.93,scale=1",0.33192297097277057,1.0,180,6
gene,7,real,80,"pi=0.97,scale=1",0.3708670256898347,1.0,180,7
gene,7,real,80,"pi=1,scale=1",0.4486011160667107,1.0,180,8
gene,7,real,80,"pi=1,scale=1.3",0.41605830414913897,1.0,180,9
gene,7,real,80,"pi=1,scale=1.7",0.42851136344913787,1.0,180,10
gene,10,real,10,"pi=0.5,scale=1",0.004809989164921551,0.08,180,0
gene,10,real,10,"pi=0.6,scale=1",0.03684874419242668,0.18,180,1
gene,10,real,10,"pi=0.68,scale=1",0.04329415080117464,0.24,180,2
gene,10,real,10,"pi=0.75,scale=1",0.06198960701888982,0.2,180,3
gene,10,real,10,"pi=0.82,scale=1",0.1779762495593532,0.67,180,4
gene,10,real,10,"pi=0.88,scale=1",0.21119529769119566,0.75,180,5
gene,10,real,10,"pi=0.93,scale=1",0.3297516748820122,0.98,180,6
gene,10,real,10,"pi=0.97,scale=1",0.3577717358553982,0.99,180,7
gene,10,real,10,"pi=1,scale=1",0.4454191490955168,1.0,180,8
gene,10,real,10,"pi=1,scale=1.3",0.42320621296802136,1.0,180,9
gene,10,real,10,"pi=1,scale=1.7",0.430915963803589,1.0,180,10
gene,10,real,80,"pi=0.5,scale=1",0.004809989164921551,0.26,180,0
gene,10,real,80,"pi=0.6,scale=1",0.03684874419242668,0.86,180,1
gene,10,real,80,"pi=0.68,scale=1",0.04329415080117464,0.94,180,2
gene,10,real,80,"pi=0.75,scale=1",0.06198960701888982,0.98,180,3
gene,10,real,80,"pi=0.82,scale=1",0.1779762495593532,1.0,180,4
gene,10,real,80,"pi=0.88,scale=1",0.21119529769119566,1.0,180,5
gene,10,real,80,"pi=0.93,scale=1",0.3297516748820122,1.0,180,6
gene,10,real,80,"pi=0.97,scale=1",0.3577717358553982,1.0,180,7
gene,10,real,80,"pi=1,scale=1",0.4454191490955168,1.0,180,8
gene,10,real,80,"pi=1,scale=1.3",0.42320621296802136,1.0,180,9
gene,10,real,80,"pi=1,scale=1.7",0.430915963803589,1.0,180,10
