workflow,pilot_n,pilot_source,strength,eval_n,true_omega2,power,mode,scenario_index,pool_size_per_group,failed_bootstraps,effect_parameter
protein,7,real,0.0,17,0.0,0.04,exchangeable_null,0,180,0,strength=0
protein,7,real,0.0812,17,0.0010931636645110428,0.06,labeled_bootstrap,1,180,0,strength=0.0812
protein,7,real,0.1231,17,0.003005479733083616,0.08,labeled_bootstrap,2,180,0,strength=0.123
protein,7,real,0.1765,17,0.009653948073264567,0.14,labeled_bootstrap,3,180,0,strength=0.176
protein,7,real,0.2214,17,0.012201486318653787,0.24,labeled_bootstrap,4,180,0,strength=0.221
protein,7,real,0.2388,17,0.0156858016786003,0.23,labeled_bootstrap,5,180,0,strength=0.239
protein,7,real,0.2562,17,0.02782241432931539,0.45,labeled_bootstrap,6,180,0,strength=0.256
protein,7,real,0.2736,17,0.02349069755061648,0.27,labeled_bootstrap,7,180,0,strength=0.274
protein,7,real,0.2923,17,0.03108067083449813,0.47,labeled_bootstrap,8,180,0,strength=0.292
protein,7,real,0.3139,17,0.031131354569935172,0.5,labeled_bootstrap,9,180,0,strength=0.314
protein,7,real,0.3355,17,0.03990386112220116,0.64,labeled_bootstrap,10,180,0,strength=0.336
protein,7,real,0.3392,17,0.034208662966514015,0.48,labeled_bootstrap,11,180,0,strength=0.339
protein,7,real,0.3571,17,0.05063432921817502,0.69,labeled_bootstrap,12,180,0,strength=0.357
protein,7,real,0.5179,17,0.09655076488162957,0.96,labeled_bootstrap,13,180,0,strength=0.518
protein,7,real,0.6786,17,0.15007089381626196,0.99,labeled_bootstrap,14,180,0,strength=0.679
protein,7,real,0.8393,17,0.24180383420808557,1.0,labeled_bootstrap,15,180,0,strength=0.839
protein,7,real,1.0,17,0.34034789419561806,1.0,labeled_bootstrap,16,180,0,strength=1
protein,7,real,0.0,80,0.0,0.01,exchangeable_null,0,180,0,strength=0
protein,7,real,0.0812,80,0.0010931636645110428,0.18,labeled_bootstrap,1,180,0,strength=0.0812
protein,7,real,0.1231,80,0.003005479733083616,0.38,labeled_bootstrap,2,180,0,strength=0.123
protein,7,real,0.1765,80,0.009653948073264567,0.79,labeled_bootstrap,3,180,0,strength=0.176
protein,7,real,0.2214,80,0.012201486318653787,0.83,labeled_bootstrap,4,180,0,strength=0.221
protein,7,real,0.2388,80,0.0156858016786003,0.91,labeled_bootstrap,5,180,0,strength=0.239
protein,7,real,0.2562,80,0.02782241432931539,1.0,labeled_bootstrap,6,180,0,strength=0.256
protein,7,real,0.2736,80,0.02349069755061648,1.0,labeled_bootstrap,7,180,0,strength=0.274
protein,7,real,0.2923,80,0.03108067083449813,1.0,labeled_bootstrap,8,180,0,strength=0.292
protein,7,real,0.3139,80,0.031131354569935172,1.0,labeled_bootstrap,9,180,0,strength=0.314
protein,7,real,0.3355,80,0.03990386112220116,1.0,labeled_bootstrap,10,180,0,strength=0.336
protein,7,real,0.3392,80,0.034208662966514015,1.0,labeled_bootstrap,11,180,0,strength=0.339
protein,7,real,0.3571,80,0.05063432921817502,1.0,labeled_bootstrap,12,180,0,strength=0.357
protein,7,real,0.5179,80,0.09655076488162957,1.0,labeled_bootstrap,13,180,0,strength=0.518
protein,7,real,0.6786,80,0.15007089381626196,1.0,labeled_bootstrap,14,180,0,strength=0.679
protein,7,real,0.8393,80,0.24180383420808557,1.0,labeled_bootstrap,15,180,0,strength=0.839
