pilot_n,pilot_source,pi,scale,eval_n,true_omega2,power,mode,n_per_group,search_stage
10,real,0.5,1.0,2,0.0,0.0,pcam_raw_pool,2,coarse
10,real,0.6,1.0,2,0.037345293210254545,0.0,pcam_raw_pool,2,coarse
10,real,0.68,1.0,2,0.08169186844546515,0.0,pcam_raw_pool,2,coarse
10,real,0.75,1.0,2,0.09652856161639764,0.0,pcam_raw_pool,2,coarse
10,real,0.82,1.0,2,0.12993994743706622,0.0,pcam_raw_pool,2,coarse
10,real,0.88,1.0,2,0.25595509538680106,0.0,pcam_raw_pool,2,coarse
10,real,0.93,1.0,2,0.35481898103634224,0.0,pcam_raw_pool,2,coarse
10,real,0.97,1.0,2,0.3345050518794821,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.0,2,0.4226475984354396,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.3,2,0.4167710022801599,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.7,2,0.45817902046282377,0.0,pcam_raw_pool,2,coarse
10,real,0.5,1.0,10,0.0,0.07,pcam_raw_pool,10,coarse
10,real,0.6,1.0,10,0.023802012053257004,0.17,pcam_raw_pool,10,coarse
10,real,0.68,1.0,10,0.07437069816624695,0.32,pcam_raw_pool,10,coarse
10,real,0.75,1.0,10,0.09356964661737541,0.42,pcam_raw_pool,10,coarse
10,real,0.82,1.0,10,0.17272206767349454,0.72,pcam_raw_pool,10,coarse
10,real,0.88,1.0,10,0.24758482935269321,0.88,pcam_raw_pool,10,coarse
10,real,0.93,1.0,10,0.2938155268613745,0.91,pcam_raw_pool,10,coarse
10,real,0.97,1.0,10,0.3733908749308118,0.99,pcam_raw_pool,10,coarse
10,real,1.0,1.0,10,0.3981280863570296,1.0,pcam_raw_pool,10,coarse
10,real,1.0,1.3,10,0.40101237692038094,1.0,pcam_raw_pool,10,coarse
10,real,1.0,1.7,10,0.45259109529469554,1.0,pcam_raw_pool,10,coarse
10,real,0.5,1.0,20,0.0,0.08,pcam_raw_pool,20,coarse
10,real,0.6,1.0,20,0.015514802695301968,0.13,pcam_raw_pool,20,coarse
10,real,0.68,1.0,20,0.04771256628764963,0.36,pcam_raw_pool,20,coarse
10,real,0.75,1.0,20,0.09343935033831695,0.79,pcam_raw_pool,20,coarse
10,real,0.82,1.0,20,0.1941878144562208,0.96,pcam_raw_pool,20,coarse
10,real,0.88,1.0,20,0.21161205760865626,0.99,pcam_raw_pool,20,coarse
10,real,0.93,1.0,20,0.3134163132891886,0.99,pcam_raw_pool,20,coarse
10,real,0.97,1.0,20,0.37258191842953936,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.0,20,0.42512910283006833,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.3,20,0.40824179519527515,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.7,20,0.41875019245872,1.0,pcam_raw_pool,20,coarse
10,real,0.5,1.0,30,0.0,0.08,pcam_raw_pool,30,coarse
10,real,0.6,1.0,30,4.547926893197917e-06,0.02,pcam_raw_pool,30,coarse
10,real,0.68,1.0,30,0.06811553297344326,0.76,pcam_raw_pool,30,coarse
10,real,0.75,1.0,30,0.10335590076608768,0.94,pcam_raw_pool,30,coarse
10,real,0.82,1.0,30,0.16086484858554934,0.98,pcam_raw_pool,30,coarse
10,real,0.88,1.0,30,0.1964712474279487,1.0,pcam_raw_pool,30,coarse
10,real,0.93,1.0,30,0.3135744076088485,1.0,pcam_raw_pool,30,coarse
10,real,0.97,1.0,30,0.3648386759514182,1.0,pcam_raw_pool,30,coarse
10,real,1.0,1.0,30,0.44115498882642373,1.0,pcam_raw_pool,30,coarse
10,real,1.0,1.3,30,0.432243486286021,1.0,pcam_raw_pool,30,coarse
10,real,1.0,1.7,30,0.42295655677177296,1.0,pcam_raw_pool,30,coarse
