pilot_n,pilot_source,pi,scale,eval_n,true_omega2,power,mode,n_per_group,search_stage
10,real,0.5,1.0,2,0.0,0.0,pcam_raw_pool,2,coarse
10,real,0.6,1.0,2,0.037345293210254545,0.0,pcam_raw_pool,2,coarse
10,real,0.68,1.0,2,0.08169186844546512,0.0,pcam_raw_pool,2,coarse
10,real,0.75,1.0,2,0.09652856161639778,0.0,pcam_raw_pool,2,coarse
10,real,0.82,1.0,2,0.12993994743706622,0.0,pcam_raw_pool,2,coarse
10,real,0.88,1.0,2,0.255955095386801,0.0,pcam_raw_pool,2,coarse
10,real,0.93,1.0,2,0.35481898103634235,0.0,pcam_raw_pool,2,coarse
10,real,0.97,1.0,2,0.3345050518794819,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.0,2,0.4226475984354392,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.3,2,0.41677100228016,0.0,pcam_raw_pool,2,coarse
10,real,1.0,1.7,2,0.4581790204628236,0.0,pcam_raw_pool,2,coarse
10,real,0.5,1.0,10,0.0,0.08,pcam_raw_pool,10,coarse
10,real,0.6,1.0,10,0.02380201205325685,0.15,pcam_raw_pool,10,coarse
10,real,0.68,1.0,10,0.07437069816624706,0.34,pcam_raw_pool,10,coarse
10,real,0.75,1.0,10,0.09356964661737538,0.44,pcam_raw_pool,10,coarse
10,real,0.82,1.0,10,0.17272206767349452,0.73,pcam_raw_pool,10,coarse
10,real,0.88,1.0,10,0.24758482935269313,0.88,pcam_raw_pool,10,coarse
10,real,0.93,1.0,10,0.2938155268613745,0.91,pcam_raw_pool,10,coarse
10,real,0.97,1.0,10,0.37339087493081174,0.98,pcam_raw_pool,10,coarse
10,real,1.0,1.0,10,0.3981280863570296,1.0,pcam_raw_pool,10,coarse
10,real,1.0,1.3,10,0.40101237692038094,1.0,pcam_raw_pool,10,coarse
10,real,1.0,1.7,10,0.45259109529469527,1.0,pcam_raw_pool,10,coarse
10,real,0.5,1.0,20,0.0,0.1,pcam_raw_pool,20,coarse
10,real,0.6,1.0,20,0.015514802695302277,0.12,pcam_raw_pool,20,coarse
10,real,0.68,1.0,20,0.047712566287649784,0.36,pcam_raw_pool,20,coarse
10,real,0.75,1.0,20,0.09343935033831725,0.76,pcam_raw_pool,20,coarse
10,real,0.82,1.0,20,0.1941878144562203,0.97,pcam_raw_pool,20,coarse
10,real,0.88,1.0,20,0.2116120576086563,1.0,pcam_raw_pool,20,coarse
10,real,0.93,1.0,20,0.3134163132891886,1.0,pcam_raw_pool,20,coarse
10,real,0.97,1.0,20,0.3725819184295397,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.0,20,0.4251291028300684,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.3,20,0.408241795195275,1.0,pcam_raw_pool,20,coarse
10,real,1.0,1.7,20,0.4187501924587201,1.0,pcam_raw_pool,20,coarse
10,real,0.5,1.0,30,0.0,0.11,pcam_raw_pool,30,coarse
