workflow,eval_n,pilot_n,fit_status,power_at_target_omega2,target_omega2
gene,10,4,ok,0.1006108185788458,0.03
gene,10,7,ok,0.13905287485184287,0.03
gene,10,10,ok,0.09875493076023183,0.03
protein,17,7,ok,0.46695842252505604,0.03
protein,17,10,ok,0.5183612441601934,0.03
protein,17,17,ok,0.5356329423110928,0.03
gene,80,4,ok,0.6712871607196577,0.03
gene,80,7,ok,0.840686945550682,0.03
gene,80,10,ok,0.7642766523122662,0.03
protein,80,7,ok,0.9660443877279431,0.03
protein,80,10,ok,0.9820777424265724,0.03
protein,80,17,ok,0.9981040402772341,0.03
