workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,4,real,10,"pi=0.5,scale=1",0.0,0.08,180,0
gene,4,real,10,"pi=0.688,scale=1",0.033632593552891464,0.16,180,1
gene,4,real,10,"pi=0.719,scale=1",0.06460721000921306,0.28,180,2
gene,4,real,10,"pi=0.812,scale=1",0.08704234481548184,0.3,180,3
gene,4,real,10,"pi=0.775,scale=1.23",0.11880081142555007,0.46,180,4
gene,4,real,10,"pi=0.775,scale=1.47",0.14816025114718767,0.59,180,5
gene,4,real,10,"pi=0.7,scale=1.7",0.18123488482580116,0.76,180,6
gene,4,real,10,"pi=0.925,scale=1.23",0.22165216321031572,0.87,180,7
gene,4,real,10,"pi=0.85,scale=1.47",0.2833904903093883,0.94,180,8
gene,4,real,10,"pi=0.85,scale=1.7",0.3027973108019206,0.98,180,9
gene,4,real,10,"pi=0.925,scale=1.47",0.3258373840832062,0.97,180,10
gene,4,real,10,"pi=0.925,scale=1.7",0.36791499016232615,0.99,180,11
gene,4,real,10,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,4,real,20,"pi=0.5,scale=1",0.0,0.09,180,0
gene,4,real,20,"pi=0.688,scale=1",0.033632593552891464,0.32,180,1
gene,4,real,20,"pi=0.719,scale=1",0.06460721000921306,0.5,180,2
gene,4,real,20,"pi=0.812,scale=1",0.08704234481548184,0.65,180,3
gene,4,real,20,"pi=0.775,scale=1.23",0.11880081142555007,0.86,180,4
gene,4,real,20,"pi=0.775,scale=1.47",0.14816025114718767,0.93,180,5
gene,4,real,20,"pi=0.7,scale=1.7",0.18123488482580116,0.99,180,6
gene,4,real,20,"pi=0.925,scale=1.23",0.22165216321031572,0.99,180,7
gene,4,real,20,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,20,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,20,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,20,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
gene,4,real,20,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,4,real,30,"pi=0.5,scale=1",0.0,0.06,180,0
gene,4,real,30,"pi=0.688,scale=1",0.033632593552891464,0.46,180,1
gene,4,real,30,"pi=0.719,scale=1",0.06460721000921306,0.74,180,2
gene,4,real,30,"pi=0.812,scale=1",0.08704234481548184,0.89,180,3
gene,4,real,30,"pi=0.775,scale=1.23",0.11880081142555007,0.96,180,4
gene,4,real,30,"pi=0.775,scale=1.47",0.14816025114718767,0.98,180,5
gene,4,real,30,"pi=0.7,scale=1.7",0.18123488482580116,1.0,180,6
gene,4,real,30,"pi=0.925,scale=1.23",0.22165216321031572,1.0,180,7
gene,4,real,30,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,30,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,30,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,30,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
gene,4,real,30,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,4,real,40,"pi=0.5,scale=1",0.0,0.05,180,0
gene,4,real,40,"pi=0.688,scale=1",0.033632593552891464,0.62,180,1
gene,4,real,40,"pi=0.719,scale=1",0.06460721000921306,0.85,180,2
gene,4,real,40,"pi=0.812,scale=1",0.08704234481548184,0.97,180,3
gene,4,real,40,"pi=0.775,scale=1.23",0.11880081142555007,0.99,180,4
gene,4,real,40,"pi=0.775,scale=1.47",0.14816025114718767,1.0,180,5
gene,4,real,40,"pi=0.7,scale=1.7",0.18123488482580116,1.0,180,6
gene,4,real,40,"pi=0.925,scale=1.23",0.22165216321031572,1.0,180,7
gene,4,real,40,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,40,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,40,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,40,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
gene,4,real,40,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,4,real,50,"pi=0.5,scale=1",0.0,0.08,180,0
gene,4,real,50,"pi=0.688,scale=1",0.033632593552891464,0.69,180,1
gene,4,real,50,"pi=0.719,scale=1",0.06460721000921306,0.94,180,2
gene,4,real,50,"pi=0.812,scale=1",0.08704234481548184,0.99,180,3
gene,4,real,50,"pi=0.775,scale=1.23",0.11880081142555007,1.0,180,4
gene,4,real,50,"pi=0.775,scale=1.47",0.14816025114718767,1.0,180,5
gene,4,real,50,"pi=0.7,scale=1.7",0.18123488482580116,1.0,180,6
gene,4,real,50,"pi=0.925,scale=1.23",0.22165216321031572,1.0,180,7
gene,4,real,50,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,50,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,50,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,50,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
