workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,4,real,10,"pi=0.5,scale=1",0.0,0.08,180,0
gene,4,real,10,"pi=0.688,scale=1",0.03363259355289162,0.16,180,1
gene,4,real,10,"pi=0.781,scale=1",0.07254073722442199,0.35,180,2
gene,4,real,10,"pi=0.844,scale=1",0.09378754324108435,0.41,180,3
gene,4,real,10,"pi=0.775,scale=1.23",0.11880081142554987,0.43,180,4
gene,4,real,10,"pi=0.775,scale=1.47",0.14816025114718773,0.63,180,5
gene,4,real,10,"pi=0.7,scale=1.7",0.1812348848258006,0.78,180,6
gene,4,real,10,"pi=0.925,scale=1.23",0.22165216321031586,0.85,180,7
gene,4,real,10,"pi=0.85,scale=1.47",0.2833904903093881,0.93,180,8
gene,4,real,10,"pi=0.85,scale=1.7",0.30279731080192074,0.98,180,9
gene,4,real,10,"pi=0.925,scale=1.47",0.3258373840832065,1.0,180,10
gene,4,real,10,"pi=0.925,scale=1.7",0.36791499016232626,0.99,180,11
gene,4,real,10,"pi=1,scale=1.56",0.40363278974874983,1.0,180,12
gene,4,real,80,"pi=0.5,scale=1",0.0,0.08,180,0
gene,4,real,80,"pi=0.688,scale=1",0.03363259355289162,0.9,180,1
gene,4,real,80,"pi=0.781,scale=1",0.07254073722442199,1.0,180,2
gene,4,real,80,"pi=0.844,scale=1",0.09378754324108435,1.0,180,3
gene,4,real,80,"pi=0.775,scale=1.23",0.11880081142554987,1.0,180,4
gene,4,real,80,"pi=0.775,scale=1.47",0.14816025114718773,1.0,180,5
gene,4,real,80,"pi=0.7,scale=1.7",0.1812348848258006,1.0,180,6
gene,4,real,80,"pi=0.925,scale=1.23",0.22165216321031586,1.0,180,7
gene,4,real,80,"pi=0.85,scale=1.47",0.2833904903093881,1.0,180,8
gene,4,real,80,"pi=0.85,scale=1.7",0.30279731080192074,1.0,180,9
gene,4,real,80,"pi=0.925,scale=1.47",0.3258373840832065,1.0,180,10
gene,4,real,80,"pi=0.925,scale=1.7",0.36791499016232626,1.0,180,11
gene,4,real,80,"pi=1,scale=1.56",0.40363278974874983,1.0,180,12
gene,7,real,10,"pi=0.5,scale=1",0.0,0.09,180,0
gene,7,real,10,"pi=0.656,scale=1",0.035388627141339106,0.19,180,1
gene,7,real,10,"pi=0.7,scale=1",0.0646097856641723,0.37,180,2
gene,7,real,10,"pi=0.688,scale=1",0.08640283304828092,0.37,180,3
gene,7,real,10,"pi=0.75,scale=1",0.12052604990777041,0.58,180,4
gene,7,real,10,"pi=0.7,scale=1.47",0.1543853692421407,0.66,180,5
gene,7,real,10,"pi=0.844,scale=1",0.20454437730316352,0.74,180,6
gene,7,real,10,"pi=0.875,scale=1",0.24168243842593853,0.81,180,7
