modality,split,metric,value
protein,0,abundance,0.11181327081846906
protein,0,prevalence,0.2428906329630007
protein,0,distance,0.3285108024691358
protein,0,dispersion,0.6594427244582043
protein,0,omega2,39.86313713864835
protein,0,deff,0.49005211423414824
protein,0,tf_topology,0.24458204334365324
protein,0,source_r2,0.019870505513087066
protein,1,abundance,0.08001223116909591
protein,1,prevalence,0.37264295178880846
protein,1,distance,0.1863425925925926
protein,1,dispersion,0.25696594427244585
protein,1,omega2,2.3023422761148002
protein,1,deff,0.10735842558617904
protein,1,tf_topology,0.18675721782922985
protein,1,source_r2,0.016895927954405646
protein,2,abundance,0.09540311894811945
protein,2,prevalence,0.28590357761696056
protein,2,distance,0.39166666666666666
protein,2,dispersion,0.5201238390092879
protein,2,omega2,36.78284015559769
protein,2,deff,0.402682237241537
protein,2,tf_topology,0.24458204334365324
protein,2,source_r2,0.019311952316608903
protein,3,abundance,0.46182855977983894
protein,3,prevalence,0.45408215268576085
protein,3,distance,0.35011574074074076
protein,3,dispersion,0.3126934984520124
protein,3,omega2,0.29856682594503814
protein,3,deff,0.6644033357168522
protein,3,tf_topology,1.4851148808690007
protein,3,source_r2,0.13340444913849234
protein,4,abundance,0.12078279482213841
protein,4,prevalence,0.2667414127000306
protein,4,distance,0.31539351851851855
protein,4,dispersion,0.4117647058823529
protein,4,omega2,4.425880008017919
protein,4,deff,0.8461131091478203
protein,4,tf_topology,0.29721362229102166
protein,4,source_r2,0.035258047043145925
protein,5,abundance,0.08001223116909591
protein,5,prevalence,0.32137396799510753
protein,5,distance,0.16944444444444445
protein,5,dispersion,0.18885448916408668
protein,5,omega2,1.1449580746229078
protein,5,deff,0.2456797981827414
protein,5,tf_topology,0.1609907120743034
protein,5,source_r2,0.01716632816468482
protein,6,abundance,0.06421363775354194
protein,6,prevalence,0.32606258281520745
protein,6,distance,0.24166666666666667
protein,6,dispersion,0.25696594427244585
protein,6,omega2,0.5649141725371757
protein,6,deff,0.11833247214142222
protein,6,tf_topology,0.31823569120975814
protein,6,source_r2,0.022600997367587007
protein,7,abundance,0.1839771684843543
protein,7,prevalence,0.2344307410049944
protein,7,distance,0.10555555555555556
protein,7,dispersion,0.38390092879256965
protein,7,omega2,0.4050378679376377
protein,7,deff,0.1327903886179441
protein,7,tf_topology,0.20908042392942078
protein,7,source_r2,0.015373912406308586
protein,8,abundance,0.025481602283151564
protein,8,prevalence,0.3628580165120783
protein,8,distance,0.19166666666666668
protein,8,dispersion,0.4674922600619195
protein,8,omega2,36.35951435532332
protein,8,deff,0.17509667482474794
protein,8,tf_topology,0.2839197852114156
protein,8,source_r2,0.026285930808829412
protein,9,abundance,0.25165630414840484
protein,9,prevalence,0.22943634695749668
protein,9,distance,0.15354938271604937
protein,9,dispersion,0.29102167182662536
protein,9,omega2,3.4989619956548257
protein,9,deff,0.060689208119938436
protein,9,tf_topology,0.4148606811145511
protein,9,source_r2,0.015173222378378376
protein,10,abundance,0.01936601773519519
protein,10,prevalence,0.3079196819896035
protein,10,distance,0.20277777777777778
protein,10,dispersion,0.39009287925696595
protein,10,omega2,3.1112825059927536
protein,10,deff,0.06019531736909569
protein,10,tf_topology,0.26980151606524844
protein,10,source_r2,0.018144050496050737
protein,11,abundance,0.05086127815717052
protein,11,prevalence,0.4153501172153705
protein,11,distance,0.3138888888888889
protein,11,dispersion,0.39628482972136225
protein,11,omega2,36.5295559145727
protein,11,deff,0.29779574335813547
protein,11,tf_topology,0.7255983507317355
protein,11,source_r2,0.07566029774996354
protein,12,abundance,0.1173172969116298
protein,12,prevalence,0.40841912139435327
protein,12,distance,0.35833333333333334
protein,12,dispersion,0.5263157894736842
protein,12,omega2,37.076950161227366
protein,12,deff,0.19612940415327226
protein,12,tf_topology,0.3126934984520124
protein,12,source_r2,0.01727287157485054
protein,13,abundance,0.09224340026500866
protein,13,prevalence,0.26082968097033943
protein,13,distance,0.19444444444444445
protein,13,dispersion,0.48297213622291024
protein,13,omega2,39.86313713864835
protein,13,deff,0.20664285047831227
protein,13,tf_topology,0.25790835492526193
protein,13,source_r2,0.015969128527372634
protein,14,abundance,0.18774844562226073
protein,14,prevalence,0.4608092956885129
protein,14,distance,0.2777777777777778
protein,14,dispersion,0.26006191950464397
protein,14,omega2,1.8058960820098775
protein,14,deff,0.09606693807039794
protein,14,tf_topology,0.2795300709349988
protein,14,source_r2,0.01342867279893166
protein,15,abundance,0.3049638161247579
protein,15,prevalence,0.3042503312608297
protein,15,distance,0.21666666666666667
protein,15,dispersion,0.33126934984520123
protein,15,omega2,3.1189087787557233
protein,15,deff,0.037857494515565075
protein,15,tf_topology,0.4517662196734546
protein,15,source_r2,0.023255948960253927
protein,16,abundance,0.11915197227601672
protein,16,prevalence,0.27774946488635205
protein,16,distance,0.2881944444444444
protein,16,dispersion,0.7120743034055728
protein,16,omega2,39.86313713864835
protein,16,deff,0.477080330886995
protein,16,tf_topology,0.1826625386996904
protein,16,source_r2,0.01304778012517619
protein,17,abundance,0.13474671287330547
protein,17,prevalence,0.38681072265824074
protein,17,distance,0.23244598765432098
protein,17,dispersion,0.39009287925696595
protein,17,omega2,39.86313713864835
protein,17,deff,0.4522329533818219
protein,17,tf_topology,0.3414579344483625
protein,17,source_r2,0.028508498301234562
protein,18,abundance,0.06961573743757007
protein,18,prevalence,0.264295178880848
protein,18,distance,0.24444444444444444
protein,18,dispersion,0.3715170278637771
protein,18,omega2,39.86313713864835
protein,18,deff,0.1446079291354548
protein,18,tf_topology,0.4672487479544044
protein,18,source_r2,0.03548937190732434
protein,19,abundance,0.03373764142289267
protein,19,prevalence,0.342472734685557
protein,19,distance,0.2816358024691358
protein,19,dispersion,0.6006191950464397
protein,19,omega2,39.86313713864835
protein,19,deff,0.55627815931613
protein,19,tf_topology,0.17647058823529413
protein,19,source_r2,0.01423134121342447
protein,20,abundance,0.016104372642951788
protein,20,prevalence,0.3487921720517786
protein,20,distance,0.18055555555555555
protein,20,dispersion,0.25696594427244585
protein,20,omega2,0.6700035941073562
protein,20,deff,0.0319326161832895
protein,20,tf_topology,0.18575851393188855
protein,20,source_r2,0.019031187401840143
protein,21,abundance,0.06767913566405055
protein,21,prevalence,0.27469167261237387
protein,21,distance,0.25555555555555554
protein,21,dispersion,0.47678018575851394
protein,21,omega2,39.86313713864835
protein,21,deff,0.2933815880351594
protein,21,tf_topology,0.478740227165626
protein,21,source_r2,0.03599275245289927
protein,22,abundance,0.23351340332280093
protein,22,prevalence,0.23035368463969014
protein,22,distance,0.19444444444444445
protein,22,dispersion,0.25696594427244585
protein,22,omega2,1.4154047285279903
protein,22,deff,0.04792646310837335
protein,22,tf_topology,0.18575851393188855
protein,22,source_r2,0.017611838635389662
protein,23,abundance,0.08276424421567628
protein,23,prevalence,0.2953827336662929
protein,23,distance,0.3472222222222222
protein,23,dispersion,0.631578947368421
protein,23,omega2,37.93647942314939
protein,23,deff,0.3126260038157041
protein,23,tf_topology,0.17956656346749225
protein,23,source_r2,0.014722192216011728
protein,24,abundance,0.10518805422484966
protein,24,prevalence,0.36397920701253694
protein,24,distance,0.17881944444444445
protein,24,dispersion,0.2631578947368421
protein,24,omega2,0.12686600077272114
protein,24,deff,0.1435754828138438
protein,24,tf_topology,0.17956656346749225
protein,24,source_r2,0.01441642234396056
protein,25,abundance,0.27723983284068904
protein,25,prevalence,0.27723983284068904
protein,25,distance,0.28684413580246915
protein,25,dispersion,0.4674922600619195
protein,25,omega2,36.540002975863885
protein,25,deff,0.5719130961506841
protein,25,tf_topology,0.4530550927627286
protein,25,source_r2,0.02651375912826949
protein,26,abundance,0.25787381510549384
protein,26,prevalence,0.5120782794822138
protein,26,distance,0.3304398148148148
protein,26,dispersion,0.5201238390092879
protein,26,omega2,36.993751552142406
protein,26,deff,0.6488075822807688
protein,26,tf_topology,0.5113727192236284
protein,26,source_r2,0.0200680844313296
protein,27,abundance,0.03108755478544491
protein,27,prevalence,0.3331974314544899
protein,27,distance,0.325
protein,27,dispersion,0.4891640866873065
protein,27,omega2,5.066325915951487
protein,27,deff,0.37491911498175656
protein,27,tf_topology,0.3065015479876161
protein,27,source_r2,0.02456172415038993
protein,28,abundance,0.11670573845683417
protein,28,prevalence,0.27825909693201506
protein,28,distance,0.5194444444444445
protein,28,dispersion,0.42105263157894735
protein,28,omega2,37.89148592252664
protein,28,deff,0.1040080988576558
protein,28,tf_topology,0.30340557275541796
protein,28,source_r2,0.03205592626949293
protein,29,abundance,0.0357761696055448
protein,29,prevalence,0.3857914585669147
protein,29,distance,0.30833333333333335
protein,29,dispersion,0.3157894736842105
protein,29,omega2,37.385376083213856
protein,29,deff,0.027246715338425213
protein,29,tf_topology,0.44193712886020386
protein,29,source_r2,0.03787812393483939
protein,30,abundance,0.12241361736826012
protein,30,prevalence,0.3175007644480685
protein,30,distance,0.3194444444444444
protein,30,dispersion,0.33126934984520123
protein,30,omega2,4.049813697956399
protein,30,deff,0.16723846019011648
protein,30,tf_topology,0.2025071686558729
protein,30,source_r2,0.02560801513866428
protein,31,abundance,0.20884721231271022
protein,31,prevalence,0.19253898685149323
protein,31,distance,0.2111111111111111
protein,31,dispersion,0.24148606811145512
protein,31,omega2,2.1064532130013043
protein,31,deff,0.2527705543411271
protein,31,tf_topology,0.37244504050465693
protein,31,source_r2,0.02288111005243744
protein,32,abundance,0.08092956885128937
protein,32,prevalence,0.25634491896850475
protein,32,distance,0.28684413580246915
protein,32,dispersion,0.4148606811145511
protein,32,omega2,36.32464165005454
protein,32,deff,0.4490547395938595
protein,32,tf_topology,0.3625349519956606
protein,32,source_r2,0.019900674354702722
protein,33,abundance,0.1287330547344817
protein,33,prevalence,0.31505453062888594
protein,33,distance,0.30833333333333335
protein,33,dispersion,0.2786377708978328
