panel,pilot_n,h,x0,floor,eval_n
(a),7.0,2.3168772917894134,0.029030637699622327,0.05,
(a),10.0,2.3590975054045376,0.029798008650482013,0.03,
(a),17.0,2.1412673204393906,0.027544986415910345,0.07,
(b),,1.7668533715816448,0.07951191013793318,0.04,7.0
(b),,1.738595166650835,0.05105859423305309,0.01,10.0
(b),,2.1412673204393906,0.027544986415910345,0.07,17.0
(b),,2.575670792759406,0.014800209255272631,0.06,30.0
(b),,2.909955950365889,0.008837948133864832,0.05,50.0
(b),,3.830743614297,0.005531464755528369,0.05,80.0
(c),7.0,2.710839671980127,0.004415277858766388,0.03,
(c),10.0,2.669422031615249,0.005198109371112685,0.05,
(c),17.0,3.7632803081115047,0.005469081295557555,0.05,
(c),30.0,2.913431548684015,0.0044649106480258854,0.06,
(c),50.0,1.9380478054469807,0.003377087960835051,0.08,
(c),80.0,2.1440112125836803,0.0034230696239304272,0.03,
