modality,panel,pilot,pilot_seed,pi,scale,eval_n,true_omega2,power,boot
gene,b_dense_refined,10,11867,0.5,1.0,4,8.143205191690411e-05,0.048,500
gene,b_dense_refined,10,11867,0.55,1.0,4,0.011747300108331927,0.05,500
gene,b_dense_refined,10,11867,0.6,1.0,4,0.012385131314089182,0.048,500
gene,b_dense_refined,10,11867,0.65,1.0,4,0.028091870867231496,0.05,500
gene,b_dense_refined,10,11867,0.7,1.0,4,0.07763877406469376,0.12,500
gene,b_dense_refined,10,11867,0.75,1.0,4,0.10796999353275118,0.146,500
gene,b_dense_refined,10,11867,0.8,1.0,4,0.15841800027760297,0.192,500
gene,b_dense_refined,10,11867,0.84,1.0,4,0.1894218689373113,0.27,500
gene,b_dense_refined,10,11867,0.88,1.0,4,0.26573060466281223,0.382,500
gene,b_dense_refined,10,11867,0.91,1.0,4,0.27027126066305807,0.406,500
gene,b_dense_refined,10,11867,0.96,1.0,4,0.3669711047133012,0.528,500
gene,b_dense_refined,10,11867,0.98,1.0,4,0.369757896816883,0.524,500
gene,b_dense_refined,10,11867,0.94,1.0,4,0.3796643635726559,0.466,500
gene,b_dense_refined,10,11867,1.0,1.0,4,0.39422079772836227,0.564,500
gene,b_dense_refined,10,11867,1.0,1.6,4,0.4102539782161221,0.544,500
gene,b_dense_refined,10,11867,1.0,1.2,4,0.4131594565238625,0.596,500
gene,b_dense_refined,10,11867,1.0,1.3,4,0.41422829491174973,0.588,500
gene,b_dense_refined,10,11867,1.0,1.1,4,0.4173280659543233,0.634,500
gene,b_dense_refined,10,11867,1.0,1.45,4,0.42410637090951353,0.632,500
gene,b_dense_refined,10,11867,1.0,1.8,4,0.46019903668462664,0.716,500
gene,b_dense_refined,10,11867,0.5,1.0,7,8.143205191690411e-05,0.056,500
gene,b_dense_refined,10,11867,0.55,1.0,7,0.011747300108331927,0.092,500
gene,b_dense_refined,10,11867,0.6,1.0,7,0.012385131314089182,0.068,500
gene,b_dense_refined,10,11867,0.65,1.0,7,0.028091870867231496,0.116,500
gene,b_dense_refined,10,11867,0.7,1.0,7,0.07763877406469376,0.214,500
gene,b_dense_refined,10,11867,0.75,1.0,7,0.10796999353275118,0.31,500
gene,b_dense_refined,10,11867,0.8,1.0,7,0.15841800027760297,0.452,500
gene,b_dense_refined,10,11867,0.84,1.0,7,0.1894218689373113,0.574,500
gene,b_dense_refined,10,11867,0.88,1.0,7,0.26573060466281223,0.744,500
gene,b_dense_refined,10,11867,0.91,1.0,7,0.27027126066305807,0.784,500
gene,b_dense_refined,10,11867,0.96,1.0,7,0.3669711047133012,0.952,500
gene,b_dense_refined,10,11867,0.98,1.0,7,0.369757896816883,0.948,500
gene,b_dense_refined,10,11867,0.94,1.0,7,0.3796643635726559,0.946,500
gene,b_dense_refined,10,11867,1.0,1.0,7,0.39422079772836227,0.968,500
gene,b_dense_refined,10,11867,1.0,1.6,7,0.4102539782161221,0.996,500
gene,b_dense_refined,10,11867,1.0,1.2,7,0.4131594565238625,0.982,500
gene,b_dense_refined,10,11867,1.0,1.3,7,0.41422829491174973,0.994,500
gene,b_dense_refined,10,11867,1.0,1.1,7,0.4173280659543233,0.994,500
gene,b_dense_refined,10,11867,1.0,1.45,7,0.42410637090951353,0.994,500
gene,b_dense_refined,10,11867,1.0,1.8,7,0.46019903668462664,1.0,500
gene,b_dense_refined,10,11867,0.5,1.0,10,8.143205191690411e-05,0.056,500
gene,b_dense_refined,10,11867,0.55,1.0,10,0.011747300108331927,0.08,500
gene,b_dense_refined,10,11867,0.6,1.0,10,0.012385131314089182,0.082,500
gene,b_dense_refined,10,11867,0.65,1.0,10,0.028091870867231496,0.118,500
gene,b_dense_refined,10,11867,0.7,1.0,10,0.07763877406469376,0.332,500
gene,b_dense_refined,10,11867,0.75,1.0,10,0.10796999353275118,0.51,500
gene,b_dense_refined,10,11867,0.8,1.0,10,0.15841800027760297,0.616,500
gene,b_dense_refined,10,11867,0.84,1.0,10,0.1894218689373113,0.772,500
gene,b_dense_refined,10,11867,0.88,1.0,10,0.26573060466281223,0.936,500
gene,b_dense_refined,10,11867,0.91,1.0,10,0.27027126066305807,0.924,500
gene,b_dense_refined,10,11867,0.96,1.0,10,0.3669711047133012,0.996,500
gene,b_dense_refined,10,11867,0.98,1.0,10,0.369757896816883,1.0,500
gene,b_dense_refined,10,11867,0.94,1.0,10,0.3796643635726559,0.998,500
gene,b_dense_refined,10,11867,1.0,1.0,10,0.39422079772836227,1.0,500
gene,b_dense_refined,10,11867,1.0,1.6,10,0.4102539782161221,1.0,500
gene,b_dense_refined,10,11867,1.0,1.2,10,0.4131594565238625,1.0,500
gene,b_dense_refined,10,11867,1.0,1.3,10,0.41422829491174973,1.0,500
gene,b_dense_refined,10,11867,1.0,1.1,10,0.4173280659543233,1.0,500
gene,b_dense_refined,10,11867,1.0,1.45,10,0.42410637090951353,1.0,500
gene,b_dense_refined,10,11867,1.0,1.8,10,0.46019903668462664,1.0,500
