modality,panel,pilot,pilot_seed,pi,scale,eval_n,true_omega2,power
gene,b_dense,10,11867,0.5,1.0,4,8.143205191709203e-05,0.04
gene,b_dense,10,11867,0.55,1.0,4,0.011747300108331742,0.04
gene,b_dense,10,11867,0.6,1.0,4,0.012385131314089182,0.05
gene,b_dense,10,11867,0.65,1.0,4,0.02809187086723111,0.06
gene,b_dense,10,11867,0.7,1.0,4,0.07763877406469376,0.11
gene,b_dense,10,11867,0.75,1.0,4,0.10796999353275097,0.14
gene,b_dense,10,11867,0.8,1.0,4,0.15841800027760303,0.21
gene,b_dense,10,11867,0.84,1.0,4,0.18942186893731136,0.2
gene,b_dense,10,11867,0.88,1.0,4,0.2657306046628124,0.4
gene,b_dense,10,11867,0.91,1.0,4,0.2702712606630577,0.4
gene,b_dense,10,11867,0.96,1.0,4,0.36697110471330174,0.62
gene,b_dense,10,11867,0.98,1.0,4,0.36975789681688237,0.51
gene,b_dense,10,11867,0.94,1.0,4,0.3796643635726561,0.48
gene,b_dense,10,11867,1.0,1.0,4,0.394220797728362,0.6
gene,b_dense,10,11867,1.0,1.6,4,0.4102539782161224,0.51
gene,b_dense,10,11867,1.0,1.2,4,0.4131594565238623,0.64
gene,b_dense,10,11867,1.0,1.3,4,0.41422829491175023,0.64
gene,b_dense,10,11867,1.0,1.1,4,0.4173280659543236,0.58
gene,b_dense,10,11867,1.0,1.45,4,0.42410637090951325,0.65
gene,b_dense,10,11867,1.0,1.8,4,0.46019903668462675,0.66
gene,b_dense,10,11867,0.5,1.0,7,8.143205191709203e-05,0.05
gene,b_dense,10,11867,0.55,1.0,7,0.011747300108331742,0.05
gene,b_dense,10,11867,0.6,1.0,7,0.012385131314089182,0.07
gene,b_dense,10,11867,0.65,1.0,7,0.02809187086723111,0.12
gene,b_dense,10,11867,0.7,1.0,7,0.07763877406469376,0.22
gene,b_dense,10,11867,0.75,1.0,7,0.10796999353275097,0.43
gene,b_dense,10,11867,0.8,1.0,7,0.15841800027760303,0.58
gene,b_dense,10,11867,0.84,1.0,7,0.18942186893731136,0.48
gene,b_dense,10,11867,0.88,1.0,7,0.2657306046628124,0.75
gene,b_dense,10,11867,0.91,1.0,7,0.2702712606630577,0.79
gene,b_dense,10,11867,0.96,1.0,7,0.36697110471330174,0.98
gene,b_dense,10,11867,0.98,1.0,7,0.36975789681688237,0.93
gene,b_dense,10,11867,0.94,1.0,7,0.3796643635726561,0.91
gene,b_dense,10,11867,1.0,1.0,7,0.394220797728362,0.96
gene,b_dense,10,11867,1.0,1.6,7,0.4102539782161224,0.99
gene,b_dense,10,11867,1.0,1.2,7,0.4131594565238623,1.0
gene,b_dense,10,11867,1.0,1.3,7,0.41422829491175023,1.0
gene,b_dense,10,11867,1.0,1.1,7,0.4173280659543236,1.0
gene,b_dense,10,11867,1.0,1.45,7,0.42410637090951325,1.0
gene,b_dense,10,11867,1.0,1.8,7,0.46019903668462675,1.0
gene,b_dense,10,11867,0.5,1.0,10,8.143205191709203e-05,0.06
gene,b_dense,10,11867,0.55,1.0,10,0.011747300108331742,0.06
gene,b_dense,10,11867,0.6,1.0,10,0.012385131314089182,0.08
gene,b_dense,10,11867,0.65,1.0,10,0.02809187086723111,0.11
gene,b_dense,10,11867,0.7,1.0,10,0.07763877406469376,0.37
gene,b_dense,10,11867,0.75,1.0,10,0.10796999353275097,0.48
gene,b_dense,10,11867,0.8,1.0,10,0.15841800027760303,0.64
gene,b_dense,10,11867,0.84,1.0,10,0.18942186893731136,0.71
gene,b_dense,10,11867,0.88,1.0,10,0.2657306046628124,0.9
gene,b_dense,10,11867,0.91,1.0,10,0.2702712606630577,0.91
gene,b_dense,10,11867,0.96,1.0,10,0.36697110471330174,1.0
gene,b_dense,10,11867,0.98,1.0,10,0.36975789681688237,1.0
gene,b_dense,10,11867,0.94,1.0,10,0.3796643635726561,1.0
gene,b_dense,10,11867,1.0,1.0,10,0.394220797728362,1.0
gene,b_dense,10,11867,1.0,1.6,10,0.4102539782161224,1.0
gene,b_dense,10,11867,1.0,1.2,10,0.4131594565238623,1.0
gene,b_dense,10,11867,1.0,1.3,10,0.41422829491175023,1.0
gene,b_dense,10,11867,1.0,1.1,10,0.4173280659543236,1.0
gene,b_dense,10,11867,1.0,1.45,10,0.42410637090951325,1.0
gene,b_dense,10,11867,1.0,1.8,10,0.46019903668462675,1.0
gene,b_dense,10,11867,0.5,1.0,30,8.143205191709203e-05,0.07
gene,b_dense,10,11867,0.55,1.0,30,0.011747300108331742,0.22
gene,b_dense,10,11867,0.6,1.0,30,0.012385131314089182,0.22
gene,b_dense,10,11867,0.65,1.0,30,0.02809187086723111,0.39
gene,b_dense,10,11867,0.7,1.0,30,0.07763877406469376,0.75
gene,b_dense,10,11867,0.75,1.0,30,0.10796999353275097,0.95
gene,b_dense,10,11867,0.8,1.0,30,0.15841800027760303,0.98
gene,b_dense,10,11867,0.84,1.0,30,0.18942186893731136,1.0
gene,b_dense,10,11867,0.88,1.0,30,0.2657306046628124,1.0
gene,b_dense,10,11867,0.91,1.0,30,0.2702712606630577,1.0
