modality,panel,pilot,pilot_seed,pi,scale,eval_n,true_omega2,power
gene,c_extra,30,31270,0.5,1.0,80,0.003543612054689613,0.14
gene,c_extra,30,31270,0.6,1.0,80,0.021669719702923793,0.6
gene,c_extra,30,31270,0.68,1.0,80,0.053824286198815505,0.98
gene,c_extra,30,31270,0.75,1.0,80,0.06331075428230724,1.0
gene,c_extra,30,31270,0.82,1.0,80,0.1731525025862139,1.0
gene,c_extra,30,31270,0.88,1.0,80,0.22598833698711407,1.0
gene,c_extra,30,31270,1.0,1.7,80,0.27638352303822455,1.0
gene,c_extra,30,31270,0.93,1.0,80,0.28919489103243984,1.0
gene,c_extra,30,31270,1.0,1.3,80,0.3272636126220588,1.0
gene,c_extra,30,31270,0.97,1.0,80,0.346122556333977,1.0
gene,c_extra,30,31270,1.0,1.0,80,0.43900237909152884,1.0
gene,c_extra,50,51450,0.5,1.0,80,0.0,0.03
gene,c_extra,50,51450,0.6,1.0,80,0.021346121436011757,0.62
gene,c_extra,50,51450,0.68,1.0,80,0.041217628045162144,0.94
gene,c_extra,50,51450,0.75,1.0,80,0.16822887158856617,1.0
gene,c_extra,50,51450,0.82,1.0,80,0.19819100239448942,1.0
gene,c_extra,50,51450,0.88,1.0,80,0.2812230326561891,1.0
gene,c_extra,50,51450,0.93,1.0,80,0.3768697017782345,1.0
gene,c_extra,50,51450,0.97,1.0,80,0.41097300432604,1.0
gene,c_extra,50,51450,1.0,1.0,80,0.45805824067383605,1.0
gene,c_extra,50,51450,1.0,1.3,80,0.4655416739904169,1.0
gene,c_extra,50,51450,1.0,1.7,80,0.4686192398980444,1.0
gene,c_extra,80,81720,0.5,1.0,80,0.0,0.02
gene,c_extra,80,81720,0.6,1.0,80,0.025747736081513484,0.74
gene,c_extra,80,81720,0.68,1.0,80,0.05551794478177138,0.97
gene,c_extra,80,81720,0.75,1.0,80,0.12809923008991164,1.0
gene,c_extra,80,81720,0.82,1.0,80,0.19772049545480153,1.0
gene,c_extra,80,81720,0.88,1.0,80,0.2694998358143942,1.0
gene,c_extra,80,81720,0.93,1.0,80,0.31859828920165717,1.0
gene,c_extra,80,81720,1.0,1.3,80,0.38991325638355523,1.0
gene,c_extra,80,81720,0.97,1.0,80,0.3998642602385289,1.0
gene,c_extra,80,81720,1.0,1.0,80,0.40091393568557127,1.0
gene,c_extra,80,81720,1.0,1.7,80,0.4628393007623853,1.0
