scale,true_omega2,power,mode,modality,combo_index,sigma,nni,eval_n
0.0,0.0,0.025,dilution,gene,0,0.0,0.0,4
0.8803418803418803,0.1264925233481971,0.175,dilution,gene,0,0.0,0.0,4
1.0245502645502644,0.1905421266333001,0.25,enhancement,gene,0,0.0,0.0,4
1.1125844525844526,0.21017759535570837,0.35,enhancement,gene,0,0.0,0.0,4
1.1846886446886447,0.22498416578977298,0.3375,enhancement,gene,0,0.0,0.0,4
1.2567928367928367,0.2397062299375333,0.3875,enhancement,gene,0,0.0,0.0,4
1.328897028897029,0.27402842888168394,0.4625,enhancement,gene,0,0.0,0.0,4
1.401001221001221,0.28104856266425116,0.4375,enhancement,gene,0,0.0,0.0,4
1.473105413105413,0.3178145718686538,0.4375,enhancement,gene,0,0.0,0.0,4
1.5452096052096052,0.33649052514477373,0.4875,enhancement,gene,0,0.0,0.0,4
1.6500122100122099,0.35107284345434586,0.65,enhancement,gene,0,0.0,0.0,4
1.7942205942205942,0.4039780323336819,0.7,enhancement,gene,0,0.0,0.0,4
1.9384289784289783,0.4307029381837343,0.8375,enhancement,gene,0,0.0,0.0,4
2.082637362637363,0.47852144626720877,0.7125,enhancement,gene,0,0.0,0.0,4
2.8120634920634915,0.607280807030805,0.8125,enhancement,gene,0,0.0,0.0,4
3.028376068376068,0.6602820923067885,0.85,enhancement,gene,0,0.0,0.0,4
9.583150183150183,0.9527084384544243,0.8,enhancement,gene,0,0.0,0.0,4
9.79946275946276,0.9529316174253525,0.875,enhancement,gene,0,0.0,0.0,4
10.015775335775334,0.95431591627904,0.8375,enhancement,gene,0,0.0,0.0,4
20.6,0.9892672380694884,0.8625,enhancement,gene,0,0.0,0.0,4
0.0,0.00039347410910122555,0.0125,dilution,gene,1,0.25,0.0,4
0.5282051282051281,0.05480878828783843,0.0625,dilution,gene,1,0.25,0.0,4
0.6363614163614163,0.08545114319508919,0.125,dilution,gene,1,0.25,0.0,4
0.7445177045177045,0.10340857831461836,0.15,dilution,gene,1,0.25,0.0,4
0.8526739926739927,0.13694343610131202,0.3,dilution,gene,1,0.25,0.0,4
0.9608302808302808,0.17110202800759577,0.3,dilution,gene,1,0.25,0.0,4
1.591801848944706,0.3473006269555596,0.725,enhancement,gene,1,0.25,0.0,4
1.6536054421768709,0.37463638446539455,0.5875,enhancement,gene,1,0.25,0.0,4
1.7154090354090354,0.3882495487407322,0.7,enhancement,gene,1,0.25,0.0,4
1.7772126286412,0.4088621929789104,0.7625,enhancement,gene,1,0.25,0.0,4
1.8390162218733648,0.4285110510850841,0.775,enhancement,gene,1,0.25,0.0,4
1.9008198151055293,0.43743653303385577,0.775,enhancement,gene,1,0.25,0.0,4
1.962623408337694,0.46294965743306155,0.575,enhancement,gene,1,0.25,0.0,4
2.0244270015698587,0.4885426415552236,0.825,enhancement,gene,1,0.25,0.0,4
2.086230594802023,0.4924618473717944,0.7375,enhancement,gene,1,0.25,0.0,4
4.472136752136751,0.8101158254333621,0.75,enhancement,gene,1,0.25,0.0,4
4.829304029304029,0.8233128179868836,0.8625,enhancement,gene,1,0.25,0.0,4
5.045616605616605,0.8476794683958557,0.8,enhancement,gene,1,0.25,0.0,4
5.261929181929181,0.8620747485660374,0.8125,enhancement,gene,1,0.25,0.0,4
8.315457875457875,0.9363273617227836,0.775,enhancement,gene,1,0.25,0.0,4
20.6,0.989270109486294,0.8375,enhancement,gene,1,0.25,0.0,4
0.0,0.0,0.0625,dilution,gene,2,0.5,0.25,4
0.5814814814814815,0.08316476056157711,0.1875,dilution,gene,2,0.5,0.25,4
0.7240564373897708,0.09714461115974277,0.1625,dilution,gene,2,0.5,0.25,4
0.7972089947089948,0.14600228420596134,0.2375,dilution,gene,2,0.5,0.25,4
0.8506746031746033,0.15315445255877558,0.225,dilution,gene,2,0.5,0.25,4
0.9041402116402117,0.16153390347718855,0.2625,dilution,gene,2,0.5,0.25,4
0.9576058201058202,0.17660093563710844,0.3,dilution,gene,2,0.5,0.25,4
1.0110714285714286,0.19852321828762312,0.3375,enhancement,gene,2,0.5,0.25,4
1.064537037037037,0.23632870680575627,0.4375,enhancement,gene,2,0.5,0.25,4
1.1180026455026455,0.24180690333811153,0.425,enhancement,gene,2,0.5,0.25,4
1.171468253968254,0.2541130056056462,0.4125,enhancement,gene,2,0.5,0.25,4
1.2249338624338626,0.2739151467949815,0.5125,enhancement,gene,2,0.5,0.25,4
1.282751322751322,0.27627263598949325,0.475,enhancement,gene,2,0.5,0.25,4
1.7104761904761907,0.4151270065514196,0.725,enhancement,gene,2,0.5,0.25,4
2.9571781305114637,0.6836704270894325,0.8625,enhancement,gene,2,0.5,0.25,4
3.099753086419753,0.6907361401107127,0.825,enhancement,gene,2,0.5,0.25,4
3.2423280423280425,0.7134510211146299,0.825,enhancement,gene,2,0.5,0.25,4
20.6,0.9904640392347853,0.925,enhancement,gene,2,0.5,0.25,4
0.0,0.001188547841055568,0.0375,dilution,gene,3,0.75,0.5,4
1.0166666666666668,0.16139146459937942,0.2125,enhancement,gene,3,0.75,0.5,4
1.2305291005291006,0.23018331804982012,0.3,enhancement,gene,3,0.75,0.5,4
1.3148030570252793,0.2532127786977025,0.4,enhancement,gene,3,0.75,0.5,4
1.3623280423280424,0.2603120353759463,0.4625,enhancement,gene,3,0.75,0.5,4
1.4098530276308057,0.2726633924677904,0.35,enhancement,gene,3,0.75,0.5,4
1.4573780129335687,0.2643168814564972,0.3375,enhancement,gene,3,0.75,0.5,4
1.5049029982363318,0.29162215110068357,0.5375,enhancement,gene,3,0.75,0.5,4
1.5524279835390948,0.28883167722791836,0.45,enhancement,gene,3,0.75,0.5,4
1.599952968841858,0.3224807723216435,0.4875,enhancement,gene,3,0.75,0.5,4
1.647477954144621,0.33650780103124317,0.6375,enhancement,gene,3,0.75,0.5,4
1.695002939447384,0.3485138295063847,0.5375,enhancement,gene,3,0.75,0.5,4
1.7425279247501473,0.3535537710579893,0.6125,enhancement,gene,3,0.75,0.5,4
1.7900529100529103,0.36271125540718085,0.575,enhancement,gene,3,0.75,0.5,4
2.1382010582010573,0.4604425138037371,0.8125,enhancement,gene,3,0.75,0.5,4
3.61037037037037,0.7083554460941714,0.875,enhancement,gene,3,0.75,0.5,4
8.215873015873015,0.9271672633224667,0.875,enhancement,gene,3,0.75,0.5,4
20.6,0.9872554017144087,0.9,enhancement,gene,3,0.75,0.5,4
0.0,0.0,0.05,dilution,gene,4,1.0,1.0,4
0.5282051282051281,0.04752622916663786,0.1375,dilution,gene,4,1.0,1.0,4
0.9608302808302808,0.13735652661819445,0.125,dilution,gene,4,1.0,1.0,4
1.1125844525844526,0.2020545367504546,0.325,enhancement,gene,4,1.0,1.0,4
1.1846886446886447,0.18847204632639483,0.3,enhancement,gene,4,1.0,1.0,4
1.2567928367928367,0.23644909163667446,0.35,enhancement,gene,4,1.0,1.0,4
1.328897028897029,0.23516988640382994,0.4125,enhancement,gene,4,1.0,1.0,4
1.401001221001221,0.27200115623450644,0.3875,enhancement,gene,4,1.0,1.0,4
1.473105413105413,0.2857821678967081,0.475,enhancement,gene,4,1.0,1.0,4
1.5452096052096052,0.30390299700820367,0.6,enhancement,gene,4,1.0,1.0,4
1.6827106227106226,0.35496680529599883,0.6,enhancement,gene,4,1.0,1.0,4
1.8990231990231987,0.40241813112377217,0.7125,enhancement,gene,4,1.0,1.0,4
3.174261294261294,0.6496273242682347,0.8,enhancement,gene,4,1.0,1.0,4
3.606886446886447,0.7095141410469662,0.7875,enhancement,gene,4,1.0,1.0,4
4.039511599511599,0.7573349096862567,0.8875,enhancement,gene,4,1.0,1.0,4
5.871880341880342,0.8631523537750108,0.825,enhancement,gene,4,1.0,1.0,4
5.98003663003663,0.8680928739239614,0.7875,enhancement,gene,4,1.0,1.0,4
6.088192918192918,0.8727921681123716,0.9,enhancement,gene,4,1.0,1.0,4
6.196349206349207,0.87945316959978,0.8375,enhancement,gene,4,1.0,1.0,4
6.304505494505495,0.8809869624291763,0.875,enhancement,gene,4,1.0,1.0,4
