pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
7,real,0.0,1.870636343419158e-05,0.0,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.04834924966068875,0.0006410118315384325,0.08333333333333333,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.054076175028503676,0.0001421064214451321,0.0,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.14526303321061104,0.003340506270309545,0.16666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.15098995857842598,0.0034918602317871817,0.25,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.1567168839462409,0.00321723608666933,0.16666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.16244380931405583,0.004213847665331029,0.08333333333333333,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.18029050697189766,0.005079308675069486,0.25,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.18315396965580513,0.005341033830761543,0.25,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.1860174323397126,0.006056586770666081,0.08333333333333333,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.18888089502362004,0.005488223403688672,0.25,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.1917443577075275,0.005651790350133064,0.16666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.19680536152094535,0.0060657304192890515,0.16666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.20253228688876027,0.00687807874042857,0.16666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.25527327399700933,0.010080180735514584,0.6666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.2581367366809168,0.01213462760708231,0.5833333333333334,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.26100019936482427,0.011779944614239058,0.6666666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.26386366204873174,0.012151464093130768,0.8333333333333334,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.2800011610502878,0.012371623503451544,0.5833333333333334,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.28572808641810266,0.014242464749876477,0.8333333333333334,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.32739257833821356,0.015863126668275804,0.75,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.33025604102212097,0.016698601300542557,0.8333333333333334,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.33311950370602844,0.016413239852388264,0.9166666666666666,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.3359829663899359,0.018840072721650114,0.75,dilution,13,0.7687059633806851,0.13684195546380065
7,real,0.509832886857868,0.03826220731862813,1.0,dilution,13,0.7687059633806851,0.13684195546380065
10,real,0.0,0.0,0.08333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.008371376584768678,0.0,0.08333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.011643823795178254,0.0,0.0,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.07168942493501905,0.0005564449437010062,0.25,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.0782343193558382,0.00044342653519538553,0.08333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.16849297962434415,0.0024264296996821303,0.16666666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.1750378740451633,0.0011550292268534634,0.08333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.2372904744664431,0.00408221423087342,0.25,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.24056292167685267,0.004006754825864916,0.3333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.24383536888726226,0.003949908674145836,0.3333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.24710781609767182,0.004832756037213359,0.25,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.2503802633080814,0.004436248868344736,0.3333333333333333,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.29802100641776497,0.006756344843419817,0.5,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3045659008385841,0.007339644039934602,0.5833333333333334,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3362418368855977,0.007764383928236001,0.5,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3384234683592041,0.008812261715422858,0.5,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3406050998328105,0.009448943485819938,0.6666666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3427867313064169,0.0070672491225280245,0.4166666666666667,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.3449683627800233,0.008513313307998274,0.6666666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.34714999425362963,0.009608548292702275,0.6666666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.47516440851303676,0.014818996122036875,1.0,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.4784368557234463,0.01545048077800765,0.9166666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.4817093029338559,0.016550709113179622,1.0,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.4849817501442654,0.015237286531723022,0.9166666666666666,dilution,19,0.7202410343181472,0.06369838161063487
10,real,0.5441394780099641,0.019003433089277596,0.9166666666666666,dilution,19,0.7202410343181472,0.06369838161063487
17,real,0.0,2.4887962636228685e-05,0.08333333333333333,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.2545908533387441,0.001655171559009387,0.08333333333333333,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.2653279554110962,0.002650297607805937,0.25,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.27448362384488484,0.0023863865075843186,0.08333333333333333,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.2798521748810609,0.0019957866406723904,0.25,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.2852207259172369,0.003037976389970421,0.08333333333333333,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.29058927695341297,0.0023730335227952837,0.3333333333333333,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.2961242946883852,0.002555377555196385,0.16666666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.30686139676073726,0.0029723666430179563,0.25,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.3175984988330894,0.002736247945141563,0.25,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.3283356009054415,0.0034813926088620366,0.16666666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.3390727029777936,0.0031196666745182447,0.0,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.487144831556975,0.006906623824768481,0.5,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.49788193362932714,0.006520675027884767,0.5,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.5052064683763581,0.00758001753985083,0.4166666666666667,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.5105750194125341,0.007399281285441357,0.6666666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.5159435704487101,0.0064952826055360005,0.4166666666666667,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.5213121214848861,0.007958069271805545,0.8333333333333334,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.5973457861600308,0.010953683786684732,0.9166666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.6080828882323829,0.01110550104102265,0.6666666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.709086557726951,0.014218433702354294,0.6666666666666666,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.714455108763127,0.016113971246018863,0.75,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.7198236597993031,0.016119737555867125,1.0,dilution,33,0.690839153379668,0.029368933889250985
17,real,0.7251922108354791,0.015432724069303202,0.8333333333333334,dilution,33,0.690839153379668,0.029368933889250985
17,real,1.051134007078354,0.032506899756959425,1.0,enhancement,33,0.690839153379668,0.029368933889250985
30,simulated,0.0,0.0,0.0,dilution,56,0.8476076973036489,0.046018045918783834
30,simulated,0.15816414123190653,0.0011605306061500428,0.0,dilution,56,0.8476076973036489,0.046018045918783834
30,simulated,0.16846877467580348,0.001051792966018803,0.08333333333333333,dilution,56,0.8476076973036489,0.046018045918783834
30,simulated,0.24265148468794012,0.0021797153346923364,0.25,dilution,56,0.8476076973036489,0.046018045918783834
30,simulated,0.24608636250257243,0.0032729668545465815,0.08333333333333333,dilution,56,0.8476076973036489,0.046018045918783834
