pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
4,real,0.0,0.0,0.05,dilution,3,0.5458894708244847,0.0761351091373191
4,real,0.14641502662428227,0.001959011352757646,0.1,dilution,3,0.5458894708244847,0.0761351091373191
4,real,0.7227528005198753,0.050082011448722735,0.1,dilution,3,0.5458894708244847,0.0761351091373191
4,real,0.8198138691361833,0.044153697653830454,0.3,dilution,3,0.5458894708244847,0.0761351091373191
4,real,0.8716601542355776,0.06753078903640729,0.35,dilution,3,0.5458894708244847,0.0761351091373191
4,real,1.0591507898857129,0.07931302550695057,0.25,enhancement,3,0.5458894708244847,0.0761351091373191
4,real,1.1562118585020211,0.10827579342312657,0.5,enhancement,3,0.5458894708244847,0.0761351091373191
4,real,1.3437024941521565,0.1355331224833472,0.55,enhancement,3,0.5458894708244847,0.0761351091373191
4,real,1.5764079133192053,0.17384485044673362,0.8,enhancement,3,0.5458894708244847,0.0761351091373191
4,real,1.6734689819355133,0.1739033275705286,0.6,enhancement,3,0.5458894708244847,0.0761351091373191
4,real,1.8374479301568536,0.19587113721309984,0.85,enhancement,3,0.5458894708244847,0.0761351091373191
7,real,0.0,0.0,0.05,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.18519472901292794,0.01606531764273636,0.1,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.31163014277113676,0.045253987968397365,0.2,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.32146146789157615,0.05847674324094365,0.4,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.33129279301201553,0.04399985590000577,0.25,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.4473824518469713,0.0969108728974935,0.35,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.46212943952763036,0.09123757343239045,0.15,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.5926231328413694,0.15037514523016826,0.65,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.6073701205220284,0.1744333507001449,0.75,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.6269184530289487,0.20808270404950632,0.8,dilution,3,0.8698789151569722,0.3498269864754729
7,real,0.7592983889530045,0.22032007989450933,0.95,dilution,3,0.8698789151569722,0.3498269864754729
7,real,1.003138115486693,0.35148344752902266,0.95,enhancement,3,0.8698789151569722,0.3498269864754729
10,real,0.0,0.0007698588893043582,0.0,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.15073736374781482,0.014170936983468808,0.15,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.1649050285372269,0.016195031883259613,0.15,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.23459017046654457,0.02465196688958321,0.05,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.403284225633498,0.07062185961026297,0.4,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.4174518904229101,0.06714606292477368,0.05,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.5057526849243622,0.11772999710204295,0.55,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.6187645226631611,0.1795740350812237,0.8,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.6329321874525732,0.17294752786045764,0.75,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.6517125803129566,0.19509701122078557,0.8,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.7541810396038209,0.22873135374637796,0.9,dilution,3,0.9054486985795817,0.33834368516180413
10,real,0.9637306862565209,0.29882273672151594,1.0,dilution,3,0.9054486985795817,0.33834368516180413
