eval_n,scale,true_omega2,power,mode,pilot_n,pilot_source
7,0.0,0.00012725776582025316,0.0,dilution,17,real
7,0.017089578157752697,0.0002132498655384504,0.0,dilution,17,real
7,0.5225613232237271,0.0045674048565195165,0.0,dilution,17,real
7,0.55522140592521,0.011153258956974724,0.25,dilution,17,real
7,0.5878814886266929,0.01251567445884425,0.1,dilution,17,real
7,1.3895725884270473,0.04732669959585334,0.15,enhancement,17,real
7,1.4222326711285302,0.06029710064429208,0.45,enhancement,17,real
7,2.139615185350638,0.1281229490167573,0.9,enhancement,17,real
7,2.1886053094028624,0.11950407288639257,0.55,enhancement,17,real
7,2.2535457064023228,0.13017006671489054,0.85,enhancement,17,real
7,2.6933175176618254,0.18764621174638407,0.85,enhancement,17,real
7,3.332467740761776,0.26102507960762594,1.0,enhancement,17,real
10,0.0,0.0,0.05,dilution,17,real
10,0.006612671706603571,0.0,0.05,dilution,17,real
10,0.04452532282446405,3.2389290988400486e-06,0.0,dilution,17,real
10,0.8759585787347534,0.01925465947628722,0.2,dilution,17,real
10,0.9138712298526138,0.030047736295182946,0.4,dilution,17,real
10,1.4622191588944928,0.06289162829018989,0.7,enhancement,17,real
10,1.4730513449281673,0.06011782155404758,0.45,enhancement,17,real
10,1.483883530961842,0.05870514198614852,0.6,enhancement,17,real
10,1.4947157169955163,0.06800496872174314,0.8,enhancement,17,real
10,1.5055479030291907,0.06676715723145928,0.45,enhancement,17,real
10,1.5163800890628651,0.07168280997454242,0.6,enhancement,17,real
10,2.578941965575394,0.14833391750676891,1.0,enhancement,17,real
17,0.0,9.77799474520761e-05,0.05,dilution,17,real
17,0.2033843351922937,0.0017296327649994384,0.0,dilution,17,real
17,0.5724947499130365,0.009341863064367618,0.15,dilution,17,real
17,0.65858023943465,0.012595535150604213,0.15,dilution,17,real
17,0.6845569134657334,0.012371155092589682,0.15,dilution,17,real
17,0.8917661970160031,0.024894032927032503,0.55,dilution,17,real
17,0.9177428710470865,0.0224612963066171,0.3,dilution,17,real
17,1.1249521545973562,0.04142330956768636,0.55,enhancement,17,real
17,1.4210661015950934,0.053787648880368646,0.85,enhancement,17,real
17,1.4383838842824823,0.06434380661237377,0.85,enhancement,17,real
17,1.455701666969871,0.05578425546133772,0.8,enhancement,17,real
17,1.8254161903890114,0.10768906336330758,1.0,enhancement,17,real
30,0.0,0.00022086657011728005,0.05,dilution,17,real
30,0.05553442565124258,0.00036953987598018135,0.0,dilution,17,real
30,0.5578219559266816,0.00673459481018599,0.1,dilution,17,real
30,0.5642827288258272,0.008492295859258554,0.4,dilution,17,real
30,0.5707435017249729,0.011274416452013044,0.25,dilution,17,real
30,0.5772042746241185,0.010047868108316671,0.35,dilution,17,real
30,0.5836650475232641,0.009417138699834788,0.2,dilution,17,real
30,0.9628973916498593,0.026207199814165808,0.8,dilution,17,real
30,0.9822797103472963,0.02485274676577592,0.65,dilution,17,real
30,1.0016620290447333,0.027175193394763746,0.75,enhancement,17,real
30,1.0210443477421702,0.026387184899237213,0.65,enhancement,17,real
30,1.367221574710346,0.05332637645881903,1.0,enhancement,17,real
50,0.0,0.0,0.0,dilution,17,real
50,0.14685639670885497,0.0004265476486745741,0.05,dilution,17,real
50,0.30956079336527426,0.0037073188144625103,0.2,dilution,17,real
50,0.32831760048652364,0.0029287098649025045,0.05,dilution,17,real
50,0.586550852016283,0.011032904654418732,0.55,dilution,17,real
50,0.6240644662587818,0.010963135621346456,0.45,dilution,17,real
50,0.6739372169765225,0.013814533019444842,0.85,dilution,17,real
50,0.6864417550573554,0.014945177318735495,0.45,dilution,17,real
50,0.7366053089862782,0.014029118831469789,0.65,dilution,17,real
50,0.7741189232287771,0.01835395341877159,0.75,dilution,17,real
50,0.844347898729269,0.023148081844878023,0.9,dilution,17,real
50,1.31806632974501,0.05082352838189994,1.0,enhancement,17,real
80,0.0,2.0399127394798895e-05,0.0,dilution,17,real
80,0.0693856557973058,0.0003253706205848865,0.0,dilution,17,real
80,0.0781147191223009,4.5105279164521573e-05,0.0,dilution,17,real
80,0.3608957705576074,0.0041707949198906205,0.35,dilution,17,real
80,0.36962483388260253,0.004015958536863718,0.25,dilution,17,real
80,0.37835389720759766,0.004175096265022036,0.25,dilution,17,real
80,0.5154813919990905,0.008536629324653398,0.4,dilution,17,real
80,0.5873439133257944,0.00984591901194186,0.65,dilution,17,real
80,0.6135311033007796,0.01196986451389268,0.8,dilution,17,real
80,0.749643590728901,0.017373962750823042,0.95,dilution,17,real
80,0.7627371857163936,0.02094138628688641,0.8,dilution,17,real
80,0.9280818852096148,0.02516773782771182,1.0,dilution,17,real
