modality,effect_level,generator_parameter,pi,scale,strength,omega2,M_per_group,seed_path
gene,-0.8,pi=0.6400; scale=0.4129,0.64,0.4129261936494728,,0.0100992142800752,60,common
gene,-0.76,pi=0.6580; scale=0.4268,0.658,0.4268087463398903,,0.0152614841686729,60,common
gene,-0.72,pi=0.6760; scale=0.4412,0.676,0.4411580295796558,,0.0267294538162966,60,common
gene,-0.6799999999999999,pi=0.6940; scale=0.4560,0.6940000000000001,0.4559897348205182,,0.0349332029978115,60,common
gene,-0.64,pi=0.7120; scale=0.4713,0.712,0.4713200810598489,,0.0504279475895883,60,common
gene,-0.6,pi=0.7300; scale=0.4872,0.73,0.4871658325766914,,0.0657055095729784,60,common
gene,-0.56,pi=0.7480; scale=0.5035,0.748,0.503544317264098,,0.0916044769919311,60,common
gene,-0.52,pi=0.7660; scale=0.5205,0.766,0.5204734455777966,,0.1246239955130717,60,common
gene,-0.48,pi=0.7840; scale=0.5380,0.784,0.5379717301219118,,0.1315611777444186,60,common
gene,-0.4399999999999999,pi=0.8020; scale=0.5561,0.802,0.5560583058931555,,0.1328069641350562,60,common
gene,-0.4,pi=0.8200; scale=0.5748,0.8200000000000001,0.5747529512056273,,0.1384927212390863,60,common
gene,-0.36,pi=0.8380; scale=0.5941,0.8380000000000001,0.5940761093191045,,0.1416609774836011,60,common
gene,-0.3199999999999999,pi=0.8560; scale=0.6140,0.8560000000000001,0.6140489107944733,,0.1594090985535861,60,common
gene,-0.28,pi=0.8740; scale=0.6347,0.874,0.6346931966007501,,0.1630984532097689,60,common
gene,-0.24,pi=0.8920; scale=0.6560,0.892,0.6560315419989572,,0.1963752716677228,60,common
gene,-0.1999999999999999,pi=0.9100; scale=0.6781,0.91,0.6780872812289742,,0.2304606064425403,60,common
gene,-0.16,pi=0.9280; scale=0.7009,0.928,0.70088453302636,,0.2600047395695875,60,common
gene,-0.12,pi=0.9460; scale=0.7244,0.946,0.7244482269970475,,0.2820217440468415,60,common
gene,-0.0799999999999999,pi=0.9640; scale=0.7488,0.964,0.7488041308787553,,0.3026169560311201,60,common
gene,-0.04,pi=0.9820; scale=0.7740,0.982,0.7739788787189248,,0.315746338913301,60,common
gene,0.0,pi=1.0000; scale=0.8000,1.0,0.8,,0.3540553998584572,60,common
gene,0.04,pi=1.0000; scale=0.8850,1.0,0.8850471084163528,,0.3699132506071502,60,common
gene,0.1,pi=1.0000; scale=1.0299,1.0,1.0298666348361794,,0.3785727074566843,60,common
gene,0.1400000000000001,pi=1.0000; scale=1.1394,1.0,1.1393506090203007,,0.3793850926952252,60,common
gene,0.1999999999999999,pi=1.0000; scale=1.3258,1.0,1.325781606935995,,0.372404131584062,60,common
gene,0.24,pi=1.0000; scale=1.4667,1.0,1.4667239720128598,,0.380734768707953,60,common
gene,0.3,pi=1.0000; scale=1.7067,1.0,1.706722802578594,,0.4045031775110159,60,common
gene,0.3400000000000001,pi=1.0000; scale=1.8882,1.0,1.8881626016130475,,0.4222701855558528,60,common
gene,0.4000000000000001,pi=1.0000; scale=2.1971,1.0,2.1971210866122366,,0.4369817432989502,60,common
gene,0.4399999999999999,pi=1.0000; scale=2.4307,1.0,2.4306945806834426,,0.4254899595240682,60,common
gene,0.5,pi=1.0000; scale=2.8284,1.0,2.8284271247461903,,0.4220814952732238,60,common
gene,0.54,pi=1.0000; scale=3.1291,1.0,3.1291140601537433,,0.4207260298524624,60,common
gene,0.6000000000000001,pi=1.0000; scale=3.6411,1.0,3.6411284060521623,,0.4392166420476163,60,common
gene,0.6400000000000001,pi=1.0000; scale=4.0282,1.0,4.028212708936387,,0.4454700440857651,60,common
gene,0.7,pi=1.0000; scale=4.6873,1.0,4.687345823184199,,0.4470061632301642,60,common
gene,0.74,pi=1.0000; scale=5.1857,1.0,5.185652333695805,,0.4578576010544387,60,common
gene,0.8,pi=1.0000; scale=6.0342,1.0,6.034176336545164,,0.463968082550325,60,common
gene,0.8400000000000001,pi=1.0000; scale=6.6757,1.0,6.6756628979171,,0.4665702745461252,60,common
gene,0.9000000000000001,pi=1.0000; scale=7.7680,1.0,7.767996097157341,,0.4589074499653391,60,common
gene,0.94,pi=1.0000; scale=8.5938,1.0,8.593803104973269,,0.4744637950216408,60,common
gene,1.0,pi=1.0000; scale=10.0000,1.0,10.000000000000002,,0.4804579523221496,60,common
protein,-2.0,s=0.4000,,,0.4,0.0398795935021836,60,
protein,-1.8,s=0.4600,,,0.46,0.044235208162175,60,
protein,-1.6,s=0.5200,,,0.52,0.0761276470864798,60,
protein,-1.4,s=0.5800,,,0.5800000000000001,0.0627940186437467,60,
protein,-1.2,s=0.6400,,,0.64,0.0738698178810633,60,
protein,-1.0,s=0.7000,,,0.7,0.113207312765695,60,
protein,-0.7999999999999998,s=0.7600,,,0.76,0.0941519585923525,60,
protein,-0.5999999999999999,s=0.8200,,,0.8200000000000001,0.1262289859672565,60,
protein,-0.3999999999999999,s=0.8800,,,0.88,0.1829970507317601,60,
protein,-0.1999999999999999,s=0.9400,,,0.94,0.1824621581507589,60,
protein,0.0,s=1.0000,,,1.0,0.2159411568707509,60,
protein,0.2000000000000001,s=1.0667,,,1.0666666666666669,0.252220840023268,60,
protein,0.4000000000000003,s=1.1333,,,1.1333333333333335,0.2949048875076262,60,
protein,0.6000000000000001,s=1.2000,,,1.2,0.3180424794923006,60,
protein,0.8000000000000003,s=1.2667,,,1.2666666666666668,0.3383783789076025,60,
protein,1.0,s=1.3333,,,1.3333333333333333,0.3671477974633173,60,
protein,1.2000000000000002,s=1.4000,,,1.4,0.4060782731841848,60,
protein,1.4000000000000004,s=1.4667,,,1.4666666666666668,0.4225721902346518,60,
protein,1.6,s=1.5333,,,1.5333333333333332,0.4543231628811085,60,
protein,1.8000000000000005,s=1.6000,,,1.6,0.4871603299677052,60,
protein,2.0,s=1.6667,,,1.6666666666666663,0.4960321358068127,60,
protein,2.2,s=1.7333,,,1.7333333333333334,0.5267373659829496,60,
protein,2.4000000000000004,s=1.8000,,,1.8000000000000005,0.5287549403117995,60,
protein,2.6000000000000005,s=1.8667,,,1.8666666666666667,0.5525467641582025,60,
protein,2.8000000000000007,s=1.9333,,,1.9333333333333336,0.5679553590291871,60,
protein,3.0,s=2.0000,,,2.0,0.5817558813683739,60,
protein,3.2,s=2.0667,,,2.0666666666666664,0.588750781283363,60,
protein,3.4000000000000004,s=2.1333,,,2.1333333333333337,0.6031140323245419,60,
protein,3.6000000000000005,s=2.2000,,,2.2,0.6022908866440669,60,
protein,3.8000000000000007,s=2.2667,,,2.2666666666666666,0.6244620093309072,60,
protein,4.0,s=2.3333,,,2.333333333333333,0.6340584910098932,60,
protein,4.2,s=2.4000,,,2.4000000000000004,0.6391381539101465,60,
protein,4.4,s=2.4667,,,2.466666666666667,0.6313918106639853,60,
protein,4.6000000000000005,s=2.5333,,,2.533333333333333,0.6425468461027525,60,
protein,4.800000000000001,s=2.6000,,,2.6000000000000005,0.6473249126107018,60,
protein,5.0,s=2.6667,,,2.666666666666667,0.6571264493039434,60,
protein,5.2,s=2.7333,,,2.7333333333333334,0.6515124025306037,60,
protein,5.4,s=2.8000,,,2.8,0.6486159237541189,60,
protein,5.6000000000000005,s=2.8667,,,2.866666666666667,0.6492303180653705,60,
protein,5.800000000000001,s=2.9333,,,2.9333333333333336,0.6577063865687831,60,
protein,6.0,s=3.0000,,,3.0,0.657322692024431,60,
