curve,strength,eval_n,true_omega2,power,pooled_structure
gold17,0.0,17,0.0,0.02857142857142857,False
gold17,0.1,17,0.0,0.014285714285714285,False
gold17,0.2,17,0.0011583811394560127,0.04285714285714286,False
gold17,0.3,17,0.008583911239631824,0.18571428571428572,False
gold17,0.4,17,0.01646656083358097,0.22857142857142856,False
gold17,0.5,17,0.026998379970911774,0.4714285714285714,False
gold17,0.6,17,0.03162272141351185,0.45714285714285713,False
gold17,0.7,17,0.03799973701280821,0.5857142857142857,False
gold17,0.8,17,0.06547432455571484,0.9285714285714286,False
gold17,0.9,17,0.07055656614231808,0.9857142857142858,False
gold17,1.0,17,0.09348752739964415,1.0,False
pilot7_raw,0.0,17,0.0,0.1,False
pilot7_raw,0.1,17,0.0006508590520649493,0.02857142857142857,False
pilot7_raw,0.2,17,0.0021757010769144595,0.11428571428571428,False
pilot7_raw,0.3,17,0.006069748738230342,0.11428571428571428,False
pilot7_raw,0.4,17,0.0067084633627678,0.14285714285714285,False
pilot7_raw,0.5,17,0.02109078015202929,0.2857142857142857,False
pilot7_raw,0.6,17,0.02482904250611106,0.34285714285714286,False
pilot7_raw,0.7,17,0.0383653234937981,0.5428571428571428,False
pilot7_raw,0.8,17,0.04616884978923146,0.8,False
pilot7_raw,0.9,17,0.059864426184834854,0.9142857142857143,False
pilot7_raw,1.0,17,0.0890417637678332,1.0,False
pilot7_pooled_structure,0.0,17,0.0003295004277257275,0.05714285714285714,True
pilot7_pooled_structure,0.1,17,0.0005298327150564835,0.02857142857142857,True
pilot7_pooled_structure,0.2,17,0.0004721130225109085,0.014285714285714285,True
pilot7_pooled_structure,0.3,17,0.002496826737472588,0.04285714285714286,True
pilot7_pooled_structure,0.4,17,0.0031368656226082804,0.08571428571428572,True
pilot7_pooled_structure,0.5,17,0.005057111957584316,0.08571428571428572,True
pilot7_pooled_structure,0.6,17,0.006210200861607423,0.08571428571428572,True
pilot7_pooled_structure,0.7,17,0.010017786156661336,0.15714285714285714,True
pilot7_pooled_structure,0.8,17,0.010546874919309198,0.11428571428571428,True
pilot7_pooled_structure,0.9,17,0.016133559028069646,0.17142857142857143,True
pilot7_pooled_structure,1.0,17,0.016221389520371714,0.15714285714285714,True
