curve,strength,eval_n,true_omega2,power,mode,structure_lambda
gold17,0.0,17,0.0,0.1,raw,
gold17,0.2,17,0.0004551567691947656,0.125,raw,
gold17,0.4,17,0.020010880318290108,0.325,raw,
gold17,0.6,17,0.0438529378748276,0.75,raw,
gold17,0.8,17,0.05908447486056441,0.95,raw,
gold17,1.0,17,0.0939907481876653,1.0,raw,
pilot7_raw,0.0,17,0.0,0.075,raw,
pilot7_raw,0.2,17,0.003281549420557573,0.1,raw,
pilot7_raw,0.4,17,0.007239279560320729,0.3,raw,
pilot7_raw,0.6,17,0.024869925303642043,0.475,raw,
pilot7_raw,0.8,17,0.05612047890320758,0.75,raw,
pilot7_raw,1.0,17,0.0767559953386915,1.0,raw,
pilot7_pooled_structure,0.0,17,0.0013888434458565319,0.1,pooled,
pilot7_pooled_structure,0.2,17,9.897125521617126e-05,0.025,pooled,
pilot7_pooled_structure,0.4,17,0.00235262964959118,0.1,pooled,
pilot7_pooled_structure,0.6,17,0.00504091899689291,0.075,pooled,
pilot7_pooled_structure,0.8,17,0.012611471904523483,0.15,pooled,
pilot7_pooled_structure,1.0,17,0.01922228588062319,0.3,pooled,
pilot7_adaptive_var,0.0,17,0.0,0.1,adaptive,0.6690788441804199
pilot7_adaptive_var,0.2,17,0.0,0.05,adaptive,0.6690788441804199
pilot7_adaptive_var,0.4,17,0.005320042765020165,0.1,adaptive,0.6690788441804199
pilot7_adaptive_var,0.6,17,0.00894409384473226,0.15,adaptive,0.6690788441804199
pilot7_adaptive_var,0.8,17,0.027657055917187354,0.475,adaptive,0.6690788441804199
pilot7_adaptive_var,1.0,17,0.04418726099100259,0.8,adaptive,0.6690788441804199
pilot7_adaptive_amp,0.0,17,0.0,0.025,adaptive,0.8179723981776035
pilot7_adaptive_amp,0.2,17,0.003407684684987261,0.075,adaptive,0.8179723981776035
pilot7_adaptive_amp,0.4,17,0.016643412136925193,0.2,adaptive,0.8179723981776035
pilot7_adaptive_amp,0.6,17,0.012444818126701025,0.225,adaptive,0.8179723981776035
pilot7_adaptive_amp,0.8,17,0.057558220179258594,0.775,adaptive,0.8179723981776035
pilot7_adaptive_amp,1.0,17,0.049114119230537795,0.85,adaptive,0.8179723981776035
