method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction
mdc_tf_lite,7,0.0,17,0.0,0.06,0.25
mdc_tf_lite,7,0.15,17,0.0015636592845275556,0.06,0.25
mdc_tf_lite,7,0.3,17,0.004288521811166844,0.1,0.25
mdc_tf_lite,7,0.45,17,0.01133143999822828,0.12,0.25
mdc_tf_lite,7,0.6,17,0.04265480388003776,0.62,0.25
mdc_tf_lite,7,0.75,17,0.04212042321561796,0.72,0.25
mdc_tf_lite,7,0.9,17,0.07459624027704435,0.97,0.25
mdc_tf_lite,7,1.0,17,0.08454112034346939,0.99,0.25
mdc_tf_lite,10,0.0,17,0.001330787130669416,0.05,0.25
mdc_tf_lite,10,0.15,17,0.0015436625778032294,0.07,0.25
mdc_tf_lite,10,0.3,17,0.018684169780215785,0.31,0.25
mdc_tf_lite,10,0.45,17,0.0208499109040679,0.28,0.25
mdc_tf_lite,10,0.6,17,0.04417738726784001,0.74,0.25
mdc_tf_lite,10,0.75,17,0.07294138256659997,0.89,0.25
mdc_tf_lite,10,0.9,17,0.09445226459586531,1.0,0.25
mdc_tf_lite,10,1.0,17,0.11216211623058282,1.0,0.25
mdc_tf_lite,19,0.0,17,0.0,0.04,0.25
mdc_tf_lite,19,0.15,17,0.007244867619953366,0.1,0.25
mdc_tf_lite,19,0.3,17,0.006842645860639829,0.14,0.25
mdc_tf_lite,19,0.45,17,0.020347465619583237,0.44,0.25
mdc_tf_lite,19,0.6,17,0.038647865119906415,0.72,0.25
mdc_tf_lite,19,0.75,17,0.053922481273139374,0.89,0.25
mdc_tf_lite,19,0.9,17,0.06567285971887714,0.98,0.25
mdc_tf_lite,19,1.0,17,0.08992382036031984,1.0,0.25
