method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction,eval_mode,run
mdc_tf_optimized,7,0.0,17,0.0,0.0,0.25,exchangeable_null,seed20260627
mdc_tf_optimized,7,0.3925,17,0.0108855478005964,0.16,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.5591,17,0.022134381370119,0.3,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.7145,17,0.0339778790700263,0.56,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.8203,17,0.0535774369454666,0.72,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.854,17,0.0613804944571007,0.76,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.8877,17,0.0774365201249896,0.92,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,1.0,17,0.0852114292355326,0.94,0.25,labeled_bootstrap,seed20260627
mdc_tf_optimized,7,0.0,17,0.0,0.04,0.25,exchangeable_null,seed20260711
mdc_tf_optimized,7,0.296,17,0.0216650203138525,0.36,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.5526,17,0.0334606829889227,0.56,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.6436,17,0.0485148300589748,0.86,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.8399,17,0.0857042386677775,0.92,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.9267,17,0.1035031985711589,1.0,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.9633,17,0.1109227766780007,1.0,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,1.0,17,0.1324476565115619,1.0,0.25,labeled_bootstrap,seed20260711
mdc_tf_optimized,7,0.0,17,0.0,0.06,0.25,exchangeable_null,seed20260731
mdc_tf_optimized,7,0.3149,17,0.0299617200405499,0.4,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,0.4031,17,0.032973853407624,0.38,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,0.5971,17,0.0619160865168219,0.92,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,0.7143,17,0.1066115550000572,0.96,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,0.7449,17,0.1110596906057075,1.0,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,0.7755,17,0.1107111737389634,1.0,0.25,labeled_bootstrap,seed20260731
mdc_tf_optimized,7,1.0,17,0.1788152936747268,1.0,0.25,labeled_bootstrap,seed20260731
