method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction,eval_mode
mdc_tf_optimized,7,0.0,17,0.0,0.02,0.25,exchangeable_null
mdc_tf_optimized,7,0.36,17,0.02581754070440958,0.5,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.4611,17,0.02273016846472738,0.24,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.5784,17,0.03810823517106693,0.78,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.6499,17,0.05652535617565001,0.7,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.6985,17,0.05772063067938595,0.92,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7327,17,0.06546655221773287,0.86,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7599,17,0.08137506702042156,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7904,17,0.08238931605434457,0.92,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.8677,17,0.09710007317821534,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.9053,17,0.09251484460585262,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,7,1.0,17,0.12046568176202153,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.0,17,0.0,0.06,0.25,exchangeable_null
mdc_tf_optimized,10,0.2178,17,0.005124453382032322,0.06,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.3039,17,0.0065734915197153245,0.26,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.39,17,0.007753746911364459,0.1,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.5547,17,0.03148441086054996,0.36,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.6957,17,0.02651539190658989,0.42,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7622,17,0.038106428812933406,0.66,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8668,17,0.05645313278963497,0.74,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8829,17,0.059223706171622495,0.84,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.899,17,0.054104746042400766,0.84,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.9151,17,0.060273652576852084,0.86,0.25,labeled_bootstrap
mdc_tf_optimized,10,1.0,17,0.06601319903813765,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.0,17,0.0,0.08,0.25,exchangeable_null
mdc_tf_optimized,17,0.1231,17,0.0031524430001280902,0.06,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.3684,17,0.008916939748553407,0.16,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.3913,17,0.010325009258321458,0.08,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.4141,17,0.017958758717229815,0.26,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.5876,17,0.022104643795436557,0.3,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.7583,17,0.06531012786476524,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.8566,17,0.0613998197987638,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.8749,17,0.06095548022772016,0.92,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.8928,17,0.07037419432854791,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.9107,17,0.06779372086493551,0.98,0.25,labeled_bootstrap
mdc_tf_optimized,17,1.0,17,0.08811798954276757,1.0,0.25,labeled_bootstrap
