method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction,eval_mode
mdc_tf_optimized,7,0.0,17,0.0,0.03333333333333333,0.25,exchangeable_null
mdc_tf_optimized,7,0.3925,17,0.014424842686006335,0.18333333333333332,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.5591,17,0.02906033515317541,0.4666666666666667,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7145,17,0.05205026577141348,0.75,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.8203,17,0.05354800191411725,0.7833333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.854,17,0.06216747451540083,0.9166666666666666,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.8877,17,0.06459247167040436,0.8833333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,7,1.0,17,0.08519702954818949,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.0,17,0.0,0.06666666666666667,0.25,exchangeable_null
mdc_tf_optimized,10,0.4672,17,0.03959630576821802,0.6333333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.5338,17,0.03933468704271028,0.5833333333333334,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.5754,17,0.04143801384117837,0.6333333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.808,17,0.07711591074092725,0.95,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8613,17,0.09030424727800035,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.9215,17,0.1103791423166455,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,1.0,17,0.1288627950375746,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.0,17,0.0,0.06666666666666667,0.25,exchangeable_null
mdc_tf_optimized,19,0.3208,17,0.018055900486000406,0.3,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.467,17,0.016786353459491362,0.31666666666666665,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.7075,17,0.046518586743201876,0.7833333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.8137,17,0.06008589176613554,0.95,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.9121,17,0.07637855064518445,0.9833333333333333,0.25,labeled_bootstrap
mdc_tf_optimized,19,0.9561,17,0.08369708307004875,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,19,1.0,17,0.08567433322435462,1.0,0.25,labeled_bootstrap
