method,pilot_n,pi,scale,eval_n,true_omega2,power
fixed_presence,7,0.62,0.35,17,0.15016005833352822,1.0
fixed_presence,7,0.62,0.55,17,0.11878167632629173,1.0
fixed_presence,7,0.62,0.75,17,0.04911300155246586,0.4
fixed_presence,7,0.62,1.0,17,0.008052812874409572,0.06666666666666667
fixed_presence,7,0.62,1.3,17,0.14223024583964844,0.9666666666666667
fixed_presence,7,0.62,1.7,17,0.24382699097562943,1.0
fixed_presence,7,0.62,2.2,17,0.2903811793518781,1.0
fixed_presence,7,0.62,2.8,17,0.2768110471501173,1.0
mild_edge_shrink,7,0.62,0.35,17,0.13198793012326712,1.0
mild_edge_shrink,7,0.62,0.55,17,0.08958626656629488,0.95
mild_edge_shrink,7,0.62,0.75,17,0.03306167656242365,0.23333333333333334
mild_edge_shrink,7,0.62,1.0,17,0.008052812874409572,0.03333333333333333
mild_edge_shrink,7,0.62,1.3,17,0.11167808148981456,0.9833333333333333
mild_edge_shrink,7,0.62,1.7,17,0.221447129203946,1.0
mild_edge_shrink,7,0.62,2.2,17,0.29002450930092677,1.0
mild_edge_shrink,7,0.62,2.8,17,0.28273203659646184,1.0
fixed_presence,7,0.7,0.35,17,0.1373725784616969,1.0
fixed_presence,7,0.7,0.55,17,0.09110269565675158,0.9833333333333333
fixed_presence,7,0.7,0.75,17,0.060351707908227956,0.7333333333333333
fixed_presence,7,0.7,1.0,17,0.032815518616247624,0.31666666666666665
fixed_presence,7,0.7,1.3,17,0.2138244570270113,1.0
fixed_presence,7,0.7,1.7,17,0.3098945136296217,1.0
fixed_presence,7,0.7,2.2,17,0.2850465787167042,1.0
fixed_presence,7,0.7,2.8,17,0.30639825269472476,1.0
mild_edge_shrink,7,0.7,0.35,17,0.11774775040663919,1.0
mild_edge_shrink,7,0.7,0.55,17,0.07279133197320282,0.9
mild_edge_shrink,7,0.7,0.75,17,0.04666816538829859,0.38333333333333336
mild_edge_shrink,7,0.7,1.0,17,0.032815518616247624,0.26666666666666666
mild_edge_shrink,7,0.7,1.3,17,0.1796793353984152,1.0
mild_edge_shrink,7,0.7,1.7,17,0.28953267699956037,1.0
mild_edge_shrink,7,0.7,2.2,17,0.2917586702449848,1.0
mild_edge_shrink,7,0.7,2.8,17,0.32306961360458425,1.0
fixed_presence,10,0.62,0.35,17,0.1115701369547529,1.0
fixed_presence,10,0.62,0.55,17,0.08626785918195694,0.9666666666666667
fixed_presence,10,0.62,0.75,17,0.03679537869523159,0.4666666666666667
fixed_presence,10,0.62,1.0,17,0.0041889192415605105,0.1
fixed_presence,10,0.62,1.3,17,0.10818798105952676,0.95
fixed_presence,10,0.62,1.7,17,0.1576289835750865,1.0
fixed_presence,10,0.62,2.2,17,0.24123281968655297,1.0
fixed_presence,10,0.62,2.8,17,0.22531452503479046,1.0
mild_edge_shrink,10,0.62,0.35,17,0.0908863433025535,0.9166666666666666
mild_edge_shrink,10,0.62,0.55,17,0.06070444459955536,0.8833333333333333
mild_edge_shrink,10,0.62,0.75,17,0.023532091103619007,0.26666666666666666
mild_edge_shrink,10,0.62,1.0,17,0.0041889192415605105,0.08333333333333333
mild_edge_shrink,10,0.62,1.3,17,0.08539664758953495,0.75
mild_edge_shrink,10,0.62,1.7,17,0.14210610202026194,1.0
mild_edge_shrink,10,0.62,2.2,17,0.22626408591925326,1.0
mild_edge_shrink,10,0.62,2.8,17,0.2517012538317436,1.0
fixed_presence,10,0.7,0.35,17,0.08843482159681987,1.0
fixed_presence,10,0.7,0.55,17,0.06714762360857833,0.9666666666666667
fixed_presence,10,0.7,0.75,17,0.02927564598338392,0.35
fixed_presence,10,0.7,1.0,17,0.0666974659801371,0.5333333333333333
fixed_presence,10,0.7,1.3,17,0.14301772803289128,0.9666666666666667
fixed_presence,10,0.7,1.7,17,0.24138231109419156,1.0
fixed_presence,10,0.7,2.2,17,0.2997792787549918,1.0
fixed_presence,10,0.7,2.8,17,0.3440234559021815,1.0
mild_edge_shrink,10,0.7,0.35,17,0.07025204039056836,0.9333333333333333
mild_edge_shrink,10,0.7,0.55,17,0.0505753778089338,0.7833333333333333
mild_edge_shrink,10,0.7,0.75,17,0.019272841309210205,0.2
mild_edge_shrink,10,0.7,1.0,17,0.0666974659801371,0.5833333333333334
mild_edge_shrink,10,0.7,1.3,17,0.12086219695827032,0.8833333333333333
mild_edge_shrink,10,0.7,1.7,17,0.20837753105671702,1.0
mild_edge_shrink,10,0.7,2.2,17,0.2904622610475362,1.0
mild_edge_shrink,10,0.7,2.8,17,0.36308551742849643,1.0
fixed_presence,19,0.62,0.35,17,0.1334781518497781,1.0
fixed_presence,19,0.62,0.55,17,0.1111943486564529,0.9833333333333333
fixed_presence,19,0.62,0.75,17,0.042307048575283696,0.5333333333333333
fixed_presence,19,0.62,1.0,17,0.004739598235426037,0.05
fixed_presence,19,0.62,1.3,17,0.10935695228197796,0.9666666666666667
fixed_presence,19,0.62,1.7,17,0.23766223455618618,1.0
fixed_presence,19,0.62,2.2,17,0.27893727871846913,1.0
fixed_presence,19,0.62,2.8,17,0.25186391386064655,1.0
mild_edge_shrink,19,0.62,0.35,17,0.11398433189838666,1.0
mild_edge_shrink,19,0.62,0.55,17,0.08467915323534492,0.9833333333333333
mild_edge_shrink,19,0.62,0.75,17,0.029427906251527587,0.31666666666666665
mild_edge_shrink,19,0.62,1.0,17,0.004739598235426037,0.016666666666666666
mild_edge_shrink,19,0.62,1.3,17,0.08670956866286483,0.9
mild_edge_shrink,19,0.62,1.7,17,0.21644966440541943,1.0
mild_edge_shrink,19,0.62,2.2,17,0.2886300189864955,1.0
mild_edge_shrink,19,0.62,2.8,17,0.27882400756731723,1.0
fixed_presence,19,0.7,0.35,17,0.11640644488630181,1.0
fixed_presence,19,0.7,0.55,17,0.0631689017778374,0.95
fixed_presence,19,0.7,0.75,17,0.03474254683028499,0.48333333333333334
fixed_presence,19,0.7,1.0,17,0.0231070311422103,0.1
fixed_presence,19,0.7,1.3,17,0.18403368548343524,1.0
fixed_presence,19,0.7,1.7,17,0.2931387917386573,1.0
fixed_presence,19,0.7,2.2,17,0.3165478591900756,1.0
fixed_presence,19,0.7,2.8,17,0.3192699806763187,1.0
mild_edge_shrink,19,0.7,0.35,17,0.10151314401152145,1.0
mild_edge_shrink,19,0.7,0.55,17,0.05238014449357873,0.85
mild_edge_shrink,19,0.7,0.75,17,0.030711938502296664,0.4166666666666667
mild_edge_shrink,19,0.7,1.0,17,0.0231070311422103,0.1
mild_edge_shrink,19,0.7,1.3,17,0.160708606680118,0.9833333333333333
mild_edge_shrink,19,0.7,1.7,17,0.2590478801935797,1.0
mild_edge_shrink,19,0.7,2.2,17,0.332015151488614,1.0
mild_edge_shrink,19,0.7,2.8,17,0.36078617712488603,1.0
