group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance,pilot_n,strength
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.0
CD,synthetic,407.34,182.66,177.86,0.026146735990756786,7,0.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.0
Control,synthetic,193.87,102.67,105.62,0.012444316066499775,7,0.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.35
CD,synthetic,285.37,131.06,126.33,0.01831760703511137,7,0.35
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.35
Control,synthetic,244.14,123.68,124.98,0.01567109570575775,7,0.35
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.7
CD,synthetic,343.04,160.67,155.25,0.022019385069645035,7,0.7
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.7
Control,synthetic,258.04,129.26,129.79,0.01656332242120804,7,0.7
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.0
CD,synthetic,185.03,94.58,92.91,0.011876885551062328,7,1.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.0
Control,synthetic,277.37,134.56,134.93,0.017804095256434945,7,1.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.25
CD,synthetic,166.68,85.05,82.94,0.010699017908723282,7,1.25
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.25
Control,synthetic,308.54,143.47,138.38,0.01980486552410296,7,1.25
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.5
CD,synthetic,148.37,75.37,73.19,0.009523717825277618,7,1.5
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.5
Control,synthetic,390.17,173.2,169.82,0.025044611335772515,7,1.5
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.8
CD,synthetic,122.97,68.11,67.53,0.007893317927979973,7,1.8
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.8
Control,synthetic,387.41,170.35,166.39,0.02486744977212915,7,1.8
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.0
CD,synthetic,658.84,263.08,250.14,0.042290262532896854,10,0.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.0
Control,synthetic,526.42,231.4,224.21,0.03379035881635535,10,0.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.35
CD,synthetic,744.69,292.38,275.48,0.04780088580781822,10,0.35
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.35
Control,synthetic,611.24,261.95,246.66,0.03923486744977213,10,0.35
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.7
CD,synthetic,650.64,252.85,237.81,0.04176391295975351,10,0.7
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.7
Control,synthetic,594.5,256.38,243.55,0.03816034405289171,10,0.7
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.0
CD,synthetic,590.71,231.27,217.84,0.03791706784774376,10,1.0
