group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance,pilot_n,strength
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.0
CD,synthetic,93.93,49.3,54.34,0.0060292701713845565,7,0.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.0
Control,synthetic,109.64,56.91,60.46,0.007037678926760382,7,0.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.35
CD,synthetic,95.85,57.64,56.71,0.006152512998266898,7,0.35
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.35
Control,synthetic,518.62,219.85,208.7,0.03328968483214584,7,0.35
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.7
CD,synthetic,131.79,76.2,74.61,0.008459464663970729,7,0.7
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.7
Control,synthetic,543.05,230.75,220.34,0.03485782142627896,7,0.7
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.0
CD,synthetic,71.87,44.65,44.33,0.004613261441684319,7,1.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.0
Control,synthetic,599.62,241.93,227.51,0.03848899159124462,7,1.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.25
CD,synthetic,60.8,38.18,38.65,0.0039026895179408174,7,1.25
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.25
Control,synthetic,680.1,257.92,232.13,0.043654920084729446,7,1.25
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.5
CD,synthetic,72.65,43.52,41.99,0.0046633288401052705,7,1.5
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.5
Control,synthetic,823.49,307.57,277.5,0.052858976827780985,7,1.5
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.8
CD,synthetic,55.01,36.26,35.63,0.0035310353681237564,7,1.8
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.8
Control,synthetic,842.94,305.78,271.56,0.05410745233968804,7,1.8
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.0
CD,synthetic,226.12,104.61,112.43,0.014514410424289107,10,0.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.0
Control,synthetic,248.83,114.12,121.85,0.015972141986006806,10,0.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.35
CD,synthetic,453.17,209.48,202.07,0.02908851659284935,10,0.35
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.35
Control,synthetic,894.44,336.35,311.46,0.05741318441491752,10,0.35
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.7
CD,synthetic,422.34,190.05,183.45,0.02710957057577508,10,0.7
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.7
Control,synthetic,897.09,337.65,314.07,0.057583285191604085,10,0.7
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.0
CD,synthetic,401.2,179.82,173.06,0.025752615700622632,10,1.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.0
Control,synthetic,998.07,352.93,320.29,0.06406508761794724,10,1.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.25
CD,synthetic,336.76,157.15,152.65,0.02161627832338404,10,1.25
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.25
Control,synthetic,1118.45,389.3,350.54,0.07179215610758072,10,1.25
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.5
CD,synthetic,376.2,165.09,159.58,0.02414789139225881,10,1.5
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.5
Control,synthetic,1082.7,367.39,326.84,0.06949740034662046,10,1.5
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.8
CD,synthetic,396.83,166.63,157.09,0.025472109891520635,10,1.8
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.8
Control,synthetic,1306.49,431.41,378.37,0.08386225046537005,10,1.8
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.0
CD,synthetic,204.63,91.44,97.11,0.013134989408819565,19,0.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.0
Control,synthetic,289.56,125.74,134.32,0.018586558829193144,19,0.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.35
CD,synthetic,315.98,152.09,150.69,0.020282431478272033,19,0.35
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.35
Control,synthetic,979.45,349.06,316.62,0.06286988895307787,19,0.35
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.7
CD,synthetic,301.06,148.75,145.09,0.019324732011040503,19,0.7
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.7
Control,synthetic,1159.18,397.29,355.74,0.07440657295076707,19,0.7
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.0
CD,synthetic,278.01,135.69,131.54,0.01784517619872906,19,1.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.0
Control,synthetic,1184.9,398.79,351.83,0.07605751331921176,19,1.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.25
CD,synthetic,283.04,138.2,131.52,0.01816804672957186,19,1.25
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.25
Control,synthetic,1432.08,448.06,380.36,0.09192374350086654,19,1.25
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.5
CD,synthetic,217.49,103.79,98.44,0.013960459593041916,19,1.5
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.5
Control,synthetic,1422.42,448.47,381.81,0.09130367802811477,19,1.5
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.8
CD,synthetic,272.98,128.73,121.22,0.01752230566788626,19,1.8
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.8
Control,synthetic,1740.03,505.12,420.73,0.11169073753129212,19,1.8
