method,pilot_n,strength,eval_n,true_omega2,power
taf_dc,7,0.0,17,0.0013960821205869717,0.1
taf_dc,7,0.35,17,0.02673457316234508,0.64
taf_dc,7,0.7,17,0.04808054381588086,0.9
taf_dc,7,1.0,17,0.052062572659121,0.92
taf_dc,7,1.25,17,0.029644246716434102,0.42
taf_dc,7,1.5,17,0.0,0.42
taf_dc,7,1.8,17,0.0,0.24
taf_dc,10,0.0,17,0.00013869322755534385,0.04
taf_dc,10,0.35,17,0.023077820469244233,0.54
taf_dc,10,0.7,17,0.05192539081438364,0.68
taf_dc,10,1.0,17,0.022620420070468338,0.56
taf_dc,10,1.25,17,0.026312385154169768,0.58
taf_dc,10,1.5,17,0.008461573795364144,0.38
taf_dc,10,1.8,17,0.0,0.14
taf_dc,19,0.0,17,0.006598318664898781,0.2
taf_dc,19,0.35,17,0.018697772314653246,0.48
taf_dc,19,0.7,17,0.060578805733852215,0.9
taf_dc,19,1.0,17,0.06605886855352497,0.94
taf_dc,19,1.25,17,0.06881051668408991,0.8
taf_dc,19,1.5,17,0.0665914844458345,0.84
taf_dc,19,1.8,17,0.03128121835556101,0.6
