group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance,pilot_n,strength
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.0
CD,synthetic,693.7233333333334,303.62333333333333,262.79,0.04452938785116717,7,0.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.0
Control,synthetic,674.8233333333334,293.2133333333333,252.89,0.043316216274044125,7,0.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.15
CD,synthetic,646.53,292.15,254.03333333333333,0.0415000962834585,7,0.15
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.15
Control,synthetic,786.65,343.86333333333334,297.52,0.05049425508697605,7,0.15
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.3
CD,synthetic,528.5266666666666,256.22,228.73333333333332,0.03392558358474014,7,0.3
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.3
Control,synthetic,806.1933333333334,360.56666666666666,316.28,0.05174872156963434,7,0.3
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.45
CD,synthetic,520.69,260.61333333333334,236.28333333333333,0.03342255600487837,7,0.45
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.45
Control,synthetic,858.8233333333334,378.04,329.38,0.05512698718360186,7,0.45
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.6
CD,synthetic,379.6433333333333,206.91666666666666,192.69666666666666,0.024368915420330785,7,0.6
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.6
Control,synthetic,904.1766666666666,394.99333333333334,343.4433333333333,0.058038171042214946,7,0.6
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.75
CD,synthetic,358.9866666666667,197.61666666666667,182.42666666666668,0.02304298521514004,7,0.75
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.75
Control,synthetic,972.35,414.78333333333336,356.5966666666667,0.06241414724950254,7,0.75
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.9
CD,synthetic,295.67,166.92333333333335,154.74333333333334,0.018978753450157263,7,0.9
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.9
Control,synthetic,1068.31,438.91333333333336,373.0,0.06857372103472623,7,0.9
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.0
CD,synthetic,260.88666666666666,141.15,128.22666666666666,0.016746047029120397,7,1.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.0
Control,synthetic,1074.8666666666666,440.25,372.9633333333333,0.06899458672999978,7,1.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.0
CD,synthetic,1000.1433333333333,385.8466666666667,329.81,0.06419817275392088,10,0.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.0
Control,synthetic,1052.3,400.63666666666666,338.99333333333334,0.06754605558765003,10,0.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.15
CD,synthetic,1111.2266666666667,426.6933333333333,362.58,0.07132849776408413,10,0.15
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.15
Control,synthetic,1175.79,449.50333333333333,382.24666666666667,0.07547275178124398,10,0.15
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.3
CD,synthetic,1036.0133333333333,415.73333333333335,359.0566666666667,0.06650063119156129,10,0.3
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.3
Control,synthetic,1270.5266666666666,481.06666666666666,406.4766666666667,0.0815538010569784,10,0.3
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.45
CD,synthetic,956.91,395.2133333333333,343.47,0.06142306951665703,10,0.45
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.45
Control,synthetic,1269.35,483.8233333333333,410.0833333333333,0.08147827203286474,10,0.45
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.6
CD,synthetic,927.7633333333333,385.7,337.2133333333333,0.05955217493634594,10,0.6
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.6
Control,synthetic,1318.1966666666667,496.94666666666666,417.3666666666667,0.08461368936816656,10,0.6
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.75
CD,synthetic,899.7666666666667,373.76,328.72,0.05775509767421957,10,0.75
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.75
Control,synthetic,1345.0833333333333,501.89,420.8566666666667,0.08633951687100155,10,0.75
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.9
CD,synthetic,789.2266666666667,329.8433333333333,288.96666666666664,0.05065964867235809,10,0.9
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.9
Control,synthetic,1418.8666666666666,519.4066666666666,430.9033333333333,0.09107559321308599,10,0.9
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.0
CD,synthetic,772.62,308.35,264.23,0.04959368380512228,10,1.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.0
Control,synthetic,1477.7533333333333,528.0933333333334,434.97,0.09485546783062669,10,1.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.0
CD,synthetic,1045.9933333333333,383.83,324.85,0.06714123713546012,19,0.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.0
Control,synthetic,1019.05,374.3933333333333,317.70666666666665,0.06541177225752616,19,0.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.15
CD,synthetic,994.7133333333334,379.49666666666667,327.2866666666667,0.06384962663414426,19,0.15
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.15
Control,synthetic,1148.0466666666666,426.23,367.2,0.07369193572544237,19,0.15
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.3
CD,synthetic,883.8833333333333,357.95666666666665,318.28,0.05673556283030575,19,0.3
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.3
Control,synthetic,1203.3333333333333,449.1,386.73,0.07724073004257868,19,0.3
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.45
CD,synthetic,799.5533333333333,333.5566666666667,296.7033333333333,0.0513225067933329,19,0.45
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.45
Control,synthetic,1240.45,461.32,396.18333333333334,0.07962321073239617,19,0.45
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.6
CD,synthetic,768.29,326.53,291.6333333333333,0.049315745554913665,19,0.6
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.6
Control,synthetic,1311.14,480.97333333333336,410.49,0.08416072918672572,19,0.6
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.75
CD,synthetic,736.72,314.37,282.1333333333333,0.04728929969831183,19,0.75
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.75
Control,synthetic,1335.83,483.71,413.19,0.08574555491366583,19,0.75
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.9
CD,synthetic,570.5933333333334,248.75333333333333,223.51666666666668,0.03662579968761367,19,0.9
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.9
Control,synthetic,1457.5466666666666,510.57,430.54,0.0935584226629865,19,0.9
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.0
CD,synthetic,542.9633333333334,229.39,201.46,0.034852258382009976,19,1.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.0
Control,synthetic,1466.75,510.8566666666667,429.7633333333333,0.0941491751717055,19,1.0
