modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,0,0.5,1.0,0.0019640462211727,0.225,80
gene,4,0,0.6,1.0,0.0137093352242891,0.575,80
gene,4,0,0.68,1.0,0.0800556394864055,1.0,80
gene,4,0,0.75,1.0,0.0812510177756912,1.0,80
gene,4,0,0.82,1.0,0.1361494336692253,1.0,80
gene,4,0,0.88,1.0,0.178652763338817,1.0,80
gene,4,0,0.93,1.0,0.2372601300966932,1.0,80
gene,4,0,0.97,1.0,0.3187394431234701,1.0,80
gene,4,0,1.0,1.0,0.3188521725730656,1.0,80
gene,4,0,1.0,1.3,0.3204529867832387,1.0,80
gene,4,0,1.0,1.7,0.3443048520587055,1.0,80
gene,4,1,0.5,1.0,0.0030994352217229,0.275,80
gene,4,1,0.6,1.0,0.0109747312663331,0.55,80
gene,4,1,0.68,1.0,0.0565524022072597,1.0,80
gene,4,1,0.75,1.0,0.0847800151489787,1.0,80
gene,4,1,0.82,1.0,0.1061657223106867,1.0,80
gene,4,1,0.88,1.0,0.2594279214229251,1.0,80
gene,4,1,0.93,1.0,0.2271466867845273,1.0,80
gene,4,1,0.97,1.0,0.2149074085549689,1.0,80
gene,4,1,1.0,1.0,0.3124988250335197,1.0,80
gene,4,1,1.0,1.3,0.4277026517357951,1.0,80
gene,4,1,1.0,1.7,0.3623183654484039,1.0,80
gene,4,2,0.5,1.0,0.0,0.125,80
gene,4,2,0.6,1.0,0.0251715212795969,0.8,80
gene,4,2,0.68,1.0,0.0706863866130222,1.0,80
gene,4,2,0.75,1.0,0.0900595404366209,1.0,80
gene,4,2,0.82,1.0,0.1456889766169415,1.0,80
gene,4,2,0.88,1.0,0.2406141242321879,1.0,80
gene,4,2,0.93,1.0,0.1503171798553274,1.0,80
gene,4,2,0.97,1.0,0.3987212138495596,1.0,80
gene,4,2,1.0,1.0,0.3211772974845231,1.0,80
gene,4,2,1.0,1.3,0.313843903544678,1.0,80
gene,4,2,1.0,1.7,0.3227626835801407,1.0,80
gene,4,3,0.5,1.0,0.0,0.1,80
gene,4,3,0.6,1.0,0.0307268428390457,0.925,80
gene,4,3,0.68,1.0,0.0771415622313867,1.0,80
gene,4,3,0.75,1.0,0.0845274341985269,1.0,80
gene,4,3,0.82,1.0,0.1659255203074517,1.0,80
gene,4,3,0.88,1.0,0.3005300349777747,1.0,80
gene,4,3,0.93,1.0,0.3081590585171177,1.0,80
gene,4,3,0.97,1.0,0.4124648072545659,1.0,80
gene,4,3,1.0,1.0,0.4722779740859454,1.0,80
gene,4,3,1.0,1.3,0.4466069941294303,1.0,80
gene,4,3,1.0,1.7,0.4749054788705085,1.0,80
gene,4,4,0.5,1.0,0.0,0.15,80
gene,4,4,0.6,1.0,0.0091272227524621,0.475,80
gene,4,4,0.68,1.0,0.0612957717445502,1.0,80
gene,4,4,0.75,1.0,0.0720041236958748,1.0,80
gene,4,4,0.82,1.0,0.1112423002204098,1.0,80
gene,4,4,0.88,1.0,0.2162197244136528,1.0,80
gene,4,4,0.93,1.0,0.2230881848197393,1.0,80
gene,4,4,0.97,1.0,0.2981827502470905,1.0,80
gene,4,4,1.0,1.0,0.3558697657239749,1.0,80
gene,4,4,1.0,1.3,0.4210064317627007,1.0,80
gene,4,4,1.0,1.7,0.4429679251146241,1.0,80
gene,4,5,0.5,1.0,0.0,0.15,80
gene,4,5,0.6,1.0,0.0161740375911566,0.7,80
gene,4,5,0.68,1.0,0.0814675406512459,1.0,80
gene,4,5,0.75,1.0,0.0802294339763294,1.0,80
gene,4,5,0.82,1.0,0.1445094446236028,1.0,80
gene,4,5,0.88,1.0,0.3003697244835251,1.0,80
gene,4,5,0.93,1.0,0.311650449211899,1.0,80
gene,4,5,0.97,1.0,0.3950003759225737,1.0,80
gene,4,5,1.0,1.0,0.4449395762509147,1.0,80
gene,4,5,1.0,1.3,0.4534194630961163,1.0,80
gene,4,5,1.0,1.7,0.4380117915531814,1.0,80
gene,4,6,0.5,1.0,0.0,0.125,80
gene,4,6,0.6,1.0,0.0196020272547128,0.675,80
gene,4,6,0.68,1.0,0.0679977068071223,1.0,80
gene,4,6,0.75,1.0,0.0542750279424602,0.975,80
gene,4,6,0.82,1.0,0.1170862098380881,1.0,80
gene,4,6,0.88,1.0,0.2581492496605549,1.0,80
gene,4,6,0.93,1.0,0.2977257489379603,1.0,80
gene,4,6,0.97,1.0,0.3395365472814798,1.0,80
gene,4,6,1.0,1.0,0.4334358737151867,1.0,80
gene,4,6,1.0,1.3,0.4017350553953585,1.0,80
gene,4,6,1.0,1.7,0.4595620054984186,1.0,80
gene,4,7,0.5,1.0,1.284927705356187e-05,0.125,80
gene,4,7,0.6,1.0,0.0086048678659732,0.45,80
gene,4,7,0.68,1.0,0.0524781576219061,1.0,80
gene,4,7,0.75,1.0,0.0571892963659673,1.0,80
gene,4,7,0.82,1.0,0.1056147167767809,1.0,80
gene,4,7,0.88,1.0,0.0433038928572798,0.85,80
gene,4,7,0.93,1.0,0.1289725876215354,1.0,80
gene,4,7,0.97,1.0,0.1251228221333975,1.0,80
gene,4,7,1.0,1.0,0.2945077908868158,1.0,80
gene,4,7,1.0,1.3,0.4105736721041128,1.0,80
gene,4,7,1.0,1.7,0.4140011673790703,1.0,80
gene,4,8,0.5,1.0,0.0010120151924161,0.15,80
gene,4,8,0.6,1.0,0.016227441756879,0.625,80
gene,4,8,0.68,1.0,0.0708838089581709,1.0,80
gene,4,8,0.75,1.0,0.0885061855576711,1.0,80
gene,4,8,0.82,1.0,0.1409136692707424,1.0,80
gene,4,8,0.88,1.0,0.2940448495751727,1.0,80
gene,4,8,0.93,1.0,0.2954696222225,1.0,80
gene,4,8,0.97,1.0,0.4032159259517398,1.0,80
gene,4,8,1.0,1.0,0.4475180845706149,1.0,80
gene,4,8,1.0,1.3,0.4627500388725503,1.0,80
gene,4,8,1.0,1.7,0.4687528257554529,1.0,80
gene,4,9,0.5,1.0,0.0,0.125,80
gene,4,9,0.6,1.0,0.0223904951590041,0.775,80
gene,4,9,0.68,1.0,0.0757657667394577,1.0,80
gene,4,9,0.75,1.0,0.064902924283011,1.0,80
gene,4,9,0.82,1.0,0.1418005420732455,1.0,80
gene,4,9,0.88,1.0,0.2878030486747883,1.0,80
gene,4,9,0.93,1.0,0.3096056177741789,1.0,80
gene,4,9,0.97,1.0,0.366117737913669,1.0,80
gene,4,9,1.0,1.0,0.4569518663234916,1.0,80
gene,4,9,1.0,1.3,0.4292675943039665,1.0,80
gene,4,9,1.0,1.7,0.4608774250658837,1.0,80
gene,4,10,0.5,1.0,0.0,0.1,80
gene,4,10,0.6,1.0,0.0184401263972356,0.675,80
gene,4,10,0.68,1.0,0.0718839167662445,1.0,80
gene,4,10,0.75,1.0,0.0645588101292427,1.0,80
gene,4,10,0.82,1.0,0.127230764969455,1.0,80
gene,4,10,0.88,1.0,0.2817158572366148,1.0,80
gene,4,10,0.93,1.0,0.3104633950824085,1.0,80
gene,4,10,0.97,1.0,0.3539020250406207,1.0,80
