modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,999,0,0.5,1.0,0.0,0.025,80
gene,999,0,0.6,1.0,0.0,0.25,80
gene,999,0,0.68,1.0,0.03795062776424951,0.975,80
gene,999,0,0.75,1.0,0.07649701573393726,1.0,80
gene,999,0,0.82,1.0,0.16290492754579608,1.0,80
gene,999,0,0.88,1.0,0.229338154487314,1.0,80
gene,999,0,0.93,1.0,0.2567374102972174,1.0,80
gene,999,0,0.97,1.0,0.3363530484591513,1.0,80
gene,999,0,1.0,1.0,0.37985557796668074,1.0,80
gene,999,0,1.0,1.3,0.4199792125109796,1.0,80
gene,999,0,1.0,1.7,0.467077962749893,1.0,80
gene,999,1,0.5,1.0,0.0,0.025,80
gene,999,1,0.6,1.0,0.0,0.2,80
gene,999,1,0.68,1.0,0.037950627764249664,0.95,80
gene,999,1,0.75,1.0,0.07649701573393743,1.0,80
gene,999,1,0.82,1.0,0.16290492754579614,1.0,80
gene,999,1,0.88,1.0,0.2293381544873142,1.0,80
gene,999,1,0.93,1.0,0.2567374102972174,1.0,80
gene,999,1,0.97,1.0,0.33635304845915115,1.0,80
gene,999,1,1.0,1.0,0.3798555779666806,1.0,80
gene,999,1,1.0,1.3,0.41997921251097936,1.0,80
gene,999,1,1.0,1.7,0.46707796274989294,1.0,80
gene,999,2,0.5,1.0,0.0,0.025,80
gene,999,2,0.6,1.0,0.0,0.225,80
gene,999,2,0.68,1.0,0.03795062776424951,0.975,80
gene,999,2,0.75,1.0,0.07649701573393745,1.0,80
gene,999,2,0.82,1.0,0.16290492754579636,1.0,80
gene,999,2,0.88,1.0,0.22933815448731423,1.0,80
gene,999,2,0.93,1.0,0.25673741029721764,1.0,80
gene,999,2,0.97,1.0,0.3363530484591509,1.0,80
gene,999,2,1.0,1.0,0.3798555779666807,1.0,80
gene,999,2,1.0,1.3,0.4199792125109793,1.0,80
gene,999,2,1.0,1.7,0.46707796274989305,1.0,80
gene,999,3,0.5,1.0,0.0,0.025,80
gene,999,3,0.6,1.0,0.0,0.25,80
gene,999,3,0.68,1.0,0.03795062776424967,0.9,80
gene,999,3,0.75,1.0,0.07649701573393727,1.0,80
gene,999,3,0.82,1.0,0.16290492754579636,1.0,80
gene,999,3,0.88,1.0,0.2293381544873142,1.0,80
gene,999,3,0.93,1.0,0.2567374102972173,1.0,80
gene,999,3,0.97,1.0,0.33635304845915115,1.0,80
gene,999,3,1.0,1.0,0.3798555779666806,1.0,80
gene,999,3,1.0,1.3,0.4199792125109796,1.0,80
gene,999,3,1.0,1.7,0.46707796274989294,1.0,80
gene,999,4,0.5,1.0,0.0,0.025,80
gene,999,4,0.6,1.0,0.0,0.15,80
gene,999,4,0.68,1.0,0.037950627764249685,0.975,80
gene,999,4,0.75,1.0,0.07649701573393743,1.0,80
gene,999,4,0.82,1.0,0.16290492754579625,1.0,80
gene,999,4,0.88,1.0,0.22933815448731393,1.0,80
gene,999,4,0.93,1.0,0.25673741029721747,1.0,80
gene,999,4,0.97,1.0,0.33635304845915104,1.0,80
gene,999,4,1.0,1.0,0.3798555779666807,1.0,80
gene,999,4,1.0,1.3,0.41997921251097936,1.0,80
gene,999,4,1.0,1.7,0.46707796274989294,1.0,80
