modality,split,metric,value
protein,0,abundance,0.1108543552217729
protein,0,prevalence,0.16727646190384493
protein,0,distance,0.3707070707070707
protein,0,dispersion,0.21052631578947367
protein,0,omega2,0.7764139051382613
protein,0,deff,0.5017802200560711
protein,0,tf_topology,0.19298245614035087
protein,0,source_r2,0.02116366716307626
protein,1,abundance,0.04788497336157649
protein,1,prevalence,0.1871108543552218
protein,1,distance,0.20707070707070707
protein,1,dispersion,0.2857142857142857
protein,1,omega2,0.035922257019460606
protein,1,deff,0.2890863782769689
protein,1,tf_topology,0.16791979949874686
protein,1,source_r2,0.011647286683792044
protein,2,abundance,0.03203029719494199
protein,2,prevalence,0.2046344438025547
protein,2,distance,0.15454545454545454
protein,2,dispersion,0.2506265664160401
protein,2,omega2,0.28563836732322473
protein,2,deff,0.2380098491188042
protein,2,tf_topology,0.11528822055137844
protein,2,source_r2,0.013784545126182254
protein,3,abundance,0.04416201296617239
protein,3,prevalence,0.20039797162847428
protein,3,distance,0.23333333333333334
protein,3,dispersion,0.2656641604010025
protein,3,omega2,0.393810455027365
protein,3,deff,0.6245423679242718
protein,3,tf_topology,0.22305764411027568
protein,3,source_r2,0.02470652371066106
protein,4,abundance,0.016239810000641897
protein,4,prevalence,0.20187431799216893
protein,4,distance,0.20404040404040405
protein,4,dispersion,0.19047619047619047
protein,4,omega2,0.17299072866670373
protein,4,deff,0.0500195943884837
protein,4,tf_topology,0.20300751879699247
protein,4,source_r2,0.014273237195547938
protein,5,abundance,0.09114834071506517
protein,5,prevalence,0.27421528981321003
protein,5,distance,0.24382716049382716
protein,5,dispersion,0.39348370927318294
protein,5,omega2,0.8052658624933368
protein,5,deff,0.220017912401523
protein,5,tf_topology,0.3024794053734067
protein,5,source_r2,0.02042548015759636
protein,6,abundance,0.02728031324218505
protein,6,prevalence,0.19462096411836438
protein,6,distance,0.2502469135802469
protein,6,dispersion,0.2681704260651629
protein,6,omega2,0.28661419988845777
protein,6,deff,0.2745861699431269
protein,6,tf_topology,0.19799498746867167
protein,6,source_r2,0.014719803494936604
protein,7,abundance,0.058219397907439574
protein,7,prevalence,0.15122921882020668
protein,7,distance,0.2637037037037037
protein,7,dispersion,0.22807017543859648
protein,7,omega2,0.2990259471531927
protein,7,deff,0.6479052704899926
protein,7,tf_topology,0.30433681379924815
protein,7,source_r2,0.016262472446015867
protein,8,abundance,0.11342191411515501
protein,8,prevalence,0.1358880544322485
protein,8,distance,0.20404040404040405
protein,8,dispersion,0.2932330827067669
protein,8,omega2,0.005760649184407667
protein,8,deff,0.31096596594012815
protein,8,tf_topology,0.16541353383458646
protein,8,source_r2,0.014967817572416066
protein,9,abundance,0.04088837537711021
protein,9,prevalence,0.19937094807112143
protein,9,distance,0.44747474747474747
protein,9,dispersion,0.47869674185463656
protein,9,omega2,1.6465234542451341
protein,9,deff,0.29277067683373825
protein,9,tf_topology,0.2681704260651629
protein,9,source_r2,0.03200556018944123
protein,10,abundance,0.022466140317093486
protein,10,prevalence,0.19808716862443032
protein,10,distance,0.402020202020202
protein,10,dispersion,0.3208020050125313
protein,10,omega2,0.3613103834314629
protein,10,deff,0.08461962579340854
protein,10,tf_topology,0.18045112781954886
protein,10,source_r2,0.01327766553439111
protein,11,abundance,0.031067462609923657
protein,11,prevalence,0.18056357917709742
protein,11,distance,0.21818181818181817
protein,11,dispersion,0.20300751879699247
protein,11,omega2,0.10613140873365265
protein,11,deff,0.08168187835160004
protein,11,tf_topology,0.16541353383458646
protein,11,source_r2,0.01514919170588271
protein,12,abundance,0.04326336735348868
protein,12,prevalence,0.1784453430900571
protein,12,distance,0.23246913580246914
protein,12,dispersion,0.22305764411027568
protein,12,omega2,0.16379009800515354
protein,12,deff,0.5103274009279837
protein,12,tf_topology,0.2606516290726817
protein,12,source_r2,0.016737955913085006
protein,13,abundance,0.14827652609281727
protein,13,prevalence,0.32877591629758013
protein,13,distance,0.4303030303030303
protein,13,dispersion,0.2982456140350877
protein,13,omega2,1.8437081046789414
protein,13,deff,0.5984596933268942
protein,13,tf_topology,0.6630772343091932
protein,13,source_r2,0.037665700186584224
protein,14,abundance,0.06354708261120745
protein,14,prevalence,0.24160729186725727
protein,14,distance,0.16839506172839505
protein,14,dispersion,0.16290726817042606
protein,14,omega2,0.12838496452163173
protein,14,deff,0.17662521304023615
protein,14,tf_topology,0.17794486215538846
protein,14,source_r2,0.016293242476417193
protein,15,abundance,0.08935104948969769
protein,15,prevalence,0.2976442647153219
protein,15,distance,0.4666666666666667
protein,15,dispersion,0.3508771929824561
protein,15,omega2,1.6398983492735244
protein,15,deff,0.34026150474328914
protein,15,tf_topology,0.5345938571618645
protein,15,source_r2,0.028523523550712183
protein,16,abundance,0.1287630785031132
protein,16,prevalence,0.30701585467616666
protein,16,distance,0.24646464646464647
protein,16,dispersion,0.23558897243107768
protein,16,omega2,0.5720834135646955
protein,16,deff,0.12797063089537633
protein,16,tf_topology,0.5209477816481399
protein,16,source_r2,0.03970462376384523
protein,17,abundance,0.1158610950638681
protein,17,prevalence,0.14692855767379165
protein,17,distance,0.20606060606060606
protein,17,dispersion,0.20802005012531327
protein,17,omega2,0.3742391409655095
protein,17,deff,0.6555581392061209
protein,17,tf_topology,0.3008675996998846
protein,17,source_r2,0.014614818429751032
protein,18,abundance,0.16040824186404778
protein,18,prevalence,0.3328198215546569
protein,18,distance,0.36666666666666664
protein,18,dispersion,0.44110275689223055
protein,18,omega2,0.7856675093890331
protein,18,deff,0.4851695321406537
protein,18,tf_topology,0.5773708137812895
protein,18,source_r2,0.023942535580624768
protein,19,abundance,0.02612491174016307
protein,19,prevalence,0.23101611143205592
protein,19,distance,0.18282828282828284
protein,19,dispersion,0.20802005012531327
protein,19,omega2,0.22529409795025582
protein,19,deff,0.008387097009508607
protein,19,tf_topology,0.23057644110275688
protein,19,source_r2,0.014458642861737574
protein,20,abundance,0.10777328454971435
protein,20,prevalence,0.13120225945182618
protein,20,distance,0.43434343434343436
protein,20,dispersion,0.2731829573934837
protein,20,omega2,0.7761297573476782
protein,20,deff,0.4793174870525168
protein,20,tf_topology,0.44177823124857984
protein,20,source_r2,0.024322748939127295
protein,21,abundance,0.08100648308620584
protein,21,prevalence,0.2275499069259901
protein,21,distance,0.14962962962962964
protein,21,dispersion,0.16541353383458646
protein,21,omega2,0.03984730940312301
protein,21,deff,0.31263556427325123
protein,21,tf_topology,0.11278195488721804
protein,21,source_r2,0.020686222750597515
protein,22,abundance,0.02965530521856352
protein,22,prevalence,0.2313370562937287
protein,22,distance,0.4212121212121212
protein,22,dispersion,0.3458646616541353
protein,22,omega2,1.7648465998825944
protein,22,deff,0.1804883847972776
protein,22,tf_topology,0.18295739348370926
protein,22,source_r2,0.02522827690042056
protein,23,abundance,0.0842159317029334
protein,23,prevalence,0.1729892804416201
protein,23,distance,0.24444444444444444
protein,23,dispersion,0.3408521303258145
protein,23,omega2,0.0671970394141574
protein,23,deff,0.4857007787944454
protein,23,tf_topology,0.11779448621553884
protein,23,source_r2,0.010896584217367822
protein,24,abundance,0.02766544707619234
protein,24,prevalence,0.21907696257782916
protein,24,distance,0.24848484848484848
protein,24,dispersion,0.2832080200501253
protein,24,omega2,0.8086869815747456
protein,24,deff,0.14262270737151272
protein,24,tf_topology,0.23558897243107768
protein,24,source_r2,0.016260588333796865
protein,25,abundance,0.07863149110982726
protein,25,prevalence,0.16470890301046281
protein,25,distance,0.15757575757575756
protein,25,dispersion,0.18796992481203006
protein,25,omega2,0.5198388801102108
protein,25,deff,0.32639689450033726
protein,25,tf_topology,0.23308270676691728
protein,25,source_r2,0.013457055476375676
protein,26,abundance,0.018614801977020368
protein,26,prevalence,0.24699916554335966
protein,26,distance,0.2091358024691358
protein,26,dispersion,0.3132832080200501
