pilot_n,pilot_source,strength,eval_n,true_omega2,power,eval_mode
7,real,0.0,7,0.0,0.03,exchangeable_null
7,real,0.0,10,0.0,0.03,exchangeable_null
7,real,0.0,17,0.0,0.05,exchangeable_null
7,real,0.0,30,0.0,0.01,exchangeable_null
7,real,0.0,50,0.0,0.02,exchangeable_null
7,real,0.0,80,0.0,0.03,exchangeable_null
7,real,0.1064,7,0.0041045086637189,0.07,labeled_bootstrap
7,real,0.1064,10,0.0041045086637189,0.06,labeled_bootstrap
7,real,0.1064,17,0.0041045086637189,0.05,labeled_bootstrap
7,real,0.1064,30,0.0041045086637189,0.11,labeled_bootstrap
7,real,0.1064,50,0.0041045086637189,0.27,labeled_bootstrap
7,real,0.1064,80,0.0041045086637189,0.47,labeled_bootstrap
7,real,0.1539,7,0.0105183050264886,0.11,labeled_bootstrap
7,real,0.1539,10,0.0105183050264886,0.05,labeled_bootstrap
7,real,0.1539,17,0.0105183050264886,0.11,labeled_bootstrap
7,real,0.1539,30,0.0105183050264886,0.26,labeled_bootstrap
7,real,0.1539,50,0.0105183050264886,0.57,labeled_bootstrap
7,real,0.1539,80,0.0105183050264886,0.92,labeled_bootstrap
7,real,0.164,7,0.0102474241077158,0.06,labeled_bootstrap
7,real,0.164,10,0.0102474241077158,0.11,labeled_bootstrap
7,real,0.164,17,0.0102474241077158,0.27,labeled_bootstrap
7,real,0.164,30,0.0102474241077158,0.37,labeled_bootstrap
7,real,0.164,50,0.0102474241077158,0.52,labeled_bootstrap
7,real,0.164,80,0.0102474241077158,0.9,labeled_bootstrap
7,real,0.1744,7,0.0107119030492491,0.11,labeled_bootstrap
7,real,0.1744,10,0.0107119030492491,0.13,labeled_bootstrap
7,real,0.1744,17,0.0107119030492491,0.15,labeled_bootstrap
7,real,0.1744,30,0.0107119030492491,0.31,labeled_bootstrap
7,real,0.1744,50,0.0107119030492491,0.57,labeled_bootstrap
7,real,0.1744,80,0.0107119030492491,0.9,labeled_bootstrap
7,real,0.1846,7,0.0122818051294932,0.04,labeled_bootstrap
7,real,0.1846,10,0.0122818051294932,0.19,labeled_bootstrap
7,real,0.1846,17,0.0122818051294932,0.24,labeled_bootstrap
7,real,0.1846,30,0.0122818051294932,0.43,labeled_bootstrap
7,real,0.1846,50,0.0122818051294932,0.71,labeled_bootstrap
7,real,0.1846,80,0.0122818051294932,0.95,labeled_bootstrap
7,real,0.1996,7,0.0150922400453983,0.09,labeled_bootstrap
7,real,0.1996,10,0.0150922400453983,0.1,labeled_bootstrap
7,real,0.1996,17,0.0150922400453983,0.23,labeled_bootstrap
7,real,0.1996,30,0.0150922400453983,0.43,labeled_bootstrap
7,real,0.1996,50,0.0150922400453983,0.76,labeled_bootstrap
7,real,0.1996,80,0.0150922400453983,0.97,labeled_bootstrap
7,real,0.2103,7,0.0183201235699856,0.11,labeled_bootstrap
7,real,0.2103,10,0.0183201235699856,0.17,labeled_bootstrap
7,real,0.2103,17,0.0183201235699856,0.33,labeled_bootstrap
7,real,0.2103,30,0.0183201235699856,0.61,labeled_bootstrap
7,real,0.2103,50,0.0183201235699856,0.82,labeled_bootstrap
7,real,0.2103,80,0.0183201235699856,0.99,labeled_bootstrap
7,real,0.222,7,0.0200722498201924,0.14,labeled_bootstrap
7,real,0.222,10,0.0200722498201924,0.22,labeled_bootstrap
7,real,0.222,17,0.0200722498201924,0.3,labeled_bootstrap
7,real,0.222,30,0.0200722498201924,0.57,labeled_bootstrap
7,real,0.222,50,0.0200722498201924,0.89,labeled_bootstrap
7,real,0.222,80,0.0200722498201924,1.0,labeled_bootstrap
7,real,0.2381,7,0.0190171316168855,0.1,labeled_bootstrap
7,real,0.2381,10,0.0190171316168855,0.18,labeled_bootstrap
7,real,0.2381,17,0.0190171316168855,0.24,labeled_bootstrap
7,real,0.2381,30,0.0190171316168855,0.57,labeled_bootstrap
7,real,0.2381,50,0.0190171316168855,0.86,labeled_bootstrap
7,real,0.2381,80,0.0190171316168855,1.0,labeled_bootstrap
7,real,0.2978,7,0.0293032051604382,0.23,labeled_bootstrap
7,real,0.2978,10,0.0293032051604382,0.25,labeled_bootstrap
7,real,0.2978,17,0.0293032051604382,0.49,labeled_bootstrap
7,real,0.2978,30,0.0293032051604382,0.82,labeled_bootstrap
7,real,0.2978,50,0.0293032051604382,1.0,labeled_bootstrap
7,real,0.2978,80,0.0293032051604382,1.0,labeled_bootstrap
7,real,0.3158,7,0.0363915858204063,0.26,labeled_bootstrap
7,real,0.3158,10,0.0363915858204063,0.29,labeled_bootstrap
7,real,0.3158,17,0.0363915858204063,0.61,labeled_bootstrap
7,real,0.3158,30,0.0363915858204063,0.91,labeled_bootstrap
7,real,0.3158,50,0.0363915858204063,1.0,labeled_bootstrap
7,real,0.3158,80,0.0363915858204063,1.0,labeled_bootstrap
7,real,0.3316,7,0.0357225603556084,0.2,labeled_bootstrap
7,real,0.3316,10,0.0357225603556084,0.31,labeled_bootstrap
7,real,0.3316,17,0.0357225603556084,0.62,labeled_bootstrap
7,real,0.3316,30,0.0357225603556084,0.92,labeled_bootstrap
7,real,0.3316,50,0.0357225603556084,1.0,labeled_bootstrap
7,real,0.3316,80,0.0357225603556084,1.0,labeled_bootstrap
7,real,0.3474,7,0.0398038484830536,0.24,labeled_bootstrap
7,real,0.3474,10,0.0398038484830536,0.35,labeled_bootstrap
7,real,0.3474,17,0.0398038484830536,0.71,labeled_bootstrap
7,real,0.3474,30,0.0398038484830536,0.89,labeled_bootstrap
7,real,0.3474,50,0.0398038484830536,1.0,labeled_bootstrap
7,real,0.3474,80,0.0398038484830536,1.0,labeled_bootstrap
7,real,0.3806,7,0.0427861644954979,0.27,labeled_bootstrap
7,real,0.3806,10,0.0427861644954979,0.48,labeled_bootstrap
7,real,0.3806,17,0.0427861644954979,0.69,labeled_bootstrap
7,real,0.3806,30,0.0427861644954979,0.97,labeled_bootstrap
7,real,0.3806,50,0.0427861644954979,1.0,labeled_bootstrap
7,real,0.3806,80,0.0427861644954979,1.0,labeled_bootstrap
7,real,0.4227,7,0.0577072322221492,0.36,labeled_bootstrap
7,real,0.4227,10,0.0577072322221492,0.49,labeled_bootstrap
7,real,0.4227,17,0.0577072322221492,0.84,labeled_bootstrap
7,real,0.4227,30,0.0577072322221492,0.99,labeled_bootstrap
7,real,0.4227,50,0.0577072322221492,1.0,labeled_bootstrap
7,real,0.4227,80,0.0577072322221492,1.0,labeled_bootstrap
7,real,0.4719,7,0.065847465663821,0.46,labeled_bootstrap
7,real,0.4719,10,0.065847465663821,0.56,labeled_bootstrap
7,real,0.4719,17,0.065847465663821,0.91,labeled_bootstrap
7,real,0.4719,30,0.065847465663821,1.0,labeled_bootstrap
7,real,0.4719,50,0.065847465663821,1.0,labeled_bootstrap
7,real,0.4719,80,0.065847465663821,1.0,labeled_bootstrap
7,real,0.4998,7,0.068897269409483,0.47,labeled_bootstrap
7,real,0.4998,10,0.068897269409483,0.62,labeled_bootstrap
7,real,0.4998,17,0.068897269409483,0.96,labeled_bootstrap
7,real,0.4998,30,0.068897269409483,0.99,labeled_bootstrap
7,real,0.4998,50,0.068897269409483,1.0,labeled_bootstrap
7,real,0.4998,80,0.068897269409483,1.0,labeled_bootstrap
7,real,0.5875,7,0.0977384646396428,0.61,labeled_bootstrap
7,real,0.5875,10,0.0977384646396428,0.86,labeled_bootstrap
7,real,0.5875,17,0.0977384646396428,0.96,labeled_bootstrap
7,real,0.5875,30,0.0977384646396428,1.0,labeled_bootstrap
7,real,0.5875,50,0.0977384646396428,1.0,labeled_bootstrap
7,real,0.5875,80,0.0977384646396428,1.0,labeled_bootstrap
7,real,0.6196,7,0.1007996330923232,0.61,labeled_bootstrap
7,real,0.6196,10,0.1007996330923232,0.78,labeled_bootstrap
7,real,0.6196,17,0.1007996330923232,1.0,labeled_bootstrap
7,real,0.6196,30,0.1007996330923232,1.0,labeled_bootstrap
7,real,0.6196,50,0.1007996330923232,1.0,labeled_bootstrap
7,real,0.6196,80,0.1007996330923232,1.0,labeled_bootstrap
7,real,0.6789,7,0.1264752617857722,0.75,labeled_bootstrap
7,real,0.6789,10,0.1264752617857722,0.91,labeled_bootstrap
