modality,kind,distance
protein,within_real,1.2412695384462944
protein,within_real,1.860040372963395
protein,within_real,1.731034145213463
protein,within_real,1.2940392855035945
protein,within_real,1.7680672090213516
protein,within_real,1.7659066943455253
protein,within_real,1.6973810089918577
protein,within_real,1.0527497705277835
protein,within_real,1.7872658093773452
protein,within_real,1.1795992463415985
protein,within_real,1.5169700819888776
protein,within_real,1.1858447766375966
protein,within_real,1.2634207614784285
protein,within_real,1.1493868956927773
protein,within_real,1.1758359991459686
protein,within_real,1.5632648378870384
protein,within_real,1.156209821545914
protein,within_real,1.040837594162469
protein,within_real,1.2608172301988687
protein,within_real,1.1160878853149512
protein,within_real,1.1127403219025638
protein,within_real,1.1994455864005962
protein,within_real,1.2768608788758868
protein,within_real,1.0957672921350208
protein,within_real,1.1417118559491937
protein,within_real,1.0801568724782273
protein,within_real,1.2330676810750383
protein,within_real,1.2530215283015704
protein,within_real,1.2371317780492603
protein,within_real,1.1579280422329665
protein,within_real,1.1885853491237528
protein,within_real,1.0433180300836749
protein,within_real,1.1524959698728858
protein,within_real,1.2705720407608763
protein,within_real,0.8935059616646158
protein,within_real,1.013474748461231
protein,within_real,1.292134590412259
protein,within_real,1.3422259005970896
protein,within_real,1.1422435920687786
protein,within_real,1.1518781945054724
protein,within_real,1.1994388839540624
protein,within_real,1.1807697431548014
protein,within_real,1.1175020393224502
protein,within_real,0.9535027225593444
protein,within_real,1.0507437801495472
protein,within_real,1.2540928219613736
protein,within_real,0.9018303064436023
protein,within_real,1.0662943050090388
protein,within_real,0.9431969256597432
protein,within_real,0.9299457497048056
protein,within_real,1.1950451960058253
protein,within_real,1.234542039319868
protein,within_real,1.337550830540957
protein,within_real,1.1819905423685653
protein,within_real,1.4269836814417323
protein,within_real,0.9534825979825211
protein,within_real,1.3684425435246423
protein,within_real,1.8314619584671434
protein,within_real,1.6807261611638782
protein,within_real,0.39510136038325905
protein,within_real,1.7501619046453114
protein,within_real,1.7490553247413867
protein,within_real,1.6482928910153827
protein,within_real,0.4255305063334691
protein,within_real,1.7657078833818587
protein,within_real,1.0213441682972184
protein,within_real,1.4770272946018297
protein,within_real,0.5928467847490086
protein,within_real,0.9592176560226603
protein,within_real,0.6742731692160695
protein,within_real,0.33967949983724716
protein,within_real,1.5413515656154635
protein,within_real,1.1285138757927105
protein,within_real,1.339105444680428
protein,within_real,0.8393330495687987
protein,within_real,0.9024232364855799
protein,within_real,1.1000513101475398
protein,within_real,0.8632233838367839
protein,within_real,0.9645898297545958
protein,within_real,0.7862562710033748
protein,within_real,0.919126695212605
protein,within_real,1.1360944210453356
protein,within_real,1.132562193157621
protein,within_real,0.948282699772909
protein,within_real,1.1033767972688449
protein,within_real,1.165126994896515
protein,within_real,0.974901892204019
protein,within_real,1.1192487603797825
protein,within_real,0.9015453860791958
protein,within_real,1.1394721860410422
protein,within_real,1.1686500909170372
protein,within_real,1.2325667123121486
protein,within_real,1.159238503385456
protein,within_real,1.8455656383287995
