pilot_n,strength,eval_n,true_omega2,power
7,0.0,10,0.0006598499495618426,0.025
7,0.0,17,0.0006598499495618426,0.025
7,0.0,30,0.0006598499495618426,0.075
7,0.0,50,0.0006598499495618426,0.075
7,0.0,80,0.0006598499495618426,0.125
7,0.1,10,0.002746646646205436,0.075
7,0.1,17,0.002746646646205436,0.1
7,0.1,30,0.002746646646205436,0.1
7,0.1,50,0.002746646646205436,0.075
7,0.1,80,0.002746646646205436,0.15
7,0.2,10,0.003977798454653494,0.075
7,0.2,17,0.003977798454653494,0.1
7,0.2,30,0.003977798454653494,0.125
7,0.2,50,0.003977798454653494,0.175
7,0.2,80,0.003977798454653494,0.325
7,0.3,10,0.00720214098620474,0.1
7,0.3,17,0.00720214098620474,0.1
7,0.3,30,0.00720214098620474,0.075
7,0.3,50,0.00720214098620474,0.325
7,0.3,80,0.00720214098620474,0.375
7,0.4,10,0.015694498327372335,0.175
7,0.4,17,0.015694498327372335,0.225
7,0.4,30,0.015694498327372335,0.35
7,0.4,50,0.015694498327372335,0.5
7,0.4,80,0.015694498327372335,0.675
7,0.5,10,0.029245126616107443,0.15
7,0.5,17,0.029245126616107443,0.275
7,0.5,30,0.029245126616107443,0.5
7,0.5,50,0.029245126616107443,0.775
7,0.5,80,0.029245126616107443,0.95
7,0.6,10,0.03367870401473635,0.2
7,0.6,17,0.03367870401473635,0.425
7,0.6,30,0.03367870401473635,0.725
7,0.6,50,0.03367870401473635,0.975
7,0.6,80,0.03367870401473635,1.0
7,0.7,10,0.06500869189225018,0.475
7,0.7,17,0.06500869189225018,0.675
7,0.7,30,0.06500869189225018,0.825
7,0.7,50,0.06500869189225018,1.0
7,0.7,80,0.06500869189225018,1.0
7,0.8,10,0.043163630459209956,0.275
7,0.8,17,0.043163630459209956,0.525
7,0.8,30,0.043163630459209956,0.75
7,0.8,50,0.043163630459209956,0.925
7,0.8,80,0.043163630459209956,1.0
7,0.9,10,0.09495722868374151,0.625
7,0.9,17,0.09495722868374151,0.925
7,0.9,30,0.09495722868374151,0.975
7,0.9,50,0.09495722868374151,1.0
7,0.9,80,0.09495722868374151,1.0
7,1.0,10,0.11909740866799579,0.725
7,1.0,17,0.11909740866799579,0.975
7,1.0,30,0.11909740866799579,1.0
7,1.0,50,0.11909740866799579,1.0
7,1.0,80,0.11909740866799579,1.0
10,0.0,10,0.0,0.075
10,0.0,17,0.0,0.025
10,0.0,30,0.0,0.025
10,0.0,50,0.0,0.1
10,0.0,80,0.0,0.05
10,0.1,10,0.0006166394107646531,0.075
10,0.1,17,0.0006166394107646531,0.125
10,0.1,30,0.0006166394107646531,0.025
10,0.1,50,0.0006166394107646531,0.075
10,0.1,80,0.0006166394107646531,0.125
10,0.2,10,0.0018351798410033903,0.075
10,0.2,17,0.0018351798410033903,0.15
10,0.2,30,0.0018351798410033903,0.1
10,0.2,50,0.0018351798410033903,0.1
10,0.2,80,0.0018351798410033903,0.125
10,0.3,10,0.007222468571361026,0.125
10,0.3,17,0.007222468571361026,0.2
10,0.3,30,0.007222468571361026,0.225
10,0.3,50,0.007222468571361026,0.35
10,0.3,80,0.007222468571361026,0.775
10,0.4,10,0.010571453432030736,0.1
10,0.4,17,0.010571453432030736,0.175
10,0.4,30,0.010571453432030736,0.3
10,0.4,50,0.010571453432030736,0.6
10,0.4,80,0.010571453432030736,0.825
10,0.5,10,0.02661938800303734,0.225
10,0.5,17,0.02661938800303734,0.5
10,0.5,30,0.02661938800303734,0.75
10,0.5,50,0.02661938800303734,0.975
10,0.5,80,0.02661938800303734,1.0
10,0.6,10,0.03110894825658311,0.2
10,0.6,17,0.03110894825658311,0.425
10,0.6,30,0.03110894825658311,0.85
10,0.6,50,0.03110894825658311,1.0
10,0.6,80,0.03110894825658311,1.0
10,0.7,10,0.04288936127605987,0.325
10,0.7,17,0.04288936127605987,0.7
10,0.7,30,0.04288936127605987,0.925
10,0.7,50,0.04288936127605987,1.0
10,0.7,80,0.04288936127605987,1.0
