modality,panel,pilot,eval_n,true_omega2,power
protein,a,7,17,0.0,0.056
protein,a,7,17,0.010809642768565775,0.152
protein,a,7,17,0.03194356739735538,0.3
protein,a,7,17,0.06312332008182177,0.58
protein,a,7,17,0.10754669832096103,0.844
protein,a,7,17,0.16389835097921118,0.972
protein,a,7,17,0.2276260173519469,0.992
protein,a,7,17,0.28491004810472575,1.0
protein,a,7,17,0.3168984241109067,1.0
protein,a,7,17,0.5087875854604925,1.0
protein,a,7,17,0.6634765888702246,1.0
protein,a,7,17,0.6158290913747891,1.0
protein,a,10,17,0.0017258532311322295,0.06
protein,a,10,17,0.0011711878604641673,0.068
protein,a,10,17,0.019718637667282535,0.244
protein,a,10,17,0.05071686385398562,0.584
protein,a,10,17,0.10284361917377724,0.924
protein,a,10,17,0.1289685092370954,0.964
protein,a,10,17,0.16551529353149796,1.0
protein,a,10,17,0.1868113572505781,1.0
protein,a,10,17,0.22488086353753678,1.0
protein,a,10,17,0.3517023108478355,1.0
protein,a,10,17,0.36612600406681445,1.0
protein,a,10,17,0.3426365581685931,1.0
protein,a,19,17,0.0,0.06
protein,a,19,17,0.009899466296203172,0.156
protein,a,19,17,0.029101001454461945,0.336
protein,a,19,17,0.05939089835311906,0.532
protein,a,19,17,0.0982109702454674,0.764
protein,a,19,17,0.1346532626276961,0.952
protein,a,19,17,0.16956720004180706,0.996
protein,a,19,17,0.21209951222628462,1.0
protein,a,19,17,0.22352471323104187,1.0
protein,a,19,17,0.3739016851604979,1.0
protein,a,19,17,0.5322825110618172,1.0
protein,a,19,17,0.5921581181102825,1.0
protein,b,19,10,0.0008284750519537669,0.072
protein,b,19,10,0.018457205347634613,0.132
protein,b,19,10,0.028313224309804395,0.216
protein,b,19,10,0.055885673753219824,0.424
protein,b,19,10,0.08324197516000284,0.56
protein,b,19,10,0.14347006304810772,0.816
protein,b,19,10,0.17216921325078632,0.904
protein,b,19,10,0.2000717367923356,0.952
protein,b,19,10,0.22859565468932871,1.0
protein,b,19,10,0.3813503759506829,1.0
protein,b,19,10,0.5398597934423457,1.0
protein,b,19,10,0.5984554886352145,1.0
protein,b,19,17,0.0008284750519537669,0.068
protein,b,19,17,0.018457205347634613,0.284
protein,b,19,17,0.028313224309804395,0.348
protein,b,19,17,0.055885673753219824,0.604
protein,b,19,17,0.08324197516000284,0.832
protein,b,19,17,0.14347006304810772,0.98
protein,b,19,17,0.17216921325078632,0.992
protein,b,19,17,0.2000717367923356,1.0
protein,b,19,17,0.22859565468932871,1.0
protein,b,19,17,0.3813503759506829,1.0
protein,b,19,17,0.5398597934423457,1.0
protein,b,19,17,0.5984554886352145,1.0
protein,b,19,30,0.0008284750519537669,0.072
protein,b,19,30,0.018457205347634613,0.396
protein,b,19,30,0.028313224309804395,0.576
protein,b,19,30,0.055885673753219824,0.856
protein,b,19,30,0.08324197516000284,0.964
protein,b,19,30,0.14347006304810772,1.0
protein,b,19,30,0.17216921325078632,1.0
protein,b,19,30,0.2000717367923356,1.0
protein,b,19,30,0.22859565468932871,1.0
protein,b,19,30,0.3813503759506829,1.0
protein,b,19,30,0.5398597934423457,1.0
protein,b,19,30,0.5984554886352145,1.0
protein,b,19,50,0.0008284750519537669,0.132
protein,b,19,50,0.018457205347634613,0.568
protein,b,19,50,0.028313224309804395,0.744
protein,b,19,50,0.055885673753219824,0.964
protein,b,19,50,0.08324197516000284,0.992
protein,b,19,50,0.14347006304810772,1.0
protein,b,19,50,0.17216921325078632,1.0
protein,b,19,50,0.2000717367923356,1.0
