method,pilot_n,pi,scale,eval_n,true_omega2,power
pcam,7,0.5,1.0,17,0.0031456441032127864,0.075
pcam,7,0.62,1.0,17,0.015654529948988354,0.125
pcam,7,0.74,1.0,17,0.08361664036387985,0.625
pcam,7,0.86,1.0,17,0.16078790188764458,0.9375
pcam,7,0.94,1.0,17,0.27900080012975154,1.0
pcam,7,1.0,1.0,17,0.32964182569324463,1.0
pcam,7,1.0,1.25,17,0.4692796184719473,1.0
pcam,7,1.0,1.55,17,0.66929154275011,1.0
pcam,7,1.0,1.9,17,0.7612284418530282,1.0
edge_shrink,7,0.5,1.0,17,0.0,0.075
edge_shrink,7,0.62,1.0,17,0.02859642710327647,0.25
edge_shrink,7,0.74,1.0,17,0.0658939695506682,0.5375
edge_shrink,7,0.86,1.0,17,0.19449803303255855,0.975
edge_shrink,7,0.94,1.0,17,0.23456280774755298,1.0
edge_shrink,7,1.0,1.0,17,0.3344977173209418,1.0
edge_shrink,7,1.0,1.25,17,0.37939470678272524,1.0
edge_shrink,7,1.0,1.55,17,0.44527581372892067,1.0
edge_shrink,7,1.0,1.9,17,0.5121240477628088,1.0
pcam,10,0.5,1.0,17,0.0,0.025
pcam,10,0.62,1.0,17,0.03832626749681549,0.3
pcam,10,0.74,1.0,17,0.061314278357932094,0.6125
pcam,10,0.86,1.0,17,0.08676510046375258,0.8625
pcam,10,0.94,1.0,17,0.1453665990823365,0.975
pcam,10,1.0,1.0,17,0.22281667352533793,1.0
pcam,10,1.0,1.25,17,0.3163831625570134,1.0
pcam,10,1.0,1.55,17,0.4842083477454347,1.0
pcam,10,1.0,1.9,17,0.4879353587783549,1.0
edge_shrink,10,0.5,1.0,17,0.0,0.1
edge_shrink,10,0.62,1.0,17,0.008433943539874353,0.1375
edge_shrink,10,0.74,1.0,17,0.07858023298717272,0.6125
edge_shrink,10,0.86,1.0,17,0.13194090897576485,0.9625
edge_shrink,10,0.94,1.0,17,0.203381891854131,1.0
edge_shrink,10,1.0,1.0,17,0.20456510736706532,1.0
edge_shrink,10,1.0,1.25,17,0.26106026614163574,1.0
edge_shrink,10,1.0,1.55,17,0.33837988483591636,1.0
edge_shrink,10,1.0,1.9,17,0.4078506721160877,1.0
pcam,19,0.5,1.0,17,0.00202398528033126,0.05
pcam,19,0.62,1.0,17,0.024956555711809367,0.2125
pcam,19,0.74,1.0,17,0.022830071966177486,0.3
pcam,19,0.86,1.0,17,0.10730612041681072,0.875
pcam,19,0.94,1.0,17,0.20455881291697905,1.0
pcam,19,1.0,1.0,17,0.23880571016512117,1.0
pcam,19,1.0,1.25,17,0.37926302477358587,1.0
pcam,19,1.0,1.55,17,0.4657801164367244,1.0
pcam,19,1.0,1.9,17,0.5937128781675889,1.0
edge_shrink,19,0.5,1.0,17,0.0011639914742328785,0.0625
edge_shrink,19,0.62,1.0,17,0.005136656845681695,0.1
edge_shrink,19,0.74,1.0,17,0.03787939368222033,0.3625
edge_shrink,19,0.86,1.0,17,0.1149478680734558,0.8375
edge_shrink,19,0.94,1.0,17,0.15004035134859095,0.9625
edge_shrink,19,1.0,1.0,17,0.1720769815388111,1.0
edge_shrink,19,1.0,1.25,17,0.28350665045606593,1.0
edge_shrink,19,1.0,1.55,17,0.3729452622910758,1.0
edge_shrink,19,1.0,1.9,17,0.4573354155196049,1.0
