method,pilot_n,pi,scale,eval_n,true_omega2,power
fixed_presence,7,0.62,1.0,17,0.01190448330100517,0.16666666666666666
fixed_presence,7,0.62,1.05,17,0.009668867773828667,0.05
fixed_presence,7,0.62,1.1,17,0.03355856242254992,0.35
fixed_presence,7,0.62,1.15,17,0.0566388312141294,0.38333333333333336
fixed_presence,7,0.62,1.2,17,0.09459218225764741,0.8833333333333333
fixed_presence,7,0.62,1.25,17,0.11550967871492201,0.9
fixed_presence,7,0.62,1.3,17,0.1537075460648548,1.0
mild_edge_shrink,7,0.62,1.0,17,0.01190448330100517,0.18333333333333332
mild_edge_shrink,7,0.62,1.05,17,0.007368536272723557,0.016666666666666666
mild_edge_shrink,7,0.62,1.1,17,0.025948985917681994,0.21666666666666667
mild_edge_shrink,7,0.62,1.15,17,0.04183267892589953,0.2833333333333333
mild_edge_shrink,7,0.62,1.2,17,0.07233417066016638,0.75
mild_edge_shrink,7,0.62,1.25,17,0.08978316683047569,0.7166666666666667
mild_edge_shrink,7,0.62,1.3,17,0.12372061084893486,0.9333333333333333
fixed_presence,10,0.62,1.0,17,0.005449312353126175,0.06666666666666667
fixed_presence,10,0.62,1.05,17,0.02992661779061896,0.25
fixed_presence,10,0.62,1.1,17,0.02521958858782862,0.3333333333333333
fixed_presence,10,0.62,1.15,17,0.03351754963701491,0.25
fixed_presence,10,0.62,1.2,17,0.07219955699390478,0.6333333333333333
fixed_presence,10,0.62,1.25,17,0.06385692710105034,0.6333333333333333
fixed_presence,10,0.62,1.3,17,0.08232610839393323,0.7833333333333333
mild_edge_shrink,10,0.62,1.0,17,0.005449312353126175,0.1
mild_edge_shrink,10,0.62,1.05,17,0.02700658402547434,0.23333333333333334
mild_edge_shrink,10,0.62,1.1,17,0.019817356992845845,0.25
mild_edge_shrink,10,0.62,1.15,17,0.02494341309325791,0.16666666666666666
mild_edge_shrink,10,0.62,1.2,17,0.057013163628554214,0.5666666666666667
mild_edge_shrink,10,0.62,1.25,17,0.04741062851942705,0.4666666666666667
mild_edge_shrink,10,0.62,1.3,17,0.06171041559465371,0.55
fixed_presence,19,0.62,1.0,17,0.01373129532188331,0.13333333333333333
fixed_presence,19,0.62,1.05,17,0.006451636591356263,0.06666666666666667
fixed_presence,19,0.62,1.1,17,0.029982713455603695,0.36666666666666664
fixed_presence,19,0.62,1.15,17,0.039424301561305934,0.25
fixed_presence,19,0.62,1.2,17,0.06556699261313571,0.7833333333333333
fixed_presence,19,0.62,1.25,17,0.08172944370932257,0.85
fixed_presence,19,0.62,1.3,17,0.1082178706259954,0.9833333333333333
mild_edge_shrink,19,0.62,1.0,17,0.01373129532188331,0.11666666666666667
mild_edge_shrink,19,0.62,1.05,17,0.005081906808475651,0.05
mild_edge_shrink,19,0.62,1.1,17,0.02421469758856146,0.31666666666666665
mild_edge_shrink,19,0.62,1.15,17,0.030385589707580568,0.13333333333333333
mild_edge_shrink,19,0.62,1.2,17,0.051332470777641026,0.65
mild_edge_shrink,19,0.62,1.25,17,0.06178884774830301,0.6833333333333333
mild_edge_shrink,19,0.62,1.3,17,0.0852317633410769,0.9333333333333333
