curve,strength,eval_n,true_omega2,power,mode,structure_lambda
gold17,0.0,17,0.0,0.15,raw,
gold17,0.15,17,0.0,0.1,raw,
gold17,0.3,17,0.010656605905624283,0.15,raw,
gold17,0.45,17,0.023497537410838175,0.475,raw,
gold17,0.6,17,0.031942680429249866,0.5,raw,
gold17,0.75,17,0.04737956983929732,0.775,raw,
gold17,0.9,17,0.06913874717423693,1.0,raw,
gold17,1.0,17,0.08351922001597191,1.0,raw,
pilot7_raw,0.0,17,0.0,0.125,raw,
pilot7_raw,0.15,17,0.0017485716100269358,0.1,raw,
pilot7_raw,0.3,17,0.0014694372963716983,0.175,raw,
pilot7_raw,0.45,17,0.014364500881672697,0.325,raw,
pilot7_raw,0.6,17,0.032185914821628456,0.475,raw,
pilot7_raw,0.75,17,0.04428731305096492,0.725,raw,
pilot7_raw,0.9,17,0.07167039863125635,0.975,raw,
pilot7_raw,1.0,17,0.09361082119275178,0.975,raw,
pilot7_pooled_structure,0.0,17,0.0013888434458565319,0.075,pooled,
pilot7_pooled_structure,0.15,17,0.0,0.05,pooled,
pilot7_pooled_structure,0.3,17,0.0015672495162672082,0.1,pooled,
pilot7_pooled_structure,0.45,17,0.0024708865126701184,0.075,pooled,
pilot7_pooled_structure,0.6,17,0.006760182472596416,0.075,pooled,
pilot7_pooled_structure,0.75,17,0.01165345701245476,0.125,pooled,
pilot7_pooled_structure,0.9,17,0.018219438977168205,0.325,pooled,
pilot7_pooled_structure,1.0,17,0.01680119751940523,0.25,pooled,
pilot7_adaptive,0.0,17,0.0,0.05,adaptive,0.6690788441804199
pilot7_adaptive,0.15,17,0.0,0.1,adaptive,0.6690788441804199
pilot7_adaptive,0.3,17,0.003600293355243388,0.1,adaptive,0.6690788441804199
pilot7_adaptive,0.45,17,0.007565401760959384,0.1,adaptive,0.6690788441804199
pilot7_adaptive,0.6,17,0.012284807745829556,0.275,adaptive,0.6690788441804199
pilot7_adaptive,0.75,17,0.022050914732487346,0.325,adaptive,0.6690788441804199
pilot7_adaptive,0.9,17,0.03341275090821152,0.55,adaptive,0.6690788441804199
pilot7_adaptive,1.0,17,0.03532748047325543,0.6,adaptive,0.6690788441804199
