method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction
mdc_tf_lite,7,0.0,17,0.0,0.07,0.25
mdc_tf_lite,7,0.1,17,0.0,0.06,0.25
mdc_tf_lite,7,0.2,17,0.003910328344371149,0.11,0.25
mdc_tf_lite,7,0.3,17,0.003274140041873138,0.04,0.25
mdc_tf_lite,7,0.4,17,0.010959861513183863,0.21,0.25
mdc_tf_lite,7,0.5,17,0.016861264186218323,0.23,0.25
mdc_tf_lite,7,0.6,17,0.01931058480655907,0.31,0.25
mdc_tf_lite,7,0.7,17,0.04097464081775676,0.64,0.25
mdc_tf_lite,7,0.8,17,0.05251574752192275,0.79,0.25
mdc_tf_lite,7,0.9,17,0.07586432331610955,0.97,0.25
mdc_tf_lite,7,1.0,17,0.08721226636206504,0.99,0.25
mdc_tf_lite,10,0.0,17,0.0,0.04,0.25
mdc_tf_lite,10,0.1,17,0.0019114681168878134,0.07,0.25
mdc_tf_lite,10,0.2,17,0.0023271646408410855,0.09,0.25
mdc_tf_lite,10,0.3,17,0.01381936763091,0.25,0.25
mdc_tf_lite,10,0.4,17,0.021233235575662503,0.32,0.25
mdc_tf_lite,10,0.5,17,0.025667529862714988,0.39,0.25
mdc_tf_lite,10,0.6,17,0.04521563528380107,0.83,0.25
mdc_tf_lite,10,0.7,17,0.056653190564252595,0.87,0.25
mdc_tf_lite,10,0.8,17,0.07652815914914876,0.98,0.25
mdc_tf_lite,10,0.9,17,0.1045453575711537,1.0,0.25
mdc_tf_lite,10,1.0,17,0.13043458820935974,1.0,0.25
mdc_tf_lite,19,0.0,17,0.00032734817550030454,0.1,0.25
mdc_tf_lite,19,0.1,17,0.0,0.09,0.25
mdc_tf_lite,19,0.2,17,0.003516780058893094,0.1,0.25
mdc_tf_lite,19,0.3,17,0.006741516655666146,0.1,0.25
mdc_tf_lite,19,0.4,17,0.014801789857655704,0.18,0.25
mdc_tf_lite,19,0.5,17,0.022462344240784485,0.48,0.25
mdc_tf_lite,19,0.6,17,0.029617783759332134,0.65,0.25
mdc_tf_lite,19,0.7,17,0.05121383276791144,0.89,0.25
mdc_tf_lite,19,0.8,17,0.052567155201881495,0.79,0.25
mdc_tf_lite,19,0.9,17,0.06823571677426314,0.97,0.25
mdc_tf_lite,19,1.0,17,0.07832371019327022,0.99,0.25
