method,pilot_n,strength,eval_n,true_omega2,power,edge_fraction,eval_mode
mdc_tf_optimized,7,0.0,17,0.0,0.04,0.25,exchangeable_null
mdc_tf_optimized,7,0.2465,17,0.0029392615153097284,0.1,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.306,17,0.005983423235175206,0.16,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.3643,17,0.009965999230730393,0.16,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.4144,17,0.008525308882827634,0.07,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7168,17,0.045538699467509734,0.69,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7332,17,0.045713925221968536,0.75,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7496,17,0.05051430121594498,0.78,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.766,17,0.05216605751404586,0.83,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.7824,17,0.04176651404310394,0.73,0.25,labeled_bootstrap
mdc_tf_optimized,7,0.8809,17,0.06880430456211976,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,7,1.0,17,0.08415190237812474,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.0,17,0.0,0.04,0.25,exchangeable_null
mdc_tf_optimized,10,0.2926,17,0.012876190748467714,0.22,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.4686,17,0.032492757280828385,0.46,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.5589,17,0.03157323697765101,0.52,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.6457,17,0.05812011309066935,0.9,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.6729,17,0.056476290884227565,0.87,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7,17,0.06620401376959235,0.93,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7479,17,0.07576210863985412,0.96,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.7953,17,0.07794141871450586,0.98,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8159,17,0.0757796947202927,0.97,0.25,labeled_bootstrap
mdc_tf_optimized,10,0.8365,17,0.09958290382543641,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,10,1.0,17,0.12791470577861536,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.0,17,0.0,0.02,0.25,exchangeable_null
mdc_tf_optimized,17,0.0854,17,0.004572807270631806,0.08,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.4518,17,0.02686263742676201,0.49,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.5764,17,0.023732577226366278,0.44,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.5912,17,0.02850803141132807,0.5,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.6061,17,0.04081056408734987,0.75,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.621,17,0.03995435296798921,0.73,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.6359,17,0.03382794847240837,0.56,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.8173,17,0.07164785838636563,0.99,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.9375,17,0.083495109397781,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,17,0.9687,17,0.08529983098425796,1.0,0.25,labeled_bootstrap
mdc_tf_optimized,17,1.0,17,0.08895082409669051,1.0,0.25,labeled_bootstrap
