method,pilot_n,strength,eval_n,true_omega2,power
taf_dc,7,0.0,17,0.021881495124913556,0.62
taf_dc,7,0.35,17,0.040710920896387455,0.6
taf_dc,7,0.7,17,0.030570690750511786,0.68
taf_dc,7,1.0,17,0.053939502573818,0.92
taf_dc,7,1.25,17,0.08592373987138269,0.96
taf_dc,7,1.5,17,0.1499946289563861,1.0
taf_dc,7,1.8,17,0.14295202072542212,0.96
taf_dc,10,0.0,17,0.040873258716842165,0.84
taf_dc,10,0.35,17,0.035013761750844044,0.72
taf_dc,10,0.7,17,0.039845481327353424,0.9
taf_dc,10,1.0,17,0.03662291222139486,0.76
taf_dc,10,1.25,17,0.07683769561943342,0.96
taf_dc,10,1.5,17,0.09275564072990662,1.0
taf_dc,10,1.8,17,0.05568148895276944,0.78
taf_dc,19,0.0,17,0.046951290065553236,0.96
taf_dc,19,0.35,17,0.035407196233713585,0.66
taf_dc,19,0.7,17,0.03491398342757876,0.78
taf_dc,19,1.0,17,0.061229177733393904,0.9
taf_dc,19,1.25,17,0.11466382610436078,0.98
taf_dc,19,1.5,17,0.1515974781069162,1.0
taf_dc,19,1.8,17,0.179061079078901,1.0
