method,pilot_n,strength,eval_n,true_omega2,power
taf_dc,7,0.0,17,0.0013960821205869717,0.14
taf_dc,7,0.35,17,0.0,0.18
taf_dc,7,0.7,17,0.04863934961125834,0.82
taf_dc,7,1.0,17,0.03983501522860783,0.68
taf_dc,7,1.25,17,0.00781438145023581,0.3
taf_dc,7,1.5,17,0.0,0.1
taf_dc,7,1.8,17,0.0,0.22
taf_dc,10,0.0,17,0.00013869322755534385,0.06
taf_dc,10,0.35,17,0.022386342448330616,0.52
taf_dc,10,0.7,17,0.02810891614125834,0.48
taf_dc,10,1.0,17,0.018777179586189956,0.4
taf_dc,10,1.25,17,0.02468004783981562,0.56
taf_dc,10,1.5,17,0.03712871785074628,0.66
taf_dc,10,1.8,17,0.0,0.2
taf_dc,19,0.0,17,0.006598318664898781,0.14
taf_dc,19,0.35,17,0.025121319470717194,0.58
taf_dc,19,0.7,17,0.06983921593949279,0.96
taf_dc,19,1.0,17,0.05365855680988758,0.78
taf_dc,19,1.25,17,0.08936788444741411,0.94
taf_dc,19,1.5,17,0.06380634890828242,0.88
taf_dc,19,1.8,17,0.08010290513926956,0.88
