group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance,pilot_n,strength
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.0
CD,synthetic,93.93,49.3,54.34,0.0060292701713845565,7,0.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.0
Control,synthetic,109.64,56.91,60.46,0.007037678926760382,7,0.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.35
CD,synthetic,119.53,73.73,74.02,0.007672507863149111,7,0.35
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.35
Control,synthetic,483.69,217.34,212.57,0.031047564028499904,7,0.35
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,0.7
CD,synthetic,76.05,51.71,52.97,0.0048815713460427495,7,0.7
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,0.7
Control,synthetic,619.1,266.97,256.9,0.03973939277232172,7,0.7
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.0
CD,synthetic,53.31,35.38,35.07,0.0034219141151550165,7,1.0
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.0
Control,synthetic,668.06,278.68,265.15,0.042882084857821426,7,1.0
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.25
CD,synthetic,44.09,29.5,29.3,0.0028300917902304387,7,1.25
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.25
Control,synthetic,784.05,307.35,283.37,0.050327363758906216,7,1.25
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.5
CD,synthetic,49.06,30.58,30.2,0.0031491109827331666,7,1.5
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.5
Control,synthetic,828.08,313.16,284.89,0.05315360421079659,7,1.5
CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482,7,1.8
CD,synthetic,56.71,36.13,34.79,0.0036401566210924963,7,1.8
Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927,7,1.8
Control,synthetic,881.66,324.2,289.81,0.05659284934848193,7,1.8
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.0
CD,synthetic,226.12,104.61,112.43,0.014514410424289107,10,0.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.0
Control,synthetic,248.83,114.12,121.85,0.015972141986006806,10,0.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.35
CD,synthetic,380.43,186.07,184.12,0.02441941074523397,10,0.35
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.35
Control,synthetic,842.92,329.47,312.26,0.05410616856024135,10,0.35
CD,real,786.3,259.9,242.0,0.05047178894665896,10,0.7
CD,synthetic,389.76,193.19,193.01,0.025018293857115348,10,0.7
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,0.7
Control,synthetic,947.89,361.98,338.32,0.06084408498619937,10,0.7
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.0
CD,synthetic,338.96,162.63,160.45,0.021757494062520057,10,1.0
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.0
Control,synthetic,937.69,354.78,331.4,0.06018935746838693,10,1.0
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.25
CD,synthetic,312.99,143.98,141.72,0.02009050645099172,10,1.25
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.25
Control,synthetic,1111.85,396.14,360.08,0.07136850889017267,10,1.25
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.5
CD,synthetic,382.43,168.14,160.55,0.024547788689903077,10,1.5
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.5
Control,synthetic,1056.09,369.59,333.95,0.06778933179279799,10,1.5
CD,real,786.3,259.9,242.0,0.05047178894665896,10,1.8
CD,synthetic,251.73,115.92,112.29,0.016158290005777006,10,1.8
Control,real,1443.4,444.1,389.0,0.09265036266769369,10,1.8
Control,synthetic,1410.93,453.58,392.51,0.09056614673599075,10,1.8
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.0
CD,synthetic,204.63,91.44,97.11,0.013134989408819565,19,0.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.0
Control,synthetic,289.56,125.74,134.32,0.018586558829193144,19,0.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.35
CD,synthetic,272.75,140.58,144.62,0.01750754220424931,19,0.35
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.35
Control,synthetic,1011.33,373.59,344.44,0.06491623339110342,19,0.35
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,0.7
CD,synthetic,258.91,136.66,138.78,0.016619166827139098,19,0.7
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,0.7
Control,synthetic,1115.05,404.03,369.64,0.07157391360164324,19,0.7
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.0
CD,synthetic,199.49,105.49,105.85,0.012805058091019964,19,1.0
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.0
Control,synthetic,1211.76,425.4,380.86,0.07778162911611786,19,1.0
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.25
CD,synthetic,215.88,102.74,99.97,0.013857115347583285,19,1.25
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.25
Control,synthetic,1361.15,450.27,393.03,0.08737081969317671,19,1.25
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.5
CD,synthetic,196.97,93.45,88.95,0.012643301880736889,19,1.5
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.5
Control,synthetic,1520.18,482.83,413.7,0.09757879196354066,19,1.5
CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295,19,1.8
CD,synthetic,265.06,122.93,111.7,0.0170139290069966,19,1.8
Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182,19,1.8
Control,synthetic,1502.92,447.84,377.75,0.09647089030104629,19,1.8
