method,pilot_n,strength,eval_n,true_omega2,power
taf_dc,7,0.0,17,8.511028060427154e-05,0.07
taf_dc,7,0.15,17,0.0038407118397827,0.11
taf_dc,7,0.3,17,0.0207110118834187,0.61
taf_dc,7,0.45,17,0.0338447056659729,0.86
taf_dc,7,0.6,17,0.0417743508336593,0.84
taf_dc,7,0.75,17,0.0453275695612898,0.89
taf_dc,7,0.9,17,0.051837589397,0.98
taf_dc,7,1.0,17,0.0562464859788868,0.98
taf_dc,10,0.0,17,0.0,0.06
taf_dc,10,0.15,17,0.0002313292562163,0.08
taf_dc,10,0.3,17,0.0134010576884842,0.33
taf_dc,10,0.45,17,0.0273003496595883,0.53
taf_dc,10,0.6,17,0.0463830087381225,0.79
taf_dc,19,0.0,17,0.0001424773161705,0.06
taf_dc,19,0.15,17,0.0058734424432432,0.18
taf_dc,19,0.3,17,0.028000017817095,0.61
taf_dc,19,0.45,17,0.0469094649403052,0.87
taf_dc,19,0.6,17,0.0580398009833292,0.97
taf_dc,19,0.75,17,0.0675342688174153,0.98
taf_dc,19,0.9,17,0.0774997676980112,0.96
