method,pilot_n,strength,eval_n,true_omega2,power
taf_dc,7,0.0,17,8.511028060427154e-05,0.07
taf_dc,7,0.15,17,0.0038407118397827174,0.11
taf_dc,7,0.3,17,0.0207110118834187,0.61
taf_dc,7,0.45,17,0.033844705665972974,0.86
taf_dc,7,0.6,17,0.04177435083365939,0.84
taf_dc,7,0.75,17,0.045327569561289825,0.89
taf_dc,7,0.9,17,0.05183758939700002,0.98
taf_dc,7,1.0,17,0.056246485978886825,0.98
taf_dc,10,0.0,17,0.0,0.06
taf_dc,10,0.15,17,0.00023132925621633307,0.08
taf_dc,10,0.3,17,0.013401057688484265,0.33
taf_dc,10,0.45,17,0.027300349659588316,0.53
taf_dc,10,0.6,17,0.04638300873812251,0.79
taf_dc,10,0.75,17,0.032060892776612906,0.64
taf_dc,10,0.9,17,0.02693437943520123,0.57
taf_dc,10,1.0,17,0.020296620234617882,0.5
taf_dc,19,0.0,17,0.0001424773161705937,0.06
taf_dc,19,0.15,17,0.005873442443243203,0.18
taf_dc,19,0.3,17,0.028000017817095033,0.61
taf_dc,19,0.45,17,0.046909464940305214,0.87
taf_dc,19,0.6,17,0.05803980098332923,0.97
taf_dc,19,0.75,17,0.06753426881741538,0.98
taf_dc,19,0.9,17,0.07749976769801128,0.96
taf_dc,19,1.0,17,0.06758946865077387,0.96
