n_per_group,scenario_index,mode,effect_level,num_swaps,power,true_omega2,mean_boot_omega2,failed_bootstraps,search_stage
2,0,dilution,-2.3025850929940455,,0.0,0.0,0.10320712549829228,0,coarse
2,1,dilution,-2.2714690782238556,,0.0,0.0,0.10722939514780308,0,coarse
2,2,dilution,-2.240353063453666,,0.0,0.0,0.17200798413866267,0,coarse
2,3,dilution,-2.2092370486834763,,0.0,0.0,0.17956789597395983,0,coarse
2,4,dilution,-2.1781210339132864,,0.0,0.0,0.17248771610772198,0,coarse
2,5,dilution,-2.1470050191430965,,0.0,0.0,0.21329028221947016,0,coarse
2,6,dilution,-2.1158890043729066,,0.0,0.0,0.21885754921049685,0,coarse
2,7,dilution,-2.0847729896027167,,0.0,0.0,0.13593384325060665,0,coarse
2,8,dilution,-2.0536569748325273,,0.0,0.0,0.12406671390809394,0,coarse
2,9,dilution,-2.0225409600623374,,0.0,0.0,0.17398557422082198,0,coarse
2,10,dilution,-1.9914249452921475,,0.0,0.0,0.19939589521025017,0,coarse
2,11,dilution,-1.9603089305219576,,0.0,0.0,0.15571269735764715,0,coarse
2,12,dilution,-1.929192915751768,,0.0,0.0,0.164040235344605,0,coarse
2,13,dilution,-1.898076900981578,,0.0,0.0,0.10269085388371944,0,coarse
2,14,dilution,-1.8669608862113882,,0.0,0.0,0.25133077860475916,0,coarse
2,15,dilution,-1.8358448714411986,,0.0,0.0,0.17271143911035464,0,coarse
2,16,dilution,-1.8047288566710087,,0.0,0.0,0.17977490940038135,0,coarse
2,17,dilution,-1.7736128419008188,,0.0,0.0,0.23061190351355612,0,coarse
2,18,dilution,-1.7424968271306291,,0.0,0.0,0.13080579804107242,0,coarse
2,19,dilution,-1.7113808123604393,,0.0,0.0,0.12391693260612918,0,coarse
2,20,dilution,-1.6802647975902494,,0.0,0.0,0.13656180595807876,0,coarse
2,21,dilution,-1.6491487828200597,,0.0,0.0,0.1352950419410077,0,coarse
2,22,dilution,-1.6180327680498698,,0.0,0.0,0.1513731517639961,0,coarse
2,23,dilution,-1.58691675327968,,0.0,0.0,0.17955794550291593,0,coarse
2,24,dilution,-1.5558007385094903,,0.0,0.0,0.15925293551874983,0,coarse
2,25,dilution,-1.5246847237393004,,0.0,0.0,0.17893566997448004,0,coarse
2,26,dilution,-1.4935687089691108,,0.0,0.0,0.17440227248076423,0,coarse
2,27,dilution,-1.4624526941989209,,0.0,0.0,0.18152411665915605,0,coarse
2,28,dilution,-1.431336679428731,,0.0,0.0,0.23921604214295772,0,coarse
2,29,dilution,-1.4002206646585413,,0.0,0.0,0.12472709297010579,0,coarse
2,30,dilution,-1.3691046498883515,,0.0,0.0,0.16694232433282705,0,coarse
2,31,dilution,-1.3379886351181616,,0.0,0.0,0.17305804719275758,0,coarse
2,32,dilution,-1.306872620347972,,0.0,0.0,0.2446514201730357,0,coarse
