modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,999,0,0.5,1.0,0.0,0.075,80
gene,999,0,0.6,1.0,0.012240708263354185,0.625,80
gene,999,0,0.68,1.0,0.06995788374816575,1.0,80
gene,999,0,0.75,1.0,0.07963864152612317,1.0,80
gene,999,0,0.82,1.0,0.10926419783076806,1.0,80
gene,999,0,0.88,1.0,0.27676448451742675,1.0,80
gene,999,0,0.93,1.0,0.267288883784818,1.0,80
gene,999,0,0.97,1.0,0.3517000624733883,1.0,80
gene,999,0,1.0,1.0,0.40314958516637867,1.0,80
gene,999,0,1.0,1.3,0.4013940868321468,1.0,80
gene,999,0,1.0,1.7,0.4599576936935287,1.0,80
gene,999,1,0.5,1.0,0.0,0.075,80
gene,999,1,0.6,1.0,0.012240708263354178,0.6,80
gene,999,1,0.68,1.0,0.06995788374816589,1.0,80
gene,999,1,0.75,1.0,0.079638641526123,1.0,80
gene,999,1,0.82,1.0,0.10926419783076859,1.0,80
gene,999,1,0.88,1.0,0.27676448451742675,1.0,80
gene,999,1,0.93,1.0,0.2672888837848179,1.0,80
gene,999,1,0.97,1.0,0.3517000624733882,1.0,80
gene,999,1,1.0,1.0,0.4031495851663788,1.0,80
gene,999,1,1.0,1.3,0.40139408683214667,1.0,80
gene,999,1,1.0,1.7,0.4599576936935286,1.0,80
gene,999,2,0.5,1.0,0.0,0.05,80
gene,999,2,0.6,1.0,0.012240708263354175,0.6,80
gene,999,2,0.68,1.0,0.06995788374816574,1.0,80
gene,999,2,0.75,1.0,0.07963864152612314,1.0,80
gene,999,2,0.82,1.0,0.10926419783076818,1.0,80
gene,999,2,0.88,1.0,0.2767644845174268,1.0,80
gene,999,2,0.93,1.0,0.26728888378481785,1.0,80
gene,999,2,0.97,1.0,0.35170006247338825,1.0,80
gene,999,2,1.0,1.0,0.4031495851663788,1.0,80
gene,999,2,1.0,1.3,0.40139408683214667,1.0,80
gene,999,2,1.0,1.7,0.45995769369352857,1.0,80
gene,999,3,0.5,1.0,0.0,0.05,80
gene,999,3,0.6,1.0,0.01224070826335417,0.625,80
gene,999,3,0.68,1.0,0.06995788374816589,1.0,80
gene,999,3,0.75,1.0,0.07963864152612297,1.0,80
gene,999,3,0.82,1.0,0.10926419783076839,1.0,80
gene,999,3,0.88,1.0,0.2767644845174267,1.0,80
gene,999,3,0.93,1.0,0.2672888837848179,1.0,80
gene,999,3,0.97,1.0,0.35170006247338836,1.0,80
gene,999,3,1.0,1.0,0.4031495851663789,1.0,80
gene,999,3,1.0,1.3,0.40139408683214695,1.0,80
gene,999,3,1.0,1.7,0.45995769369352874,1.0,80
gene,999,4,0.5,1.0,0.0,0.05,80
gene,999,4,0.6,1.0,0.012240708263354175,0.6,80
gene,999,4,0.68,1.0,0.06995788374816589,1.0,80
gene,999,4,0.75,1.0,0.07963864152612285,1.0,80
gene,999,4,0.82,1.0,0.10926419783076845,1.0,80
gene,999,4,0.88,1.0,0.27676448451742663,1.0,80
gene,999,4,0.93,1.0,0.2672888837848179,1.0,80
gene,999,4,0.97,1.0,0.35170006247338836,1.0,80
gene,999,4,1.0,1.0,0.40314958516637855,1.0,80
gene,999,4,1.0,1.3,0.4013940868321467,1.0,80
gene,999,4,1.0,1.7,0.4599576936935286,1.0,80
