modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,0,0.5,1.0,0.0019640462211727213,0.225,80
gene,4,0,0.6,1.0,0.01370933522428916,0.575,80
gene,4,0,0.68,1.0,0.08005563948640552,1.0,80
gene,4,0,0.75,1.0,0.08125101777569126,1.0,80
gene,4,0,0.82,1.0,0.13614943366922536,1.0,80
gene,4,0,0.88,1.0,0.17865276333881702,1.0,80
gene,4,0,0.93,1.0,0.23726013009669325,1.0,80
gene,4,0,0.97,1.0,0.31873944312347013,1.0,80
gene,4,0,1.0,1.0,0.31885217257306564,1.0,80
gene,4,0,1.0,1.3,0.3204529867832387,1.0,80
gene,4,0,1.0,1.7,0.3443048520587055,1.0,80
gene,4,1,0.5,1.0,0.003099435221722932,0.275,80
gene,4,1,0.6,1.0,0.010974731266333141,0.55,80
gene,4,1,0.68,1.0,0.05655240220725972,1.0,80
gene,4,1,0.75,1.0,0.08478001514897875,1.0,80
gene,4,1,0.82,1.0,0.10616572231068677,1.0,80
gene,4,1,0.88,1.0,0.2594279214229251,1.0,80
gene,4,1,0.93,1.0,0.2271466867845273,1.0,80
gene,4,1,0.97,1.0,0.21490740855496898,1.0,80
gene,4,1,1.0,1.0,0.3124988250335197,1.0,80
gene,4,1,1.0,1.3,0.42770265173579514,1.0,80
gene,4,1,1.0,1.7,0.36231836544840396,1.0,80
gene,4,2,0.5,1.0,0.0,0.125,80
gene,4,2,0.6,1.0,0.025171521279596966,0.8,80
gene,4,2,0.68,1.0,0.07068638661302222,1.0,80
gene,4,2,0.75,1.0,0.09005954043662093,1.0,80
gene,4,2,0.82,1.0,0.14568897661694155,1.0,80
gene,4,2,0.88,1.0,0.2406141242321879,1.0,80
gene,4,2,0.93,1.0,0.15031717985532744,1.0,80
gene,4,2,0.97,1.0,0.39872121384955966,1.0,80
gene,4,2,1.0,1.0,0.32117729748452317,1.0,80
gene,4,2,1.0,1.3,0.313843903544678,1.0,80
gene,4,2,1.0,1.7,0.32276268358014076,1.0,80
gene,4,3,0.5,1.0,0.0,0.1,80
gene,4,3,0.6,1.0,0.030726842839045723,0.925,80
gene,4,3,0.68,1.0,0.07714156223138677,1.0,80
gene,4,3,0.75,1.0,0.08452743419852699,1.0,80
gene,4,3,0.82,1.0,0.16592552030745178,1.0,80
gene,4,3,0.88,1.0,0.3005300349777747,1.0,80
gene,4,3,0.93,1.0,0.3081590585171177,1.0,80
gene,4,3,0.97,1.0,0.4124648072545659,1.0,80
gene,4,3,1.0,1.0,0.47227797408594546,1.0,80
gene,4,3,1.0,1.3,0.44660699412943033,1.0,80
gene,4,3,1.0,1.7,0.4749054788705085,1.0,80
gene,4,4,0.5,1.0,0.0,0.15,80
gene,4,4,0.6,1.0,0.009127222752462113,0.475,80
gene,4,4,0.68,1.0,0.06129577174455022,1.0,80
gene,4,4,0.75,1.0,0.07200412369587486,1.0,80
gene,4,4,0.82,1.0,0.11124230022040989,1.0,80
gene,4,4,0.88,1.0,0.21621972441365286,1.0,80
gene,4,4,0.93,1.0,0.22308818481973933,1.0,80
gene,4,4,0.97,1.0,0.2981827502470905,1.0,80
gene,4,4,1.0,1.0,0.3558697657239749,1.0,80
gene,4,4,1.0,1.3,0.42100643176270075,1.0,80
gene,4,4,1.0,1.7,0.44296792511462413,1.0,80
gene,4,5,0.5,1.0,0.0,0.15,80
gene,4,5,0.6,1.0,0.016174037591156647,0.7,80
gene,4,5,0.68,1.0,0.0814675406512459,1.0,80
gene,4,5,0.75,1.0,0.08022943397632946,1.0,80
gene,4,5,0.82,1.0,0.14450944462360285,1.0,80
gene,4,5,0.88,1.0,0.3003697244835251,1.0,80
gene,4,5,0.93,1.0,0.31165044921189905,1.0,80
gene,4,5,0.97,1.0,0.3950003759225737,1.0,80
gene,4,5,1.0,1.0,0.4449395762509147,1.0,80
gene,4,5,1.0,1.3,0.4534194630961163,1.0,80
gene,4,5,1.0,1.7,0.43801179155318143,1.0,80
gene,4,6,0.5,1.0,0.0,0.125,80
gene,4,6,0.6,1.0,0.019602027254712814,0.675,80
gene,4,6,0.68,1.0,0.06799770680712232,1.0,80
gene,4,6,0.75,1.0,0.054275027942460224,0.975,80
gene,4,6,0.82,1.0,0.11708620983808816,1.0,80
gene,4,6,0.88,1.0,0.25814924966055497,1.0,80
gene,4,6,0.93,1.0,0.2977257489379603,1.0,80
gene,4,6,0.97,1.0,0.33953654728147986,1.0,80
gene,4,6,1.0,1.0,0.4334358737151867,1.0,80
gene,4,6,1.0,1.3,0.4017350553953585,1.0,80
gene,4,6,1.0,1.7,0.45956200549841864,1.0,80
gene,4,7,0.5,1.0,1.284927705356187e-05,0.125,80
gene,4,7,0.6,1.0,0.008604867865973255,0.45,80
gene,4,7,0.68,1.0,0.05247815762190615,1.0,80
gene,4,7,0.75,1.0,0.05718929636596736,1.0,80
gene,4,7,0.82,1.0,0.10561471677678094,1.0,80
gene,4,7,0.88,1.0,0.04330389285727983,0.85,80
gene,4,7,0.93,1.0,0.12897258762153543,1.0,80
gene,4,7,0.97,1.0,0.12512282213339757,1.0,80
gene,4,7,1.0,1.0,0.29450779088681583,1.0,80
gene,4,7,1.0,1.3,0.4105736721041128,1.0,80
gene,4,7,1.0,1.7,0.4140011673790703,1.0,80
gene,4,8,0.5,1.0,0.0010120151924161481,0.15,80
gene,4,8,0.6,1.0,0.016227441756879058,0.625,80
gene,4,8,0.68,1.0,0.07088380895817091,1.0,80
gene,4,8,0.75,1.0,0.08850618555767117,1.0,80
gene,4,8,0.82,1.0,0.14091366927074242,1.0,80
gene,4,8,0.88,1.0,0.29404484957517274,1.0,80
gene,4,8,0.93,1.0,0.2954696222225,1.0,80
gene,4,8,0.97,1.0,0.40321592595173983,1.0,80
gene,4,8,1.0,1.0,0.4475180845706149,1.0,80
gene,4,8,1.0,1.3,0.46275003887255034,1.0,80
gene,4,8,1.0,1.7,0.4687528257554529,1.0,80
gene,4,9,0.5,1.0,0.0,0.125,80
gene,4,9,0.6,1.0,0.022390495159004167,0.775,80
gene,4,9,0.68,1.0,0.07576576673945777,1.0,80
gene,4,9,0.75,1.0,0.06490292428301102,1.0,80
gene,4,9,0.82,1.0,0.14180054207324555,1.0,80
gene,4,9,0.88,1.0,0.2878030486747883,1.0,80
gene,4,9,0.93,1.0,0.30960561777417894,1.0,80
gene,4,9,0.97,1.0,0.366117737913669,1.0,80
gene,4,9,1.0,1.0,0.4569518663234916,1.0,80
gene,4,9,1.0,1.3,0.4292675943039665,1.0,80
gene,4,9,1.0,1.7,0.46087742506588375,1.0,80
gene,4,10,0.5,1.0,0.0,0.1,80
gene,4,10,0.6,1.0,0.01844012639723568,0.675,80
gene,4,10,0.68,1.0,0.07188391676624457,1.0,80
gene,4,10,0.75,1.0,0.06455881012924276,1.0,80
gene,4,10,0.82,1.0,0.127230764969455,1.0,80
gene,4,10,0.88,1.0,0.28171585723661485,1.0,80
gene,4,10,0.93,1.0,0.3104633950824085,1.0,80
gene,4,10,0.97,1.0,0.35390202504062074,1.0,80
gene,4,10,1.0,1.0,0.44902416598699196,1.0,80
gene,4,10,1.0,1.3,0.40846217685534625,1.0,80
gene,4,10,1.0,1.7,0.45619752681139963,1.0,80
gene,4,11,0.5,1.0,0.0,0.1,80
gene,4,11,0.6,1.0,0.015907946676257195,0.625,80
gene,4,11,0.68,1.0,0.058774211001826775,1.0,80
gene,4,11,0.75,1.0,0.04781298734599572,0.975,80
gene,4,11,0.82,1.0,0.09808423764746288,1.0,80
gene,4,11,0.88,1.0,0.24325541170365478,1.0,80
gene,4,11,0.93,1.0,0.28295932127398205,1.0,80
gene,4,11,0.97,1.0,0.2833922440757003,1.0,80
gene,4,11,1.0,1.0,0.40433181254069517,1.0,80
gene,4,11,1.0,1.3,0.393180555013119,1.0,80
gene,4,11,1.0,1.7,0.41497185387768987,1.0,80
gene,4,12,0.5,1.0,0.0,0.1,80
gene,4,12,0.6,1.0,0.03213685263649625,0.9,80
gene,4,12,0.68,1.0,0.08017015042918851,1.0,80
gene,4,12,0.75,1.0,0.08492580094192703,1.0,80
gene,4,12,0.82,1.0,0.16364073043264094,1.0,80
gene,4,12,0.88,1.0,0.3002078349880732,1.0,80
gene,4,12,0.93,1.0,0.31169142800497784,1.0,80
gene,4,12,0.97,1.0,0.4130666686279106,1.0,80
gene,4,12,1.0,1.0,0.4693319437920448,1.0,80
gene,4,12,1.0,1.3,0.4588495911009556,1.0,80
gene,4,12,1.0,1.7,0.4756912989986914,1.0,80
gene,4,13,0.5,1.0,0.0,0.125,80
gene,4,13,0.6,1.0,0.0177113537449837,0.6,80
gene,4,13,0.68,1.0,0.05192236672068224,1.0,80
gene,4,13,0.75,1.0,0.05827270723277768,1.0,80
gene,4,13,0.82,1.0,0.07355629780426447,1.0,80
gene,4,13,0.88,1.0,0.178681501614455,1.0,80
gene,4,13,0.93,1.0,0.26271340351121525,1.0,80
gene,4,13,0.97,1.0,0.2609817310496702,1.0,80
gene,4,13,1.0,1.0,0.43071575763464587,1.0,80
gene,4,13,1.0,1.3,0.3353200221651173,1.0,80
