eval_n,scale,true_omega2,power,mode,pilot_n,pilot_source
4,0.0,0.0,0.0,dilution,10,real
4,0.5414102564102564,0.14194220103656843,0.15,dilution,10,real
4,0.6171196581196581,0.20109025763738528,0.25,dilution,10,real
4,0.6928290598290598,0.23615888157496162,0.35,dilution,10,real
4,0.7685384615384616,0.24586127292458965,0.3,dilution,10,real
4,0.8442478632478633,0.30091000296110576,0.4,dilution,10,real
4,0.919957264957265,0.38254112498203147,0.45,dilution,10,real
4,0.9956666666666667,0.37159847407424923,0.4,dilution,10,real
4,8.571008547008546,0.9776943650916841,0.5,enhancement,10,real
4,20.6,0.9959960067845908,0.6,enhancement,10,real
7,0.0,0.0010044496724995486,0.05,dilution,10,real
7,0.2876301070574876,0.03654694216876232,0.05,dilution,10,real
7,0.30078761720161645,0.04983626862587839,0.2,dilution,10,real
7,0.31394512734574537,0.04331376696470584,0.3,dilution,10,real
7,0.434045655986922,0.08405877363294913,0.1,dilution,10,real
7,0.45378192120311545,0.10538346792135204,0.2,dilution,10,real
7,0.5928537435404779,0.1830408609753551,0.35,dilution,10,real
7,0.6137374660366826,0.1759372355300352,0.5,dilution,10,real
7,0.735444434869875,0.2343793943818369,0.9,dilution,10,real
7,0.7486019450140039,0.24735182123230914,0.85,dilution,10,real
7,0.7617594551581328,0.2609083466451448,0.8,dilution,10,real
7,1.3868941813082576,0.5554291576557973,1.0,enhancement,10,real
10,0.0,0.0,0.1,dilution,10,real
10,0.15034870953358392,0.014943002242204184,0.05,dilution,10,real
10,0.3146742805830676,0.050459033154268286,0.15,dilution,10,real
10,0.31946316540524844,0.05805767284791913,0.05,dilution,10,real
10,0.3242520502274293,0.05014165639693439,0.1,dilution,10,real
10,0.32904093504961013,0.063036232035341,0.25,dilution,10,real
10,0.33382981987179094,0.060142378587811934,0.15,dilution,10,real
10,0.3606280852284714,0.06830631413819317,0.15,dilution,10,real
10,0.36661419125619743,0.06676860825981827,0.35,dilution,10,real
10,0.37260029728392347,0.07595271280317052,0.25,dilution,10,real
10,0.6999567699396851,0.23755217225510453,0.95,dilution,10,real
10,0.8143888433069129,0.28140691187660966,1.0,dilution,10,real
30,0.0,0.0,0.0,dilution,10,real
30,0.06927600229985456,0.0023192820930194253,0.1,dilution,10,real
30,0.0744072855778947,0.004451322131105631,0.15,dilution,10,real
30,0.1869375211870075,0.023605718391715342,0.25,dilution,10,real
30,0.19206880446504762,0.0251214793755512,0.15,dilution,10,real
30,0.19720008774308775,0.024496695081532367,0.2,dilution,10,real
30,0.29839376727280953,0.05435663816376633,0.7,dilution,10,real
30,0.3334774250342933,0.05989797062189573,0.6,dilution,10,real
30,0.3736923660738171,0.07663112095217886,0.8,dilution,10,real
30,0.37882364935185725,0.08548122619034006,0.85,dilution,10,real
30,0.38395493262989744,0.08008031042449257,0.85,dilution,10,real
30,0.5606262092145119,0.1611276176818804,1.0,dilution,10,real
50,0.0,0.0,0.2,dilution,10,real
50,0.032037351839746014,6.50550111603583e-05,0.05,dilution,10,real
50,0.09783908695891468,0.005770008678703765,0.1,dilution,10,real
50,0.17080616528525236,0.016342636846287752,0.3,dilution,10,real
50,0.17725497417170444,0.01905761750538054,0.3,dilution,10,real
50,0.18067841592624073,0.019069698955346527,0.4,dilution,10,real
50,0.18410185768077705,0.019031641620741873,0.3,dilution,10,real
50,0.2428775757106939,0.0345230900968983,0.55,dilution,10,real
50,0.27488277536938205,0.04403815206589525,0.85,dilution,10,real
50,0.2800179380011865,0.05211015660051681,0.7,dilution,10,real
50,0.3322652322201272,0.06793915822650586,1.0,dilution,10,real
50,0.3813478331892348,0.07395730648260646,0.95,dilution,10,real
80,0.0,0.0,0.15,dilution,10,real
80,0.029219852657614294,0.0005133215605403748,0.0,dilution,10,real
80,0.03377603051970812,0.0003656327348143396,0.0,dilution,10,real
80,0.09592017740617399,0.005089582466621768,0.15,dilution,10,real
80,0.10503253313036165,0.007001748296516561,0.2,dilution,10,real
80,0.15713719507651613,0.015217346584853176,0.4,dilution,10,real
80,0.15941528400756305,0.014830943268159686,0.25,dilution,10,real
80,0.16169337293860997,0.01447096565272516,0.5,dilution,10,real
80,0.18916288714204776,0.022183823512468434,0.8,dilution,10,real
80,0.23800935212868163,0.03244773278790914,1.0,dilution,10,real
80,0.2630153515578478,0.03868521449321078,0.85,dilution,10,real
80,0.3383512227194458,0.06365579404861117,1.0,dilution,10,real
