pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
7,real,0.0,1.9657418816342093e-05,0.0833333333333333,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.003156285199784,0.0,0.0,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.0156843095312343,0.0,0.0833333333333333,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.0913380378583648,0.0012233227826231,0.0,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.1196474881887352,0.0023251570781376,0.0833333333333333,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.1321755125201856,0.002017153700966,0.1666666666666666,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.2064938894166383,0.0071520478634324,0.5,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.2127579015823635,0.0070363784427218,0.3333333333333333,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.2190219137480886,0.0081503274593394,0.6666666666666666,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.2252859259138138,0.0088722876540091,0.4166666666666667,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.231549938079539,0.0087952689658563,0.3333333333333333,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.3321383194849632,0.0175113249195171,0.8333333333333334,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.3363143275954466,0.018359333609197,0.8333333333333334,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.3404903357059301,0.0190696681111131,1.0,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.3446663438164136,0.0187785292982218,0.75,dilution,13,0.7725323415634302,0.1407057699841001
7,real,0.6154756139578813,0.0614922344384797,1.0,dilution,13,0.7725323415634302,0.1407057699841001
10,real,0.0,0.0,0.0,dilution,19,0.7233368684474855,0.0649240917268287
10,real,0.0118901521839553,1.8255879525119696e-06,0.0,dilution,19,0.7233368684474855,0.0649240917268287
10,real,0.0197559451671874,0.0,0.0,dilution,19,0.7233368684474855,0.0649240917268287
10,real,0.1267063396833809,0.0014051458079163,0.25,dilution,19,0.7233368684474855,0.0649240917268287
10,real,0.1345721326666129,0.0010315379018898,0.0,dilution,19,0.7233368684474855,0.0649240917268287
10,real,0.2254250903799129,0.0042940624819365,0.4166666666666667,dilution,19,0.7233368684474855,0.0649240917268287
